experiment_name,analysis_name,X_binary,Y_binary,X_3lev,Y_3lev,dbd_avg_lift,dd_avg_lift,missing_dbd,missing_dd
Recommendation Carousel (NV),DoubleDash_Recommendation_Carousels_iOS_Check_Metrics,0,0,0,0.0,,0.000269,dbd_order_rate|dbd_attach_rate_post_checkout|dbd_attach_rate_pre_checkout|dbd_attach_rate_pre_and_post,dsmp_order_rate|dsmp_order_rate_7d|dsmp_order_rate_14d|dsmp_order_rate_28d|dsmp_gov|order_rate_per_entity|order_rate_per_entity_14d|order_rate_per_entity_28d
FYP on Android,Android_DoubleDash_FYP_M1__DoubleDash_Metrics,1,0,1,,0.03312333333333333,,,consumers_mau|dsmp_order_rate|dsmp_order_rate_7d|dsmp_order_rate_14d|dsmp_order_rate_28d|dsmp_gov|order_rate_per_entity|order_rate_per_entity_7d|order_rate_per_entity_14d|order_rate_per_entity_28d
Search on Web,DoubleDash_Search_Web_DoubleDash_Metrics,0,0,-1,,-0.0032893333333333338,,,consumers_mau|dsmp_order_rate|dsmp_order_rate_7d|dsmp_order_rate_14d|dsmp_order_rate_28d|dsmp_gov|order_rate_per_entity|order_rate_per_entity_7d|order_rate_per_entity_14d|order_rate_per_entity_28d
Pre-Checkout RX as O1,RX_Only_Android_DoubleDash_PreCheckout_Core_Metrics,0,0,0,0.0,,0.000232,dbd_order_rate|dbd_attach_rate_post_checkout|dbd_attach_rate_pre_checkout|dbd_attach_rate_pre_and_post,dsmp_order_rate|dsmp_order_rate_7d|dsmp_order_rate_14d|dsmp_order_rate_28d|dsmp_gov|order_rate_per_entity|order_rate_per_entity_14d|order_rate_per_entity_28d
NV Boosting Ranker v2,BOOST_DSML3_NV_Analysis,0,0,0,,0.001068,,dbd_order_rate|dbd_o2_gmv|dbd_attach_rate_pre_checkout|dbd_attach_rate_pre_and_post,consumers_mau|dsmp_order_rate|dsmp_order_rate_7d|dsmp_order_rate_14d|dsmp_order_rate_28d|dsmp_gov|order_rate_per_entity|order_rate_per_entity_7d|order_rate_per_entity_14d|order_rate_per_entity_28d
FYP iOS/Web,DoubleDash_FYP_M1_Core_Metrics,1,1,1,1.0,0.010486,0.000932,,dsmp_order_rate|dsmp_order_rate_28d|dsmp_gov|order_rate_per_entity|order_rate_per_entity_14d|order_rate_per_entity_28d
Inc ETA v2 -- iOS/Web,DoubleDash_Inc_ETA_V2_Longterm_Holdout,1,0,1,,0.023973,,,consumers_mau|dsmp_order_rate|dsmp_order_rate_7d|dsmp_order_rate_14d|dsmp_order_rate_28d|dsmp_gov|order_rate_per_entity|order_rate_per_entity_7d|order_rate_per_entity_14d|order_rate_per_entity_28d
Inc ETA v2 -- Android,DoubleDash_Inc_ETA_V2_Longterm_Holdout,1,0,1,,0.023973,,,consumers_mau|dsmp_order_rate|dsmp_order_rate_7d|dsmp_order_rate_14d|dsmp_order_rate_28d|dsmp_gov|order_rate_per_entity|order_rate_per_entity_7d|order_rate_per_entity_14d|order_rate_per_entity_28d
Cart Carousel 1.5,DBD_precheckout_cart_carousel_M1_5,1,1,-1,1.0,0.019718999999999997,0.0006154999999999999,,dsmp_order_rate|dsmp_order_rate_14d|dsmp_order_rate_28d|dsmp_gov|order_rate_per_entity|order_rate_per_entity_14d|order_rate_per_entity_28d
Pre-Checkout Iteration,DoubleDash_PreCheckout_Design_Iteration_Android_Core_Metrics_Shortened,1,0,1,0.0,0.027762500000000002,0.000371,dbd_attach_rate_post_checkout|dbd_attach_rate_pre_checkout|dbd_attach_rate_pre_and_post,dsmp_order_rate|dsmp_order_rate_7d|dsmp_order_rate_14d|dsmp_order_rate_28d|dsmp_gov|order_rate_per_entity|order_rate_per_entity_14d|order_rate_per_entity_28d
