reason,name,analysis_name,curie_link
no_csv,Cart Carousel 1.5,DBD_precheckout_cart_carousel_M1_5,https://admin-gateway.doordash.com/decision-systems/experiments/5afb5eff-9ccb-40cb-b742-04f0527fc9ea?analysisId=483c687d-83ff-4391-b7bd-868330c70b12
empty_load,NV Boosting Ranker,DSML_Boosting_70_Core_Metrics,https://admin-gateway.doordash.com/decision-systems/experiments/e33ccbc2-4785-4709-a14e-37f8440be631?analysisId=dc2ce123-9469-45dc-9f10-4c02b3fca47d
empty_load,Cart feed header,bundle_precheckout_cart_enable_feed__reshuffled,https://admin-gateway.doordash.com/decision-systems/experiments/2ae2df1f-1006-4336-83d0-9f9c9113f557?analysisId=c4fd63af-62ca-4750-8cc7-0e738d1f2e2e
empty_load,Popular Retail Items,popular_retail_items_final,https://admin-gateway.doordash.com/decision-systems/experiments/4774edf6-6199-4119-b363-0aad1cc4e3bc?analysisId=678c1c16-8ec2-4c3a-a16f-adfd5d974d65
empty_load,Mx pills,bundle_precheckout_cart_enable_mx_pill___IOS_Users,https://admin-gateway.doordash.com/decision-systems/experiments/986c0b67-0ecd-4f90-bbee-790720d329c6?analysisId=728bf68f-fadc-42ee-9c25-9fcf2cedd12f
empty_load,iOS header redesign,Treatment_2_experiment,https://admin-gateway.doordash.com/decision-systems/experiments/5dad0c4e-4db3-43d3-91e0-6e7097816f21?analysisId=301f5fe1-77cd-48db-be85-2db0f793cb29
empty_load,Map pins,enable_bundle_map_store_pins_relaunch,https://admin-gateway.doordash.com/decision-systems/experiments/fc0a69fc-9526-4bd1-b97b-608e204669ec?analysisId=be87e22b-41cf-414a-a540-0d7970b33b5b
empty_load,Removing NV item ranking,doubledash_csf_retail_items_ranking_config__No_DSML_Experiment,https://admin-gateway.doordash.com/decision-systems/experiments/220a635c-e451-48b8-b78a-92d59a841669?analysisId=46d5bbe3-6659-446f-a44f-7039fc63f81e
empty_load,Android PCC,PCC_android_v4,https://admin-gateway.doordash.com/decision-systems/experiments/b52030c6-f64e-4524-9cb1-f928e87eb49e?analysisId=cd7f7ed3-9a80-48b4-91a5-e8df53129054
empty_load,Store ranker V5,store_ranker_v5_existing_users,https://admin-gateway.doordash.com/decision-systems/experiments/4864c4a0-6b2f-4c31-8268-9c8ddbb22107?analysisId=2769b3d9-021f-4be7-be58-ad4103caa6cb
empty_load,iOS order history timer,cx_ios_bundle_timer_order_card__Users,https://admin-gateway.doordash.com/decision-systems/experiments/fb33f081-5128-4db2-b0b2-c484e6ffeac6?analysisId=e0e7b207-4e9b-4562-b63f-cbfb3067cb82
