"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment M1-treatment_1 Value","treatment M1-treatment_1 Exposure Volume","treatment M1-treatment_1 Absolute Impact","treatment M1-treatment_1 Absolute Impact Confidence Interval","treatment M1-treatment_1 Relative Impact","treatment M1-treatment_1 Relative Impact Confidence Interval","treatment M1-treatment_1 P Value","treatment M1-treatment_1 Significance","treatment M1-treatment_1 Coverage","treatment M1-treatment_1 Relative Global Lift","treatment M1-treatment_1 Absolute Global Lift","treatment M1-treatment_2 Value","treatment M1-treatment_2 Exposure Volume","treatment M1-treatment_2 Absolute Impact","treatment M1-treatment_2 Absolute Impact Confidence Interval","treatment M1-treatment_2 Relative Impact","treatment M1-treatment_2 Relative Impact Confidence Interval","treatment M1-treatment_2 P Value","treatment M1-treatment_2 Significance","treatment M1-treatment_2 Coverage","treatment M1-treatment_2 Relative Global Lift","treatment M1-treatment_2 Absolute Global Lift"
"dbd_attach_rate_post_checkout","Metric","N/A","","mean","0.045527","1,561,639","0.047193","1,586,683","0.001666","[+0.001308, +0.002023]","0.036585","[+2.8734%, +4.4436%]","0.000000","Significant","","","","0.046677","1,585,139","0.001150","[+0.000795, +0.001505]","0.025263","[+1.7471%, +3.3055%]","0.000000","Significant","","",""
"dbd_attach_rate_pre_and_post","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dbd_attach_rate_pre_checkout","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dbd_avg_o2_20_late","Metric","N/A","","mean","0.019934","233,578","0.019744","243,060","-0.000190","[-0.000785, +0.000406]","-0.009511","[-3.9377%, +2.0354%]","0.532496","-","","","","0.019706","241,958","-0.000227","[-0.000823, +0.000369]","-0.011406","[-4.1309%, +1.8498%]","0.454725","-","","",""
"dbd_avg_o2_cancellations","Metric","N/A","","mean","0.029351","239,076","0.028525","248,333","-0.000826","[-0.001544, -0.000108]","-0.028137","[-5.2601%, -0.3673%]","0.024182","Significant","","","","0.028796","247,483","-0.000555","[-0.001272, +0.000163]","-0.018894","[-4.3354%, +0.5566%]","0.130029","-","","",""
"dbd_avg_o2_dx_cost","Metric","N/A","","mean","3.815276","239,125","3.818624","248,364","0.003347","[-0.012225, +0.01892]","0.000877","[-0.3204%, +0.4959%]","0.673545","-","","","","3.828934","247,524","0.013658","[-0.002064, +0.02938]","0.003580","[-0.0541%, +0.7701%]","0.088637","-","","",""
"dbd_avg_o2_hqdr","Metric","N/A","","mean","0.925980","239,127","0.927471","248,368","0.001491","[+0.00035, +0.002633]","0.001611","[+0.0378%, +0.2844%]","0.010466","Significant","","","","0.927251","247,524","0.001271","[+0.000132, +0.00241]","0.001373","[+0.0143%, +0.2603%]","0.028695","Significant","","",""
"dbd_avg_o2_mi","Metric","N/A","","mean","0.020797","233,630","0.020537","243,095","-0.000260","[-0.000907, +0.000387]","-0.012506","[-4.3616%, +1.8605%]","0.430775","-","","","","0.020358","242,000","-0.000439","[-0.001084, +0.000207]","-0.021099","[-5.2141%, +0.9943%]","0.182803","-","","",""
"dbd_avg_o2_nd","Metric","N/A","","mean","0.006276","233,578","0.005872","243,060","-0.000404","[-0.000743, -0.000065]","-0.064425","[-11.8435%, -1.0416%]","0.019390","Significant","","","","0.006102","241,958","-0.000174","[-0.000513, +0.000164]","-0.027780","[-8.1763%, +2.6203%]","0.313164","-","","",""
"dbd_avg_o2_package","Metric","N/A","","mean","0.574136","233,226","0.577384","242,639","0.003248","[+0.000825, +0.005671]","0.005657","[+0.1436%, +0.9877%]","0.008616","Significant","","","","0.573614","241,629","-0.000522","[-0.002946, +0.001902]","-0.000909","[-0.5131%, +0.3313%]","0.673041","-","","",""
"dbd_avg_o2_sdb","Metric","N/A","","mean","0.621327","239,128","0.624532","248,369","0.003205","[+0.000892, +0.005517]","0.005158","[+0.1436%, +0.888%]","0.006601","Significant","","","","0.621846","247,525","0.000518","[-0.001801, +0.002838]","0.000834","[-0.2899%, +0.4567%]","0.661441","-","","",""
"dbd_bottom_sheet_load_latency_ios","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dbd_cx_retrial","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dbd_existing_attach_rate_post_checkout","Metric","N/A","","mean","0.065575","642,703","0.068067","653,610","0.002493","[+0.00193, +0.003055]","0.038012","[+2.9433%, +4.6592%]","0.000000","Significant","","","","0.067192","653,422","0.001617","[+0.001059, +0.002175]","0.024659","[+1.6148%, +3.317%]","0.000000","Significant","","",""
"dbd_new_attach_rate_post_checkout","Metric","N/A","","mean","0.016612","954,415","0.017048","970,245","0.000436","[+0.000233, +0.00064]","0.026267","[+1.4029%, +3.8504%]","0.000026","Significant","","","","0.017027","968,778","0.000415","[+0.000212, +0.000619]","0.025002","[+1.276%, +3.7244%]","0.000063","Significant","","",""
"dbd_nv_trials_net_new_per_cx","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dbd_nv_trials_per_cx","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dbd_nv_trials_retrial_per_cx","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dbd_o2_aov","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
