"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","PairWise Model Current Boosting Value","PairWise Model Current Boosting Exposure Volume","PairWise Model Current Boosting Absolute Impact","PairWise Model Current Boosting Absolute Impact Confidence Interval","PairWise Model Current Boosting Relative Impact","PairWise Model Current Boosting Relative Impact Confidence Interval","PairWise Model Current Boosting P Value","PairWise Model Current Boosting Significance","PairWise Model Current Boosting Coverage","PairWise Model Current Boosting Relative Global Lift","PairWise Model Current Boosting Absolute Global Lift","PairWise Model New Boosting Value","PairWise Model New Boosting Exposure Volume","PairWise Model New Boosting Absolute Impact","PairWise Model New Boosting Absolute Impact Confidence Interval","PairWise Model New Boosting Relative Impact","PairWise Model New Boosting Relative Impact Confidence Interval","PairWise Model New Boosting P Value","PairWise Model New Boosting Significance","PairWise Model New Boosting Coverage","PairWise Model New Boosting Relative Global Lift","PairWise Model New Boosting Absolute Global Lift","PairWise Model New Boosting Aggressive Value","PairWise Model New Boosting Aggressive Exposure Volume","PairWise Model New Boosting Aggressive Absolute Impact","PairWise Model New Boosting Aggressive Absolute Impact Confidence Interval","PairWise Model New Boosting Aggressive Relative Impact","PairWise Model New Boosting Aggressive Relative Impact Confidence Interval","PairWise Model New Boosting Aggressive P Value","PairWise Model New Boosting Aggressive Significance","PairWise Model New Boosting Aggressive Coverage","PairWise Model New Boosting Aggressive Relative Global Lift","PairWise Model New Boosting Aggressive Absolute Global Lift"
"dbd_attach_rate_post_checkout","Metric","N/A","","mean","0.038660","6,030,138","0.038686","6,027,461","0.000041","[-0.000122, +0.000204]","0.001068","[-0.3151%, +0.5287%]","0.619871","-","","","","0.038802","6,028,902","0.000149","[-0.000014, +0.000312]","0.003854","[-0.0367%, +0.8075%]","0.073563","-","","","","0.038722","6,022,543","0.000083","[-0.000081, +0.000246]","0.002146","[-0.2083%, +0.6374%]","0.319945","-","","",""
"dbd_avg_o2_gov_1pc","Metric","N/A","","mean","17.695053","15,513","17.939768","16,367","0.244715","[-0.073926, +0.563356]","0.013830","[-0.4178%, +3.1837%]","0.132261","-","","","","17.896890","16,202","0.201837","[-0.114564, +0.518238]","0.011406","[-0.6474%, +2.9287%]","0.211193","-","","","","17.890377","16,067","0.195324","[-0.109096, +0.499745]","0.011038","[-0.6165%, +2.8242%]","0.208550","-","","",""
"dbd_avg_o2_gov_3pc","Metric","N/A","","mean","17.504161","192,135","17.704734","199,469","0.200573","[+0.127317, +0.27383]","0.011459","[+0.7274%, +1.5644%]","0.000000","Significant","","","","17.715884","202,639","0.211724","[+0.139054, +0.284394]","0.012096","[+0.7944%, +1.6247%]","0.000000","Significant","","","","17.709517","202,220","0.205356","[+0.132727, +0.277985]","0.011732","[+0.7583%, +1.5881%]","0.000000","Significant","","",""
"dbd_avg_o2_gov_alc","Metric","N/A","","mean","27.440990","27,898","27.667351","28,325","0.226361","[-0.135293, +0.588014]","0.008249","[-0.493%, +2.1428%]","0.219916","-","","","","27.530748","28,403","0.089758","[-0.269078, +0.448595]","0.003271","[-0.9806%, +1.6348%]","0.623951","-","","","","27.633250","28,800","0.192260","[-0.171056, +0.555575]","0.007006","[-0.6234%, +2.0246%]","0.299653","-","","",""
"dbd_avg_o2_gov_flowers","Metric","N/A","","mean","37.075014","107","41.520571","137","4.445557","[-3.028161, +11.919274]","0.119907","[-8.1677%, +32.1491%]","0.243681","-","","","","43.063985","139","5.988971","[-0.86974, +12.847683]","0.161537","[-2.3459%, +34.6532%]","0.087003","-","","","","46.193082","106","9.118069","[+0.541221, +17.694916]","0.245936","[+1.4598%, +47.7273%]","0.037193","Significant","","",""
"dbd_avg_o2_gov_grocery","Metric","N/A","","mean","26.513963","50,837","26.339513","56,349","-0.174450","[-0.454411, +0.10551]","-0.006580","[-1.7139%, +0.3979%]","0.221971","-","","","","26.697749","53,655","0.183786","[-0.098935, +0.466507]","0.006932","[-0.3731%, +1.7595%]","0.202630","-","","","","26.472730","53,873","-0.041233","[-0.3213, +0.238834]","-0.001555","[-1.2118%, +0.9008%]","0.772921","-","","",""
"dbd_avg_o2_gov_nv","Metric","N/A","","mean","20.031240","272,653","20.210222","285,827","0.178982","[+0.093344, +0.26462]","0.008935","[+0.466%, +1.321%]","0.000042","Significant","","","","20.212559","286,236","0.181319","[+0.09612, +0.266519]","0.009052","[+0.4799%, +1.3305%]","0.000030","Significant","","","","20.193363","286,160","0.162123","[+0.077014, +0.247233]","0.008094","[+0.3845%, +1.2342%]","0.000189","Significant","","",""
"dbd_avg_o2_gov_pets","Metric","N/A","","mean","34.539093","2,837","34.845982","2,839","0.306889","[-1.242189, +1.855967]","0.008885","[-3.5965%, +5.3735%]","0.697801","-","","","","35.444503","2,851","0.905410","[-0.716153, +2.526973]","0.026214","[-2.0735%, +7.3163%]","0.273798","-","","","","35.097482","2,871","0.558389","[-0.991442, +2.108221]","0.016167","[-2.8705%, +6.1039%]","0.480091","-","","",""
"dbd_avg_o2_gov_rx","Metric","N/A","","mean","20.377664","477,137","20.406604","464,010","0.028940","[-0.027684, +0.085563]","0.001420","[-0.1359%, +0.4199%]","0.316479","-","","","","20.454456","465,054","0.076792","[+0.02168, +0.131904]","0.003768","[+0.1064%, +0.6473%]","0.006315","Significant","","","","20.418911","462,243","0.041247","[-0.013224, +0.095717]","0.002024","[-0.0649%, +0.4697%]","0.137770","-","","",""
"dbd_avg_o2_subtotal_1pc","Metric","N/A","","mean","11.949354","15,513","12.136337","16,367","0.186984","[-0.08632, +0.460288]","0.015648","[-0.7224%, +3.852%]","0.179944","-","","","","12.109697","16,202","0.160343","[-0.110066, +0.430753]","0.013419","[-0.9211%, +3.6048%]","0.245159","-","","","","12.089038","16,067","0.139684","[-0.120879, +0.400247]","0.011690","[-1.0116%, +3.3495%]","0.293393","-","","",""
"dbd_avg_o2_subtotal_3pc","Metric","N/A","","mean","10.949577","192,135","11.176475","199,469","0.226899","[+0.162691, +0.291106]","0.020722","[+1.4858%, +2.6586%]","0.000000","Significant","","","","11.174240","202,639","0.224664","[+0.160896, +0.288431]","0.020518","[+1.4694%, +2.6342%]","0.000000","Significant","","","","11.167155","202,220","0.217578","[+0.153865, +0.281291]","0.019871","[+1.4052%, +2.569%]","0.000000","Significant","","",""
