"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_revenue","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"avg_dat_mins","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"chex_ct_cancel_order","Metric","N/A","","mean","0.022635","7,722,834","0.022574","7,723,361","-0.000059","[-0.00015, +0.000031]","-0.002618","[-0.662%, +0.1383%]","0.199672","-","","",""
"chex_ct_cart_page_conversion","Metric","N/A","","mean","0.830552","8,790,910","0.830487","8,789,968","-0.000068","[-0.000306, +0.000171]","-0.000082","[-0.0369%, +0.0205%]","0.577104","-","","",""
"chex_ct_cart_page_conversion_deliveries","Metric","N/A","","mean","0.813943","8,790,910","0.813832","8,789,968","-0.000095","[-0.000344, +0.000153]","-0.000117","[-0.0422%, +0.0188%]","0.452442","-","","",""
"chex_ct_checkout_page_failure","Metric","N/A","","mean","0.071113","8,790,910","0.071256","8,789,968","0.000145","[-0.000028, +0.000317]","0.002032","[-0.0392%, +0.4457%]","0.100391","-","","",""
"chex_ct_checkout_page_load","Metric","N/A","","mean","0.952224","8,790,910","0.952215","8,789,968","-0.000004","[-0.00013, +0.000122]","-0.000004","[-0.0136%, +0.0129%]","0.954684","-","","",""
"chex_ct_conversion_after_cancel","Metric","N/A","","mean","0.935226","514,466","0.934543","513,192","-0.000655","[-0.001544, +0.000235]","-0.000700","[-0.1651%, +0.0251%]","0.149205","-","","",""
"chex_ct_conversion_after_checkout_failure","Metric","N/A","","mean","0.808640","1,611,554","0.808349","1,614,028","-0.000239","[-0.00111, +0.000632]","-0.000296","[-0.1373%, +0.0781%]","0.590544","-","","",""
"chex_ct_conversion_after_payment_failure","Metric","N/A","","mean","0.889426","1,102,534","0.889435","1,103,938","0.000019","[-0.000738, +0.000775]","0.000021","[-0.083%, +0.0871%]","0.961603","-","","",""
"chex_ct_mfa_page_close","Metric","N/A","","mean","0.131444","381,717","0.131546","382,276","0.000156","[-0.001371, +0.001684]","0.001189","[-1.043%, +1.2809%]","0.840975","-","","",""
"chex_ct_mfa_page_load","Metric","N/A","","mean","0.014297","7,722,834","0.014320","7,723,361","0.000009","[-0.000055, +0.000073]","0.000631","[-0.3812%, +0.5075%]","0.780640","-","","",""
"chex_ct_mfa_page_success","Metric","N/A","","mean","0.922808","381,717","0.922547","382,276","-0.000314","[-0.001546, +0.000917]","-0.000340","[-0.1675%, +0.0994%]","0.617064","-","","",""
