"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","pointwise_treatment Value","pointwise_treatment Exposure Volume","pointwise_treatment Absolute Impact","pointwise_treatment Absolute Impact Confidence Interval","pointwise_treatment Relative Impact","pointwise_treatment Relative Impact Confidence Interval","pointwise_treatment P Value","pointwise_treatment Significance","pointwise_treatment Coverage","pointwise_treatment Relative Global Lift","pointwise_treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.002619","5,800,988","0.002633","5,804,487","0.000014","[-0.000045, +0.000073]","0.005346","[-1.7139%, +2.783%]","0.641234","-","","",""
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_ads_revenue_archived","Metric","N/A","","mean","0.268152","6,029,990","0.266914","6,034,239","-0.001146","[-0.002531, +0.00024]","-0.004272","[-0.944%, +0.0895%]","0.105122","-","0.176091","-0.000752","-0.003430"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_revenue","Metric","N/A","","mean","0.313493","5,800,988","0.312478","5,804,487","-0.001015","[-0.002684, +0.000654]","-0.003238","[-0.8563%, +0.2086%]","0.233287","-","0.182690","-0.000592","-0.000344"
"avg_dat_mins","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"cng_order_rate_nc","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"consumer_mto","Metric","N/A","","mean","0.037563","5,800,988","0.037597","5,804,487","0.000034","[-0.000287, +0.000355]","0.000905","[-0.7642%, +0.9452%]","0.835568","-","0.251389","0.000228","0.000319"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","3.667035","5,800,988","3.670241","5,804,487","0.003206","[-0.0015, +0.007912]","0.000874","[-0.0409%, +0.2158%]","0.181767","-","0.308365","0.000165","0.000989"
"consumers_mau","Metric","N/A","","mean","0.961633","5,800,988","0.961591","5,804,487","-0.000042","[-0.000263, +0.000179]","-0.000044","[-0.0274%, +0.0186%]","0.709632","-","0.308365","-0.000013","-0.000007"
"dashpass_paid_balance","Metric","N/A","","mean","0.210692","5,800,988","0.210494","5,804,487","-0.000198","[-0.000667, +0.000271]","-0.000940","[-0.3167%, +0.1287%]","0.408142","-","0.184440","-0.000173","-0.000085"
"dashpass_signup","Metric","N/A","","mean","0.035686","5,800,988","0.035582","5,804,487","-0.000104","[-0.000346, +0.000138]","-0.002914","[-0.9706%, +0.3877%]","0.400304","-","0.347243","-0.001012","-0.000820"
"dbd_attach_rate_post_checkout","Metric","N/A","","mean","0.016069","5,127,581","0.017152","5,129,649","0.001084","[+0.000967, +0.0012]","0.067439","[+6.018%, +7.4698%]","0.000000","Significant","0.316641","0.009421","0.000343"
"dbd_attach_rate_pre_and_post","Metric","N/A","","mean","0.016262","5,429,639","0.017324","5,432,274","0.001063","[+0.000947, +0.001179]","0.065364","[+5.822%, +7.2508%]","0.000000","Significant","0.315551","0.008780","0.000335"
"dbd_attach_rate_pre_checkout","Metric","N/A","","mean","0.001042","5,429,639","0.001061","5,432,274","0.000019","[-0.000018, +0.000055]","0.017934","[-1.7173%, +5.3041%]","0.316708","-","0.315828","0.001233","0.000006"
"dbd_avg_o2_20_late","Metric","N/A","","mean","0.026261","164,095","0.025491","175,343","-0.000770","[-0.001801, +0.000262]","-0.029312","[-6.859%, +0.9965%]","0.143547","-","0.137554","-0.004098","-0.000106"
"dbd_avg_o2_cancellations","Metric","N/A","","mean","0.038327","170,179","0.034995","181,310","-0.003332","[-0.004531, -0.002134]","-0.086942","[-11.8208%, -5.5675%]","0.000000","Significant","0.138774","-0.016209","-0.000462"
"dbd_avg_o2_dx_cost","Metric","N/A","","mean","4.095439","170,184","3.965672","181,321","-0.129767","[-0.150176, -0.109359]","-0.031686","[-3.6669%, -2.6703%]","0.000000","Significant","0.138773","-0.004203","-0.018008"
"dbd_avg_o2_gov_1pc","Metric","N/A","","mean","14.799346","4,094","15.153002","2,820","0.353657","[-0.175725, +0.883038]","0.023897","[-1.1874%, +5.9667%]","0.190411","-","0.126922","0.002461","0.045219"
"dbd_avg_o2_gov_3pc","Metric","N/A","","mean","15.855758","49,612","15.705544","40,643","-0.150214","[-0.284167, -0.016261]","-0.009474","[-1.7922%, -0.1026%]","0.027957","Significant","0.135055","-0.001118","-0.020349"
"dbd_avg_o2_gov_alc","Metric","N/A","","mean","25.798782","4,192","26.173296","4,183","0.374514","[-0.498751, +1.247779]","0.014517","[-1.9332%, +4.8366%]","0.400593","-","0.090969","0.001241","0.034122"
"dbd_avg_o2_gov_flowers","Metric","N/A","","mean","46.591000","30","32.709375","16","-13.881625","[-26.978198, -0.785052]","-0.297946","[-57.9043%, -1.685%]","0.037760","Significant","0.198846","-0.068499","-2.760309"
"dbd_avg_o2_gov_grocery","Metric","N/A","","mean","22.848181","12,558","23.103559","7,990","0.255378","[-0.299186, +0.809941]","0.011177","[-1.3095%, +3.5449%]","0.366755","-","0.106394","0.000954","0.027369"
"dbd_avg_o2_gov_nv","Metric","N/A","","mean","17.728269","70,022","17.641136","55,497","-0.087134","[-0.24248, +0.068213]","-0.004915","[-1.3678%, +0.3848%]","0.271620","-","0.124936","-0.000516","-0.010937"
"dbd_avg_o2_gov_pets","Metric","N/A","","mean","33.438088","365","32.073881","400","-1.364208","[-5.342547, +2.614132]","-0.040798","[-15.9774%, +7.8178%]","0.501527","-","0.093830","-0.003371","-0.125469"
"dbd_avg_o2_gov_rx","Metric","N/A","","mean","17.804588","103,846","18.123345","129,750","0.318757","[+0.21989, +0.417624]","0.017903","[+1.235%, +2.3456%]","0.000000","Significant","0.147534","0.002416","0.047005"
"dbd_avg_o2_hqdr","Metric","N/A","","mean","0.911820","170,183","0.915481","181,321","0.003661","[+0.001853, +0.005469]","0.004015","[+0.2032%, +0.5998%]","0.000072","Significant","0.138773","0.000553","0.000508"
"dbd_avg_o2_mi","Metric","N/A","","mean","0.012884","164,099","0.013067","175,354","0.000183","[-0.00056, +0.000926]","0.014210","[-4.3487%, +7.1907%]","0.629305","-","0.137553","0.001444","0.000025"
"dbd_avg_o2_nd","Metric","N/A","","mean","0.010595","164,095","0.010765","175,343","0.000169","[-0.00051, +0.000849]","0.015990","[-4.8164%, +8.0144%]","0.625198","-","0.137553","0.002866","0.000023"
"dbd_avg_o2_package","Metric","N/A","","mean","0.660743","164,094","0.651750","175,342","-0.008993","[-0.012103, -0.005883]","-0.013610","[-1.8317%, -0.8903%]","0.000000","Significant","0.137553","-0.001870","-0.001237"
"dbd_avg_o2_sdb","Metric","N/A","","mean","0.681559","170,184","0.677189","181,321","-0.004370","[-0.007368, -0.001371]","-0.006411","[-1.081%, -0.2012%]","0.004283","Significant","0.138773","-0.000896","-0.000606"
"dbd_avg_o2_subtotal_1pc","Metric","N/A","","mean","9.280883","4,094","9.737180","2,820","0.456298","[+0.030117, +0.882478]","0.049165","[+0.3245%, +9.5086%]","0.035864","Significant","0.126922","0.004654","0.058343"
"dbd_avg_o2_subtotal_3pc","Metric","N/A","","mean","9.120926","49,612","9.073694","40,643","-0.047232","[-0.155363, +0.060899]","-0.005178","[-1.7034%, +0.6677%]","0.391930","-","0.135055","-0.000561","-0.006398"
"dbd_avg_o2_subtotal_alc","Metric","N/A","","mean","18.782098","4,192","19.093781","4,183","0.311683","[-0.350082, +0.973448]","0.016595","[-1.8639%, +5.1829%]","0.355946","-","0.090969","0.001373","0.028397"
"dbd_avg_o2_subtotal_flowers","Metric","N/A","","mean","36.258667","30","27.995625","16","-8.263042","[-18.55776, +2.031677]","-0.227891","[-51.1816%, +5.6033%]","0.115681","-","0.198846","-0.051032","-1.643075"
"dbd_avg_o2_subtotal_grocery","Metric","N/A","","mean","14.805823","12,558","15.198848","7,990","0.393025","[-0.062316, +0.848366]","0.026545","[-0.4209%, +5.7299%]","0.090697","-","0.106393","0.002129","0.042121"
"dbd_avg_o2_subtotal_nv","Metric","N/A","","mean","10.810387","70,022","10.856627","55,497","0.046240","[-0.080106, +0.172586]","0.004277","[-0.741%, +1.5965%]","0.473186","-","0.124936","0.000414","0.005804"
"dbd_avg_o2_subtotal_pets","Metric","N/A","","mean","25.595900","365","23.943955","400","-1.651945","[-4.910588, +1.606698]","-0.064539","[-19.1851%, +6.2772%]","0.320423","-","0.093830","-0.005268","-0.151933"
"dbd_avg_o2_subtotal_rx","Metric","N/A","","mean","11.039005","103,846","11.282727","129,750","0.243721","[+0.167856, +0.319587]","0.022078","[+1.5206%, +2.8951%]","0.000000","Significant","0.147534","0.002791","0.035940"
"dbd_avg_o2_vp_1pc","Metric","N/A","","mean","-20.499030","4,094","-19.569036","2,820","0.929994","[+0.328415, +1.531573]","-0.045368","[-1.6021%, -7.4714%]","0.002446","Significant","0.126922","-0.008276","0.118910"
"dbd_avg_o2_vp_3pc","Metric","N/A","","mean","-1.141254","49,612","-1.019937","40,643","0.121316","[+0.072823, +0.16981]","-0.106301","[-6.3809%, -14.8793%]","0.000001","Significant","0.135055","-0.027688","0.016435"
"dbd_avg_o2_vp_alc","Metric","N/A","","mean","-0.757331","4,192","-0.722406","4,183","0.034926","[-0.20005, +0.269901]","-0.046117","[+26.4151%, -35.6385%]","0.770805","-","0.090969","-0.010892","0.003182"
"dbd_avg_o2_vp_flowers","Metric","N/A","","mean","4.060845","30","1.018974","16","-3.041871","[-7.381203, +1.29746]","-0.749073","[-181.7652%, +31.9505%]","0.169462","-","0.198846","-0.397647","-0.604865"
"dbd_avg_o2_vp_grocery","Metric","N/A","","mean","-2.482443","12,558","-2.141315","7,990","0.341129","[+0.173673, +0.508584]","-0.137416","[-6.9961%, -20.4872%]","0.000065","Significant","0.106394","-0.021998","0.036559"
"dbd_avg_o2_vp_nv","Metric","N/A","","mean","-2.441426","70,022","-2.075961","55,497","0.365466","[+0.291879, +0.439052]","-0.149693","[-11.9552%, -17.9834%]","0.000000","Significant","0.124936","-0.030657","0.045874"
"dbd_avg_o2_vp_pets","Metric","N/A","","mean","0.476158","365","-0.329560","400","-0.805718","[-1.792449, +0.181013]","-1.692124","[-376.4403%, +38.0155%]","0.109507","-","0.093830","-0.112036","-0.074104"
"dbd_avg_o2_vp_rx","Metric","N/A","","mean","-0.918866","103,846","-0.951299","129,750","-0.032433","[-0.069925, +0.005059]","0.035297","[+7.6099%, -0.5506%]","0.089981","-","0.147534","0.010611","-0.004783"
"dbd_bottom_sheet_load_latency_ios","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_cx_retrial","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_existing_attach_rate_post_checkout","Metric","N/A","","mean","0.061267","92,087","0.061266","97,946","-0.000001","[-0.001627, +0.001625]","-0.000020","[-2.656%, +2.652%]","0.998827","-","0.012993","0.000000","0.000000"
"dbd_new_attach_rate_post_checkout","Metric","N/A","","mean","0.014984","5,113,774","0.016025","5,115,600","0.001042","[+0.000936, +0.001148]","0.069527","[+6.2457%, +7.6598%]","0.000000","Significant","0.752735","0.053349","0.000784"
"dbd_nv_trials_net_new_per_cx","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_nv_trials_per_cx","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_nv_trials_retrial_per_cx","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_o2_aov","Metric","N/A","","mean","18.547911","164,549","18.692391","175,857","0.144480","[+0.060154, +0.228805]","0.007790","[+0.3243%, +1.2336%]","0.000785","Significant","0.137583","0.000957","0.019886"
"dbd_o2_gmv","Metric","N/A","","mean","0.572799","5,800,988","0.616832","5,804,487","0.044033","[+0.039037, +0.049029]","0.076873","[+6.8151%, +8.5596%]","0.000000","Significant","0.119235","0.009166","0.264548"
"dbd_o2_subtotal","Metric","N/A","","mean","11.010842","164,549","11.187814","175,857","0.176972","[+0.109703, +0.244241]","0.016073","[+0.9963%, +2.2182%]","0.000000","Significant","0.137583","0.001820","0.024358"
"dbd_o2_trials_per_cx","Metric","N/A","","mean","0.029790","5,430,077","0.031833","5,432,772","0.002043","[+0.001837, +0.002249]","0.068580","[+6.1681%, +7.5479%]","0.000000","Significant","0.738539","0.050649","0.000981"
"dbd_o2_vp","Metric","N/A","","mean","-1.327928","164,549","-1.014718","175,857","0.313210","[+0.210304, +0.416117]","-0.235864","[-15.837%, -31.3358%]","0.000000","Significant","0.137583","-0.061625","0.043109"
"dbd_o2_vp_per_cx","Metric","N/A","","mean","-0.041009","5,800,988","-0.033485","5,804,487","0.007524","[+0.004315, +0.010734]","-0.183482","[-10.5229%, -26.1736%]","0.000004","Significant","0.254764","-0.046745","0.045207"
"dbd_o_2_trials_per_cx_post_checkout","Metric","N/A","","mean","0.028715","5,430,077","0.030758","5,432,772","0.002043","[+0.001841, +0.002245]","0.071147","[+6.4112%, +7.8183%]","0.000000","Significant","0.767926","0.054636","0.000981"
"dbd_o_2_trials_per_cx_pre_checkout","Metric","N/A","","mean","0.001075","5,430,077","0.001075","5,432,772","0.000000","[-0.000039, +0.000039]","0.000000","[-3.6258%, +3.6258%]","1.000000","-","0.365337","0.000000","0.000000"
"dbd_order_frequency","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_order_frequency_14d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_order_frequency_28d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_order_frequency_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_order_rate","Metric","N/A","","mean","0.030882","5,800,988","0.032999","5,804,487","0.002117","[+0.001892, +0.002342]","0.068551","[+6.127%, +7.5833%]","0.000000","Significant","0.133658","0.009162","0.012719"
"dbd_order_rate_7d","Metric","N/A","","mean","0.026149","5,800,988","0.027885","5,804,487","0.001736","[+0.001536, +0.001936]","0.066389","[+5.8724%, +7.4054%]","0.000000","Significant","0.113080","0.007507","0.010430"
"dbd_total_o2_gmv_1pc","Metric","N/A","","mean","0.010845","5,800,988","0.007709","5,804,487","-0.003136","[-0.003688, -0.002584]","-0.289169","[-34.005%, -23.8287%]","0.000000","Significant","0.118869","-0.034373","-0.001599"
"dbd_total_o2_gmv_3pc","Metric","N/A","","mean","0.144580","5,800,988","0.117665","5,804,487","-0.026915","[-0.029014, -0.024815]","-0.186157","[-20.0679%, -17.1635%]","0.000000","Significant","0.127895","-0.023808","-0.013727"
"dbd_total_o2_gmv_alc","Metric","N/A","","mean","0.019555","5,800,988","0.019818","5,804,487","0.000263","[-0.000824, +0.00135]","0.013443","[-4.2146%, +6.9033%]","0.635510","-","0.085447","0.001149","0.000134"
"dbd_total_o2_gmv_flowers","Metric","N/A","","mean","0.000241","5,800,988","0.000090","5,804,487","-0.000151","[-0.00026, -0.000042]","-0.625797","[-107.7508%, -17.4087%]","0.006621","Significant","0.280327","-0.175428","-0.000077"
"dbd_total_o2_gmv_grocery","Metric","N/A","","mean","0.051553","5,800,988","0.033419","5,804,487","-0.018135","[-0.019701, -0.016569]","-0.351767","[-38.2142%, -32.1391%]","0.000000","Significant","0.101719","-0.035781","-0.009249"
"dbd_total_o2_gmv_nv","Metric","N/A","","mean","0.230364","5,800,988","0.182545","5,804,487","-0.047819","[-0.050814, -0.044824]","-0.207581","[-22.0583%, -19.4579%]","0.000000","Significant","0.115264","-0.023927","-0.024389"
"dbd_total_o2_gmv_pets","Metric","N/A","","mean","0.002162","5,800,988","0.002221","5,804,487","0.000060","[-0.000351, +0.00047]","0.027645","[-16.2165%, +21.7455%]","0.775292","-","0.080763","0.002233","0.000030"
"dbd_total_o2_gmv_rx","Metric","N/A","","mean","0.338914","5,800,988","0.430540","5,804,487","0.091626","[+0.087761, +0.095491]","0.270352","[+25.8949%, +28.1755%]","0.000000","Significant","0.121888","0.032953","0.046731"
