"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment M1 Value","treatment M1 Exposure Volume","treatment M1 Absolute Impact","treatment M1 Absolute Impact Confidence Interval","treatment M1 Relative Impact","treatment M1 Relative Impact Confidence Interval","treatment M1 P Value","treatment M1 Significance","treatment M1 Coverage","treatment M1 Relative Global Lift","treatment M1 Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_revenue","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"avg_dat_mins","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"cng_order_rate_nc","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"consumer_mto","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"consumers_mau","Metric","N/A","","mean","0.960407","7,946,046","0.960439","7,944,583","0.000049","[-0.00014, +0.000239]","0.000051","[-0.0146%, +0.0248%]","0.611719","-","","",""
"dashpass_paid_balance","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dashpass_signup","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_attach_rate_post_checkout","Metric","N/A","","mean","0.037299","7,055,259","0.037690","7,050,838","0.000391","[+0.000237, +0.000545]","0.010486","[+0.6365%, +1.4607%]","0.000001","Significant","","",""
"dbd_attach_rate_pre_and_post","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_attach_rate_pre_checkout","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_avg_o2_20_late","Metric","N/A","","mean","0.032434","595,781","0.031768","600,425","-0.000666","[-0.001222, -0.00011]","-0.020533","[-3.7664%, -0.3401%]","0.018822","Significant","","",""
"dbd_avg_o2_cancellations","Metric","N/A","","mean","0.029849","610,971","0.030021","615,686","0.000172","[-0.000355, +0.000699]","0.005770","[-1.1878%, +2.3417%]","0.521668","-","","",""
"dbd_avg_o2_distinct_items","Metric","N/A","","mean","1.810479","611,187","1.804903","615,915","-0.004559","[-0.009389, +0.00027]","-0.002518","[-0.5186%, +0.0149%]","0.064263","-","","",""
"dbd_avg_o2_dx_cost","Metric","N/A","","mean","4.233539","611,187","4.227073","615,915","-0.006466","[-0.018165, +0.005233]","-0.001527","[-0.4291%, +0.1236%]","0.278693","-","","",""
"dbd_avg_o2_hqdr","Metric","N/A","","mean","0.913399","611,180","0.914283","615,908","0.000885","[+0.00001, +0.001759]","0.000969","[+0.0011%, +0.1926%]","0.047367","Significant","","",""
