"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment3 Value","treatment3 Exposure Volume","treatment3 Absolute Impact","treatment3 Absolute Impact Confidence Interval","treatment3 Relative Impact","treatment3 Relative Impact Confidence Interval","treatment3 P Value","treatment3 Significance","treatment3 Coverage","treatment3 Relative Global Lift","treatment3 Absolute Global Lift","treatment4 Value","treatment4 Exposure Volume","treatment4 Absolute Impact","treatment4 Absolute Impact Confidence Interval","treatment4 Relative Impact","treatment4 Relative Impact Confidence Interval","treatment4 P Value","treatment4 Significance","treatment4 Coverage","treatment4 Relative Global Lift","treatment4 Absolute Global Lift","treatment5 Value","treatment5 Exposure Volume","treatment5 Absolute Impact","treatment5 Absolute Impact Confidence Interval","treatment5 Relative Impact","treatment5 Relative Impact Confidence Interval","treatment5 P Value","treatment5 Significance","treatment5 Coverage","treatment5 Relative Global Lift","treatment5 Absolute Global Lift"
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_ads_revenue_archived","Metric","N/A","","mean","0.934507","1,665,050","0.936358","1,667,948","0.001647","[-0.003975, +0.007269]","0.001763","[-0.4253%, +0.7779%]","0.565791","-","0.163701","0.000289","0.001507","0.938062","1,665,014","0.002395","[-0.00376, +0.00855]","0.002563","[-0.4023%, +0.9149%]","0.445637","-","0.163701","0.000420","0.002191","0.938424","1,665,343","0.003815","[-0.00181, +0.009441]","0.004083","[-0.1937%, +1.0102%]","0.183726","-","0.163701","0.000668","0.003490"
"consumer_mto","Metric","N/A","","mean","0.074263","1,665,050","0.074879","1,667,948","0.000609","[-0.000363, +0.001582]","0.008204","[-0.4893%, +2.1301%]","0.219551","-","0.146440","0.001201","0.001812","0.074605","1,665,014","0.000212","[-0.000709, +0.001134]","0.002857","[-0.9552%, +1.5265%]","0.651838","-","0.146440","0.000418","0.000631","0.075006","1,665,343","0.000368","[-0.00058, +0.001316]","0.004953","[-0.7817%, +1.7723%]","0.447110","-","0.146440","0.000725","0.001094"
"consumers_mau","Metric","N/A","","mean","0.741921","1,665,050","0.742122","1,667,948","0.000275","[-0.0006, +0.001151]","0.000371","[-0.0809%, +0.1552%]","0.537721","-","0.123481","0.000046","0.000021","0.741696","1,665,014","-0.000261","[-0.001137, +0.000615]","-0.000352","[-0.1533%, +0.0829%]","0.558994","-","0.123481","-0.000043","-0.000020","0.742233","1,665,343","0.000215","[-0.000661, +0.001092]","0.000290","[-0.089%, +0.1471%]","0.629785","-","0.123481","0.000036","0.000017"
"dashpass_signup","Metric","N/A","","mean","0.054309","1,665,050","0.053919","1,667,948","-0.000392","[-0.000886, +0.000102]","-0.007221","[-1.6314%, +0.1872%]","0.119587","-","0.155196","-0.001121","-0.000888","0.053986","1,665,014","-0.000325","[-0.000819, +0.000169]","-0.005989","[-1.5089%, +0.3112%]","0.197117","-","0.155196","-0.000929","-0.000736","0.053842","1,665,343","-0.000469","[-0.000963, +0.000025]","-0.008638","[-1.774%, +0.0465%]","0.062894","-","0.155196","-0.001341","-0.001062"
"dbd_anchor_store_page_conversion","Metric","N/A","","mean","0.315935","1,648,532","0.311050","1,651,796","-0.004885","[-0.005694, -0.004075]","-0.015461","[-1.8024%, -1.2898%]","0.000000","Significant","0.806760","-0.012604","-0.003952","0.311118","1,648,720","-0.004817","[-0.005629, -0.004005]","-0.015246","[-1.7816%, -1.2675%]","0.000000","Significant","0.806760","-0.012431","-0.003898","0.310604","1,649,042","-0.005331","[-0.00614, -0.004521]","-0.016873","[-1.9435%, -1.431%]","0.000000","Significant","0.806760","-0.013758","-0.004314"
"dbd_nv_o2_trials_per_cx","Metric","N/A","","mean","0.013087","1,217,554","0.013040","1,219,473","-0.000047","[-0.000337, +0.000244]","-0.003577","[-2.5768%, +1.8613%]","0.752021","-","0.163771","-0.000586","-0.000007","0.013010","1,216,897","-0.000078","[-0.000368, +0.000212]","-0.005943","[-2.8111%, +1.6225%]","0.599283","-","0.163771","-0.000973","-0.000012","0.013160","1,217,810","0.000075","[-0.000216, +0.000366]","0.005765","[-1.6473%, +2.8004%]","0.611364","-","0.163771","0.000944","0.000012"
"dbd_o2_gmv","Metric","N/A","","mean","3.007343","1,665,050","3.091454","1,667,948","0.071722","[+0.042568, +0.100876]","0.023849","[+1.4155%, +3.3543%]","0.000001","Significant","0.185087","0.004414","0.149305","3.095627","1,665,014","0.070400","[+0.041288, +0.099512]","0.023409","[+1.3729%, +3.309%]","0.000002","Significant","0.185087","0.004333","0.146554","3.090509","1,665,343","0.064439","[+0.035265, +0.093613]","0.021427","[+1.1726%, +3.1128%]","0.000015","Significant","0.185087","0.003966","0.134145"
"dbd_o2_trials_per_cx","Metric","N/A","","mean","0.025917","1,217,554","0.026812","1,219,473","0.000897","[+0.000495, +0.001299]","0.034620","[+1.911%, +5.0131%]","0.000012","Significant","0.146016","0.005055","0.000142","0.026607","1,216,897","0.000690","[+0.000288, +0.001091]","0.026615","[+1.1126%, +4.2105%]","0.000758","Significant","0.146016","0.003886","0.000109","0.026681","1,217,810","0.000775","[+0.000373, +0.001176]","0.029887","[+1.439%, +4.5384%]","0.000157","Significant","0.146016","0.004364","0.000123"
"dbd_order_rate","Metric","N/A","","mean","0.144046","1,665,050","0.148639","1,667,948","0.004563","[+0.003288, +0.005838]","0.031676","[+2.2823%, +4.0529%]","0.000000","Significant","0.183197","0.005803","0.009499","0.148589","1,665,014","0.004129","[+0.002857, +0.005402]","0.028666","[+1.9833%, +3.7499%]","0.000000","Significant","0.183197","0.005252","0.008596","0.148589","1,665,343","0.003985","[+0.002708, +0.005262]","0.027665","[+1.8797%, +3.6533%]","0.000000","Significant","0.183197","0.005068","0.008296"
