"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","doubledash-us-treatment-min-119-119 Value","doubledash-us-treatment-min-119-119 Exposure Volume","doubledash-us-treatment-min-119-119 Absolute Impact","doubledash-us-treatment-min-119-119 Absolute Impact Confidence Interval","doubledash-us-treatment-min-119-119 Relative Impact","doubledash-us-treatment-min-119-119 Relative Impact Confidence Interval","doubledash-us-treatment-min-119-119 P Value","doubledash-us-treatment-min-119-119 Significance","doubledash-us-treatment-min-119-119 Coverage","doubledash-us-treatment-min-119-119 Relative Global Lift","doubledash-us-treatment-min-119-119 Absolute Global Lift","doubledash-us-treatment-min-99-99 Value","doubledash-us-treatment-min-99-99 Exposure Volume","doubledash-us-treatment-min-99-99 Absolute Impact","doubledash-us-treatment-min-99-99 Absolute Impact Confidence Interval","doubledash-us-treatment-min-99-99 Relative Impact","doubledash-us-treatment-min-99-99 Relative Impact Confidence Interval","doubledash-us-treatment-min-99-99 P Value","doubledash-us-treatment-min-99-99 Significance","doubledash-us-treatment-min-99-99 Coverage","doubledash-us-treatment-min-99-99 Relative Global Lift","doubledash-us-treatment-min-99-99 Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.005996","8,842,901","0.006049","8,587,219","0.000053","[-0.00002, +0.000126]","0.008818","[-0.3298%, +2.0935%]","0.153726","-","","","","0.006017","8,585,404","0.000021","[-0.000051, +0.000094]","0.003575","[-0.8525%, +1.5676%]","0.562544","-","","",""
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"ads_revenue","Metric","N/A","","mean","1.062749","8,842,901","1.062839","8,587,219","0.000382","[-0.002354, +0.003119]","0.000360","[-0.2215%, +0.2935%]","0.784327","-","0.620278","0.000223","0.001274","1.065135","8,585,404","0.002217","[-0.000543, +0.004978]","0.002087","[-0.0511%, +0.4684%]","0.115367","-","0.620278","0.001294","0.007391"
"avg_dat_mins","Metric","N/A","","mean","1187.168471","6,699,270","1187.078126","6,505,731","-0.088306","[-0.542137, +0.365524]","-0.000074","[-0.0457%, +0.0308%]","0.702929","-","0.582786","-0.000043","-0.051446","1187.254635","6,505,485","0.146314","[-0.307507, +0.600135]","0.000123","[-0.0259%, +0.0506%]","0.527450","-","0.582786","0.000072","0.085285"
"chex_ct_cancel_order","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"chex_ct_cart_page_conversion","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"chex_ct_cart_page_conversion_deliveries","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"chex_ct_checkout_page_load","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"chex_ct_place_order","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
