Metric Name,Desired Direction,Dimension Name,Dimension Value,Label,Variant Name,Metric Value,Metric Impact Relative,Metric Impact Relative Lower Bound,Metric Impact Relative Upper Bound,Metric Impact Relative Global Lift,Metric Impact Absolute,Metric Impact Absolute Lower Bound,Metric Impact Absolute Upper Bound,Metric Impact Absolute Global Lift,P Value,Metric Impact Relative Sequential Lower Bound,Metric Impact Relative Sequential Upper Bound,Metric Impact Absolute Sequential Lower Bound,Metric Impact Absolute Sequential Upper Bound,P Value Sequential,Participating Units,Analyzed At
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Active,,control,0.00558,,,,,,,,,,,,,,,1565380,2024-12-17 16:16:28
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Active,,treatment,0.005687,0.01927991,-0.01043112,0.04899095,,0.00010758,-0.00005821,0.00027337,,0.20342685,-0.02744594,0.06600576,-0.00015315,0.00036831,1.0,1566053,2024-12-17 16:16:28
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Churned,,control,0.011692,,,,,,,,,,,,,,,187991,2024-12-17 16:16:20
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Churned,,treatment,0.011505,-0.01656778,-0.07511782,0.04198226,,-0.00019371,-0.00087828,0.00049086,,0.57916362,-0.10864808,0.07551252,-0.00127031,0.00088289,1.0,187752,2024-12-17 16:16:20
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_payment_method,guardrail,treatment,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,127,2024-12-16 20:46:07
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_payment_method,guardrail,control,0.0,,,,,,,,,,,,,,,149,2024-12-16 20:46:07
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_payment_method,guardrail,treatment,0.66765613,-0.05038609,-0.15375081,0.05297863,0.0,-0.03542554,-0.10809938,0.0372483,0.0,0.33937412,-0.21294539,0.11217321,-0.149718,0.07886693,1.0,325,2024-12-16 20:44:07
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_payment_method,guardrail,control,0.70308167,,,,,,,,,,,,,,,338,2024-12-16 20:44:07
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_to_cart,guardrail,treatment,0.00162707,0.01430153,-0.01178399,0.04038706,0.00478796,0.00002294,-0.0000189,0.00006478,8e-6,0.28257135,-0.02672257,0.05532564,-0.00004286,0.00008874,1.0,1964422,2024-12-16 20:46:07
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_to_cart,guardrail,control,0.00560727,,,,,,,,,,,,,,,1964719,2024-12-16 20:44:07
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_to_cart,guardrail,treatment,0.00569133,0.01513009,0.00231805,0.02794213,0.00350618,0.00008484,0.000013,0.00015668,0.00002813,0.02063615,-0.0050191,0.03527929,-0.00002814,0.00019782,0.26232116,1964946,2024-12-16 20:44:07
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_to_cart,guardrail,control,0.00160394,,,,,,,,,,,,,,,1964113,2024-12-16 20:46:07
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_create_address,guardrail,treatment,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,431,2024-12-16 20:46:07
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_create_address,guardrail,control,0.0,,,,,,,,,,,,,,,413,2024-12-16 20:46:07
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_create_address,guardrail,control,0.11764694,,,,,,,,,,,,,,,66,2024-12-16 20:44:07
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_create_address,guardrail,treatment,0.076087,-0.35325987,-1.14928095,0.44276121,0.0,-0.04155994,-0.13520939,0.0520895,0.0,0.38441143,-1.6051438,0.89862406,-0.18884026,0.10572037,1.0,92,2024-12-16 20:44:07
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_delete_cart,guardrail,treatment,0.02441854,0.20022242,0.18539777,0.21504707,0.04133358,0.00407354,0.00377193,0.00437515,0.00033166,0.0,0.17690803,0.22353681,0.00359921,0.00454788,0.0,1217716,2024-12-16 20:44:07
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_delete_cart,guardrail,treatment,0.0004259,-0.00456939,-0.09803758,0.08889881,0.0,-1.96e-6,-0.00004195,0.00003804,0.0,0.92366599,-0.15156466,0.14242588,-0.00006485,0.00006094,1.0,1216821,2024-12-16 20:46:07
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_delete_cart,guardrail,control,0.02034509,,,,,,,,,,,,,,,1222673,2024-12-16 20:44:07
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_delete_cart,guardrail,control,0.00042786,,,,,,,,,,,,,,,1221297,2024-12-16 20:46:07
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_place_order,guardrail,control,0.00178711,,,,,,,,,,,,,,,1971908,2024-12-16 20:46:07
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_place_order,guardrail,control,0.00416069,,,,,,,,,,,,,,,1882602,2024-12-16 20:44:07
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_place_order,guardrail,treatment,0.00419694,0.00865291,-0.01409838,0.0314042,0.00051386,0.000036,-0.00005866,0.00013066,4.12e-6,0.45601463,-0.02712752,0.04443334,-0.00011287,0.00018487,1.0,1881635,2024-12-16 20:44:07
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_place_order,guardrail,treatment,0.00179621,0.00495705,-0.05208796,0.06200206,0.00077839,8.86e-6,-0.00009309,0.0001108,1.3e-6,0.86476215,-0.08475631,0.09467041,-0.00015147,0.00016919,1.0,1971105,2024-12-16 20:46:07
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_set_address,guardrail,treatment,0.25396819,0.0197785,-0.09185313,0.13141012,0.0,0.00492699,-0.02288138,0.03273536,0.0,0.72839639,-0.15578197,0.19533896,-0.0388066,0.04866057,1.0,1981,2024-12-16 20:44:07
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_set_address,guardrail,control,0.00113606,,,,,,,,,,,,,,,778,2024-12-16 20:46:07
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_set_address,guardrail,control,0.24910839,,,,,,,,,,,,,,,1884,2024-12-16 20:44:07
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_set_address,guardrail,treatment,0.0,-0.99995193,-2.96086134,0.96095748,0.0,-0.001136,-0.00336371,0.0010917,0.0,0.31756715,-4.08382877,2.08392491,-0.00463946,0.00236746,1.0,705,2024-12-16 20:46:07
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_set_payment_method,guardrail,control,0.04660048,,,,,,,,,,,,,,,14070,2024-12-16 20:44:07
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_set_payment_method,guardrail,control,0.00192214,,,,,,,,,,,,,,,12206,2024-12-16 20:46:07
