"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.007636","2,219,927","0.007627","2,219,694","-0.000010","[-0.000172, +0.000152]","-0.001294","[-2.2494%, +1.9906%]","0.904769","-","","",""
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","2.851075","2,219,927","2.825789","2,219,694","-0.017434","[-0.029817, -0.005052]","-0.006115","[-1.0458%, -0.1772%]","0.005787","Significant","0.144853","-0.000886","-0.001658"
"ads_revenue","Metric","N/A","","mean","1.924580","2,219,927","1.921390","2,219,694","0.000364","[-0.007119, +0.007846]","0.000189","[-0.3699%, +0.4077%]","0.924127","-","0.120582","0.000023","0.000025"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.000000","2,219,927","0.000000","2,219,694","0.000000","[0, 0]","","[]","1.000000","-","0.000000","0.000000","0.000000"
"ad_product_bn","Dimension","ads_revenue","","mean","0.210377","2,219,927","0.207051","2,219,694","-0.004059","[-0.011406, +0.003288]","-0.019295","[-5.4217%, +1.5627%]","0.278849","-","0.013403","-0.000259","-0.000352"
"ad_product_pm","Dimension","ads_revenue","","mean","0.303829","2,219,927","0.301872","2,219,694","-0.001980","[-0.003497, -0.000463]","-0.006517","[-1.1511%, -0.1524%]","0.010529","Significant","0.019357","-0.000126","-0.000172"
"ad_product_sb","Dimension","ads_revenue","","mean","0.039025","2,219,927","0.038956","2,219,694","0.000149","[-0.000586, +0.000884]","0.003816","[-1.5008%, +2.2639%]","0.691126","-","0.002486","0.000009","0.000013"
"ad_product_sl","Dimension","ads_revenue","","mean","1.203591","2,219,927","1.201435","2,219,694","-0.000400","[-0.006471, +0.00567]","-0.000333","[-0.5376%, +0.4711%]","0.897148","-","0.076680","-0.000026","-0.000035"
"ad_product_sp","Dimension","ads_revenue","","mean","0.156046","2,219,927","0.157904","2,219,694","0.001868","[-0.000258, +0.003995]","0.011972","[-0.1655%, +2.5599%]","0.085092","-","0.009942","0.000119","0.000162"
"avg_dat_mins","Metric","N/A","","mean","1191.404769","1,929,713","1190.264999","1,929,107","-1.179831","[-2.025325, -0.334338]","-0.000990","[-0.17%, -0.0281%]","0.006238","Significant","0.111017","-0.000111","-0.131075"
"chex_ct_cancel_order","Metric","N/A","","mean","0.000776","1,954,200","0.000748","1,952,956","-0.000028","[-0.000063, +0.000007]","-0.036377","[-8.1501%, +0.8747%]","0.114095","-","","",""
"device_new_user_0","Dimension","chex_ct_cancel_order","","mean","0.000685","1,596,484","0.000658","1,594,526","-0.000028","[-0.000063, +0.000008]","-0.040461","[-9.2155%, +1.1233%]","0.125010","-","","",""
