"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_revenue","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"avg_dat_mins","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"cng_order_rate_nc","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"consumer_mto","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"consumers_mau","Metric","N/A","","mean","0.754247","3,041,823","0.754485","3,045,787","0.000175","[-0.000465, +0.000816]","0.000232","[-0.0617%, +0.1081%]","0.592019","-","","",""
"dashpass_paid_balance","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dashpass_signup","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_avg_o2_20_late_pre_checkout","Metric","N/A","","mean","0.040046","5,300","0.028180","12,078","-0.012178","[-0.017904, -0.006453]","-0.304110","[-44.709%, -16.1131%]","0.000031","Significant","","",""
"dbd_avg_o2_cancellations_pre_checkout","Metric","N/A","","mean","0.064199","5,666","0.043350","12,610","-0.022151","[-0.029089, -0.015213]","-0.345041","[-45.3116%, -23.6965%]","0.000000","Significant","","",""
"dbd_avg_o2_gov_pre_checkout","Metric","N/A","","mean","20.076508","5,666","19.738107","12,610","-0.202339","[-0.648071, +0.243393]","-0.010078","[-3.228%, +1.2123%]","0.373616","-","","",""
"dbd_avg_o2_hqdr_pre_checkout","Metric","N/A","","mean","0.891108","5,666","0.914645","12,610","0.023451","[+0.014419, +0.032484]","0.026317","[+1.6181%, +3.6454%]","0.000000","Significant","","",""
"dbd_avg_o2_sdb_pre_checkout","Metric","N/A","","mean","0.687913","5,666","0.790308","12,610","0.100486","[+0.086651, +0.114322]","0.146074","[+12.5963%, +16.6186%]","0.000000","Significant","","",""
"dbd_avg_o2_subtotals_pre_checkout","Metric","N/A","","mean","16.244692","5,666","15.786212","12,610","-0.331538","[-0.686647, +0.023571]","-0.020409","[-4.2269%, +0.1451%]","0.067270","-","","",""
"dbd_avg_o2_vp_pre_checkout","Metric","N/A","","mean","-0.635345","5,666","0.016693","12,610","0.615017","[+0.466296, +0.763737]","-0.968004","[-73.3926%, -120.2082%]","0.000000","Significant","","",""
