"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.004234","1,403,041","0.004146","1,401,787","-0.000088","[-0.000239, +0.000063]","-0.020787","[-5.6495%, +1.4922%]","0.253894","-","","",""
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_revenue","Metric","N/A","","mean","1.780775","1,403,041","1.778392","1,401,787","-0.002545","[-0.011382, +0.006292]","-0.001429","[-0.6392%, +0.3533%]","0.572390","-","0.132648","-0.000190","-0.001025"
"ad_product_sl","Dimension","ads_revenue","","mean","1.463748","1,419,671","1.454997","1,506,543","-0.008751","[-0.017069, -0.000433]","-0.005979","[-1.1661%, -0.0296%]","0.039201","Significant","0.103277","-0.000617","-0.003440"
"ad_product_sp","Dimension","ads_revenue","","mean","0.412987","1,419,671","0.442329","1,506,543","0.029342","[+0.025838, +0.032846]","0.071048","[+6.2564%, +7.9532%]","0.000000","Significant","0.029139","0.002070","0.011535"
"avg_dat_mins","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"cng_order_rate_nc","Metric","N/A","","mean","2.245845","1,403,041","2.247450","1,401,787","0.000776","[-0.003859, +0.005412]","0.000346","[-0.1718%, +0.241%]","0.742699","-","0.510496","0.000176","0.000354"
"consumer_mto","Metric","N/A","","mean","0.101173","1,403,041","0.100761","1,401,787","-0.000424","[-0.001645, +0.000796]","-0.004195","[-1.6259%, +0.7869%]","0.495551","-","0.142219","-0.000597","-0.000788"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","11.341380","1,403,041","11.335831","1,401,787","-0.005940","[-0.024858, +0.012978]","-0.000524","[-0.2192%, +0.1144%]","0.538282","-","0.072321","-0.000065","-0.000430"
"consumers_mau","Metric","N/A","","mean","0.995096","1,403,041","0.995178","1,401,787","0.000085","[-0.000077, +0.000248]","0.000086","[-0.0078%, +0.0249%]","0.303528","-","0.072321","0.000006","0.000003"
"dashpass_paid_balance","Metric","N/A","","mean","0.528441","1,403,041","0.529073","1,401,787","0.000485","[-0.00006, +0.00103]","0.000917","[-0.0114%, +0.1949%]","0.081198","-","0.096911","0.000089","0.000043"
"dashpass_signup","Metric","N/A","","mean","0.019649","1,403,041","0.019499","1,401,787","-0.000153","[-0.000489, +0.000183]","-0.007781","[-2.4864%, +0.9302%]","0.371988","-","0.040288","-0.000313","-0.000266"
"dbd_attach_rate_post_checkout","Metric","N/A","","mean","0.040237","1,373,970","0.040822","1,372,458","0.000578","[+0.00029, +0.000865]","0.014359","[+0.7218%, +2.1501%]","0.000081","Significant","0.158335","0.002802","0.000091"
"dbd_attach_rate_pre_and_post","Metric","N/A","","mean","0.048781","1,378,937","0.049323","1,377,600","0.000530","[+0.000207, +0.000853]","0.010862","[+0.4237%, +1.7487%]","0.001312","Significant","0.157602","0.002109","0.000083"
"dbd_attach_rate_pre_checkout","Metric","N/A","","mean","0.012368","1,378,937","0.012341","1,377,600","-0.000029","[-0.000217, +0.000159]","-0.002350","[-1.7523%, +1.2823%]","0.761480","-","0.174511","-0.000448","-0.000005"
"dbd_avg_o2_20_late","Metric","N/A","","mean","0.040843","220,951","0.040760","222,873","-0.000083","[-0.001022, +0.000855]","-0.002039","[-2.5015%, +2.0937%]","0.861937","-","0.195384","-0.000514","-0.000016"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_20_late","","mean","0.034254","1,779","0.034887","1,954","0.000634","[-0.00888, +0.010147]","0.018495","[-25.9239%, +29.623%]","0.896154","-","0.001480","0.000000","0.000000"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_20_late","","mean","0.033193","2,226","0.031878","2,232","-0.001316","[-0.01013, +0.007498]","-0.039639","[-30.5179%, +22.59%]","0.769843","-","0.001532","-0.000064","-0.000002"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_20_late","","mean","0.040316","228,710","0.040456","245,839","0.000140","[-0.000756, +0.001036]","0.003468","[-1.8759%, +2.5695%]","0.759747","-","0.192338","0.000858","0.000027"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_20_late","","mean","0.040685","17,670","0.039908","18,375","-0.000777","[-0.004831, +0.003277]","-0.019097","[-11.8749%, +8.0555%]","0.707212","-","0.008984","-0.000220","-0.000007"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_20_late","","mean","0.040179","215,405","0.040364","231,953","0.000186","[-0.000724, +0.001095]","0.004622","[-1.8017%, +2.7261%]","0.689045","-","0.186607","0.001105","0.000035"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_20_late","","mean","0.037631","196,148","0.038131","211,793","0.000500","[-0.000469, +0.001469]","0.013281","[-1.2475%, +3.9036%]","0.312178","-","0.151687","0.002425","0.000077"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_20_late","","mean","0.049008","56,032","0.048209","59,748","-0.000799","[-0.002877, +0.00128]","-0.016300","[-5.871%, +2.6111%]","0.451282","-","0.044007","-0.001100","-0.000035"
"dbd_avg_o2_cancellations","Metric","N/A","","mean","0.029575","225,946","0.029406","227,767","-0.000175","[-0.00097, +0.000621]","-0.005902","[-3.281%, +2.1006%]","0.667265","-","0.196258","-0.001372","-0.000034"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_cancellations","","mean","0.030558","200,909","0.030809","216,851","0.000252","[-0.000618, +0.001122]","0.008243","[-2.0229%, +3.6715%]","0.570423","-","0.152519","0.001556","0.000039"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_cancellations","","mean","0.024202","57,192","0.024711","60,957","0.000509","[-0.000962, +0.001979]","0.021024","[-3.9739%, +8.1787%]","0.497671","-","0.043959","0.000887","0.000022"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_cancellations","","mean","0.022541","1,810","0.023560","1,989","0.001019","[-0.006482, +0.00852]","0.045193","[-28.7578%, +37.7964%]","0.790103","-","0.001477","0.000059","0.000001"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_cancellations","","mean","0.030918","2,281","0.023950","2,279","-0.006968","[-0.015115, +0.00118]","-0.225361","[-48.8882%, +3.816%]","0.093709","-","0.001538","-0.000429","-0.000011"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_cancellations","","mean","0.029172","233,836","0.029569","251,222","0.000397","[-0.000366, +0.001159]","0.013601","[-1.2531%, +3.9732%]","0.307685","-","0.193109","0.003094","0.000078"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_cancellations","","mean","0.041101","18,328","0.041944","19,098","0.000843","[-0.003194, +0.00488]","0.020510","[-7.7714%, +11.8735%]","0.682350","-","0.009144","0.000307","0.000008"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_cancellations","","mean","0.028534","219,940","0.028889","236,699","0.000355","[-0.000412, +0.001122]","0.012430","[-1.4454%, +3.9313%]","0.364845","-","0.187223","0.002682","0.000067"
"dbd_avg_o2_dx_cost","Metric","N/A","","mean","4.203125","225,956","4.196950","227,779","-0.005094","[-0.022709, +0.012521]","-0.001212","[-0.5403%, +0.2979%]","0.570862","-","0.196262","-0.000249","-0.001001"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_dx_cost","","mean","3.719146","18,328","3.708572","19,097","-0.010574","[-0.062911, +0.041763]","-0.002843","[-1.6915%, +1.1229%]","0.692114","-","0.009143","-0.000024","-0.000097"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_dx_cost","","mean","4.210885","219,950","4.202135","236,711","-0.008750","[-0.026541, +0.00904]","-0.002078","[-0.6303%, +0.2147%]","0.335034","-","0.187228","-0.000414","-0.001660"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","4.155795","200,920","4.158282","216,861","0.002487","[-0.015627, +0.020601]","0.000598","[-0.376%, +0.4957%]","0.787884","-","0.152525","0.000096","0.000385"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","4.297349","57,192","4.257168","60,957","-0.040181","[-0.07657, -0.003793]","-0.009350","[-1.7818%, -0.0883%]","0.030446","Significant","0.043957","-0.000439","-0.001757"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_dx_cost","","mean","4.211004","1,810","4.190977","1,989","-0.020027","[-0.210582, +0.170528]","-0.004756","[-5.0007%, +4.0496%]","0.836801","-","0.001477","-0.000007","-0.000029"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_dx_cost","","mean","4.274451","2,281","4.358272","2,278","0.083821","[-0.104477, +0.27212]","0.019610","[-2.4442%, +6.3662%]","0.382945","-","0.001538","0.000032","0.000130"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_dx_cost","","mean","4.186833","233,845","4.178154","251,234","-0.008679","[-0.02593, +0.008572]","-0.002073","[-0.6193%, +0.2047%]","0.324094","-","0.193114","-0.000424","-0.001698"
"dbd_avg_o2_gov_1pc","Metric","N/A","","mean","16.984813","10,796","16.965243","10,402","-0.042761","[-0.396807, +0.311285]","-0.002518","[-2.3362%, +1.8327%]","0.812873","-","0.279084","-0.000690","-0.011914"
"dbd_avg_o2_gov_3pc","Metric","N/A","","mean","17.434297","72,941","17.496510","72,309","0.060926","[-0.07122, +0.193072]","0.003495","[-0.4085%, +1.1074%]","0.366187","-","0.232601","0.000835","0.014151"
"dbd_avg_o2_gov_alc","Metric","N/A","","mean","27.903520","12,062","27.845583","11,821","-0.022479","[-0.626101, +0.581144]","-0.000806","[-2.2438%, +2.0827%]","0.941816","-","0.231394","-0.000188","-0.005223"
"dbd_avg_o2_gov_flowers","Metric","N/A","","mean","39.186579","38","36.897692","26","-2.288887","[-16.792484, +12.21471]","-0.058410","[-42.8526%, +31.1706%]","0.757084","-","0.247539","-0.013799","-0.566588"
"dbd_avg_o2_gov_grocery","Metric","N/A","","mean","27.920728","31,363","27.807711","30,475","-0.123718","[-0.547076, +0.29964]","-0.004431","[-1.9594%, +1.0732%]","0.566808","-","0.251063","-0.001206","-0.031181"
"dbd_avg_o2_gov_nv","Metric","N/A","","mean","21.103858","118,872","21.082104","116,902","-0.027089","[-0.183363, +0.129185]","-0.001284","[-0.8689%, +0.6121%]","0.734044","-","0.241587","-0.000325","-0.006546"
"dbd_avg_o2_gov_pets","Metric","N/A","","mean","40.218445","1,513","40.140210","1,461","-0.190152","[-2.702071, +2.321766]","-0.004728","[-6.7185%, +5.7729%]","0.882051","-","0.391787","-0.001908","-0.075062"
"dbd_avg_o2_gov_rx","Metric","N/A","","mean","19.384450","138,693","19.437970","143,389","0.058213","[-0.036035, +0.152461]","0.003003","[-0.1859%, +0.7865%]","0.226051","-","0.170823","0.000523","0.009916"
"dbd_avg_o2_hqdr","Metric","N/A","","mean","0.901694","225,956","0.901432","227,779","-0.000287","[-0.001737, +0.001164]","-0.000318","[-0.1927%, +0.1291%]","0.698557","-","0.196260","-0.000061","-0.000056"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_hqdr","","mean","0.903852","200,920","0.901698","216,865","-0.002154","[-0.003705, -0.000603]","-0.002384","[-0.41%, -0.0667%]","0.006483","Significant","0.152524","-0.000363","-0.000334"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_hqdr","","mean","0.900527","57,192","0.901592","60,957","0.001065","[-0.001828, +0.003957]","0.001182","[-0.203%, +0.4394%]","0.470687","-","0.043957","0.000051","0.000047"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_hqdr","","mean","0.909836","1,810","0.900668","1,989","-0.009167","[-0.024295, +0.00596]","-0.010076","[-2.6702%, +0.6551%]","0.234935","-","0.001477","-0.000014","-0.000013"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_hqdr","","mean","0.918176","2,281","0.916019","2,279","-0.002157","[-0.015848, +0.011533]","-0.002350","[-1.726%, +1.2561%]","0.757427","-","0.001538","-0.000004","-0.000003"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_hqdr","","mean","0.902904","233,846","0.901567","251,236","-0.001337","[-0.002726, +0.000052]","-0.001481","[-0.302%, +0.0058%]","0.059256","-","0.193112","-0.000285","-0.000262"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_hqdr","","mean","0.897359","18,329","0.897126","19,098","-0.000233","[-0.006363, +0.005897]","-0.000260","[-0.7091%, +0.6571%]","0.940556","-","0.009144","-0.000002","-0.000002"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_hqdr","","mean","0.903389","219,950","0.901889","236,713","-0.001500","[-0.002913, -0.000088]","-0.001661","[-0.3224%, -0.0097%]","0.037329","Significant","0.187226","-0.000310","-0.000285"
"dbd_avg_o2_mi","Metric","N/A","","mean","0.020080","220,961","0.020088","222,885","0.000019","[-0.000655, +0.000692]","0.000926","[-3.2631%, +3.4483%]","0.956861","-","0.195386","0.000223","0.000004"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_mi","","mean","0.019883","196,159","0.020776","211,807","0.000893","[+0.000165, +0.00162]","0.044888","[+0.8286%, +8.149%]","0.016233","Significant","0.151691","0.008454","0.000138"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_mi","","mean","0.019055","56,032","0.018046","59,748","-0.001009","[-0.002327, +0.000309]","-0.052958","[-12.2135%, +1.6218%]","0.133496","-","0.044005","-0.002714","-0.000044"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_mi","","mean","0.014214","17,671","0.013841","18,375","-0.000373","[-0.002788, +0.002042]","-0.026263","[-19.6154%, +14.3628%]","0.761898","-","0.008984","-0.000206","-0.000003"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_mi","","mean","0.019965","215,415","0.020472","231,967","0.000507","[-0.000154, +0.001168]","0.025383","[-0.7717%, +5.8483%]","0.132828","-","0.186610","0.005886","0.000096"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_mi","","mean","0.025166","1,779","0.030649","1,954","0.005483","[-0.003266, +0.014231]","0.217860","[-12.9764%, +56.5484%]","0.219323","-","0.001480","0.000487","0.000008"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_mi","","mean","0.015147","2,226","0.018489","2,232","0.003343","[-0.003104, +0.00979]","0.220689","[-20.4955%, +64.6334%]","0.309531","-","0.001531","0.000317","0.000005"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_mi","","mean","0.019697","228,720","0.020099","245,853","0.000402","[-0.000243, +0.001047]","0.020406","[-1.2328%, +5.314%]","0.221783","-","0.192341","0.004812","0.000078"
"dbd_avg_o2_nd","Metric","N/A","","mean","0.006356","220,951","0.006421","222,873","0.000065","[-0.000319, +0.000449]","0.010264","[-5.0188%, +7.0716%]","0.739307","-","0.195384","0.002179","0.000013"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_nd","","mean","0.004194","1,779","0.007825","1,954","0.003631","[-0.000274, +0.007536]","0.865691","[-6.5378%, +179.6761%]","0.068404","-","0.001480","0.000895","0.000005"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_nd","","mean","0.003222","2,226","0.009563","2,232","0.006341","[+0.002322, +0.01036]","1.967755","[+72.0551%, +321.4959%]","0.001986","Significant","0.001532","0.001672","0.000010"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_nd","","mean","0.006365","228,710","0.006412","245,839","0.000047","[-0.000322, +0.000416]","0.007392","[-5.0641%, +6.5425%]","0.802853","-","0.192338","0.001565","0.000009"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_nd","","mean","0.006412","196,148","0.006508","211,793","0.000096","[-0.000318, +0.00051]","0.015025","[-4.9556%, +7.9607%]","0.648390","-","0.151687","0.002535","0.000015"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_nd","","mean","0.006027","56,032","0.006212","59,748","0.000184","[-0.00058, +0.000948]","0.030542","[-9.6145%, +15.7228%]","0.636560","-","0.044007","0.001375","0.000008"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_nd","","mean","0.006324","17,670","0.006786","18,375","0.000462","[-0.001202, +0.002126]","0.073049","[-19.0043%, +33.6142%]","0.586306","-","0.008984","0.000708","0.000004"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_nd","","mean","0.006325","215,405","0.006427","231,953","0.000102","[-0.000273, +0.000477]","0.016118","[-4.321%, +7.5446%]","0.594391","-","0.186607","0.003289","0.000019"
"dbd_avg_o2_package","Metric","N/A","","mean","0.681759","220,952","0.681291","222,873","-0.000483","[-0.002854, +0.001887]","-0.000709","[-0.4186%, +0.2768%]","0.689477","-","0.195384","-0.000135","-0.000094"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_package","","mean","0.634743","1,779","0.619824","1,954","-0.014919","[-0.042654, +0.012815]","-0.023504","[-6.7198%, +2.019%]","0.291737","-","0.001480","-0.000031","-0.000022"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_package","","mean","0.671286","2,226","0.666879","2,232","-0.004407","[-0.030174, +0.021361]","-0.006564","[-4.495%, +3.1821%]","0.737488","-","0.001532","-0.000010","-0.000007"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_package","","mean","0.682754","228,711","0.681582","245,839","-0.001172","[-0.00346, +0.001117]","-0.001716","[-0.5068%, +0.1636%]","0.315705","-","0.192338","-0.000326","-0.000228"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_package","","mean","0.647042","17,670","0.656560","18,375","0.009518","[-0.000277, +0.019313]","0.014710","[-0.0428%, +2.9849%]","0.056840","-","0.008984","0.000122","0.000085"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_package","","mean","0.684090","215,406","0.682190","231,953","-0.001900","[-0.004234, +0.000435]","-0.002777","[-0.619%, +0.0635%]","0.110695","-","0.186608","-0.000513","-0.000359"
