Metric Name,Desired Direction,Dimension Name,Dimension Value,Label,Variant Name,Metric Value,Metric Impact Relative,Metric Impact Relative Lower Bound,Metric Impact Relative Upper Bound,Metric Impact Relative Global Lift,Metric Impact Absolute,Metric Impact Absolute Lower Bound,Metric Impact Absolute Upper Bound,Metric Impact Absolute Global Lift,P Value,Metric Impact Relative Sequential Lower Bound,Metric Impact Relative Sequential Upper Bound,Metric Impact Absolute Sequential Lower Bound,Metric Impact Absolute Sequential Upper Bound,P Value Sequential,Participating Units,Analyzed At
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Active,,treatment_2,0.011085,-0.00760967,-0.01940935,0.00419001,,-0.000085,-0.0002168,0.0000468,,0.20623367,-0.02616675,0.01094742,-0.00029228,0.00012228,1.0,4866946,2024-08-27 14:40:17
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Active,,control,0.01117,,,,,,,,,,,,,,,4865911,2024-08-27 14:40:17
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Churned,,control,0.056953,,,,,,,,,,,,,,,395361,2024-08-27 14:39:58
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Churned,,treatment_2,0.055149,-0.03167524,-0.04947085,-0.01387963,,-0.001804,-0.00281751,-0.00079049,,0.0004855,-0.05966198,-0.0036885,-0.00339793,-0.00021007,0.01718872,396107,2024-08-27 14:39:58
ads_revenue,increase,ad_product,ad_product_sl,,treatment_2,0.46834214,0.00572485,0.0013932,0.01005649,0.0015713,0.00266593,0.00064878,0.00468307,0.00773388,0.00958773,-0.00108743,0.01253713,-0.00050639,0.00583824,0.15270387,6380579,2024-08-26 15:38:08
ads_revenue,increase,ad_product,ad_product_sl,,control,0.46567621,,,,,,,,,,,,,,,6378881,2024-08-26 15:38:08
ads_revenue,increase,ad_product,ad_product_sp,,control,0.04581572,,,,,,,,,,,,,,,6378881,2024-08-26 15:38:08
ads_revenue,increase,ad_product,ad_product_sp,,treatment_2,0.04444359,-0.02994873,-0.07374053,0.01384308,-0.00080873,-0.00137212,-0.00337848,0.00063423,-0.00398054,0.18011617,-0.09881908,0.03892163,-0.00452747,0.00178322,1.0,6380579,2024-08-26 15:38:08
vp_core,increase,consumer_is_occasional_cx,consumer_is_occasional_cx_NULL,,treatment_2,0.46228736,-0.0987248,-0.37366073,0.17621114,-0.00003271,-0.0506385,-0.19166025,0.09038325,-0.00009593,0.48156381,-0.53111018,0.33366058,-0.27242015,0.17114314,1.0,43624,2024-08-26 21:43:59
vp_core,increase,consumer_is_occasional_cx,consumer_is_occasional_cx_NULL,,control,0.51292586,,,,,,,,,,,,,,,43955,2024-08-26 21:43:59
vp_core,increase,consumer_is_occasional_cx,consumer_is_occasional_cx_Occasional,,treatment_2,2.39713981,0.00074148,-0.01013571,0.01161868,0.00002001,0.00177613,-0.02427872,0.02783097,0.00005868,0.89371238,-0.01636483,0.0178478,-0.03919972,0.04275197,1.0,931392,2024-08-26 21:43:59
vp_core,increase,consumer_is_occasional_cx,consumer_is_occasional_cx_Occasional,,control,2.39536368,,,,,,,,,,,,,,,932126,2024-08-26 21:43:59
vp_core,increase,consumer_is_occasional_cx,consumer_is_occasional_cx_Other,,treatment_2,3.54963575,0.00121983,-0.00123454,0.00367419,0.00060973,0.00432466,-0.00437681,0.01302614,0.00178838,0.3300025,-0.00264009,0.00507975,-0.00935995,0.01800928,1.0,5399334,2024-08-26 21:43:59
vp_core,increase,consumer_is_occasional_cx,consumer_is_occasional_cx_Other,,control,3.54531109,,,,,,,,,,,,,,,5396645,2024-08-26 21:43:59
consumers_mau,increase,cx_lifestage,consumers_mau_cx_lifestage_Active,,treatment_2,0.996706,-0.00006521,-0.00013588,5.45e-6,-0.0000177,-0.000065,-0.00013544,5.44e-6,-9.52e-6,0.07050238,-0.00017634,0.00004592,-0.00017578,0.00004578,0.60423324,5035117,2024-08-27 13:31:19
consumers_mau,increase,cx_lifestage,consumers_mau_cx_lifestage_Active,,control,0.996771,,,,,,,,,,,,,,,5033456,2024-08-27 13:31:19
consumers_mau,increase,cx_lifestage,consumers_mau_cx_lifestage_Churned,,treatment_2,0.811375,0.00123276,-0.00081863,0.00328415,0.00002304,0.000999,-0.0006634,0.0026614,0.00001239,0.23886853,-0.00199341,0.00445893,-0.00161541,0.00361341,1.0,426788,2024-08-27 13:31:34
consumers_mau,increase,cx_lifestage,consumers_mau_cx_lifestage_Churned,,control,0.810376,,,,,,,,,,,,,,,425900,2024-08-27 13:31:34
hqdr_ratio,increase,country,country_Australia,,control,0.88153594,,,,,,,,,,,,,,,4696,2024-08-26 15:38:24
hqdr_ratio,increase,country,country_Australia,,treatment_2,0.88069912,-0.00094927,-0.01502671,0.01312816,0.0,-0.00083682,-0.01324659,0.01157295,0.0,0.89485379,-0.02308853,0.02118999,-0.02035337,0.01867973,1.0,4447,2024-08-26 15:38:24
hqdr_ratio,increase,country,country_Canada,,control,0.8708038,,,,,,,,,,,,,,,5302,2024-08-26 15:38:24
hqdr_ratio,increase,country,country_Canada,,treatment_2,0.86184996,-0.01028227,-0.02337189,0.00280735,-2.48e-6,-0.00895384,-0.02035233,0.00244465,-2.29e-6,0.1236559,-0.03086801,0.01030347,-0.02687998,0.0089723,0.86637422,5281,2024-08-26 15:38:24
hqdr_ratio,increase,country,country_NULL,,treatment_2,0.92497664,0.00002541,-0.00019134,0.00024216,0.00001229,0.0000235,-0.00017698,0.00022399,0.00001137,0.81827895,-0.00031547,0.00036629,-0.0002918,0.0003388,1.0,6189947,2024-08-26 15:38:24
hqdr_ratio,increase,country,country_NULL,,control,0.92495313,,,,,,,,,,,,,,,6188003,2024-08-26 15:38:24
hqdr_ratio,increase,country,country_New Zealand,,treatment_2,0.90177308,-0.01654693,-0.04456903,0.01147517,0.0,-0.01517264,-0.04086739,0.01052211,0.0,0.24712927,-0.06061664,0.02752278,-0.05558217,0.0252369,1.0,964,2024-08-26 15:38:24
hqdr_ratio,increase,country,country_New Zealand,,control,0.91694571,,,,,,,,,,,,,,,955,2024-08-26 15:38:24
hqdr_ratio,increase,country,country_United States,,control,0.87729031,,,,,,,,,,,,,,,60513,2024-08-26 15:38:24
hqdr_ratio,increase,country,country_United States,,treatment_2,0.87550712,-0.0020326,-0.00576459,0.00169939,-5.74e-6,-0.00178318,-0.00505722,0.00149086,-5.31e-6,0.28575484,-0.00790182,0.00383661,-0.00693219,0.00336582,1.0,60189,2024-08-26 15:38:24
consumers_mau,increase,cx_lifestage,cx_lifestage_Dormant,,control,0.813855,,,,,,,,,,,,,,,759321,2024-08-27 13:31:29
account_or_system_push_opt_out,decrease,cx_lifestage,cx_lifestage_Dormant,,control,0.024126,,,,,,,,,,,,,,,704128,2024-08-27 14:40:19
account_or_system_push_opt_out,decrease,cx_lifestage,cx_lifestage_Dormant,,treatment_2,0.024028,-0.00406201,-0.02504839,0.01692437,,-0.000098,-0.00060432,0.00040832,,0.70442071,-0.0370668,0.02894279,-0.00089427,0.00069827,1.0,704292,2024-08-27 14:40:19
consumers_mau,increase,cx_lifestage,cx_lifestage_Dormant,,treatment_2,0.814487,0.00077655,-0.0007435,0.0022966,0.00002597,0.000632,-0.0006051,0.0018691,0.00001397,0.316686,-0.001614,0.0031671,-0.00131356,0.00257756,1.0,759742,2024-08-27 13:31:29
account_or_system_push_opt_out,decrease,cx_lifestage,cx_lifestage_New Cx,,treatment_2,0.021251,-0.01929023,-0.07289726,0.0343168,,-0.000418,-0.00157961,0.00074361,,0.48063379,-0.10359677,0.0650163,-0.00224484,0.00140884,1.0,119616,2024-08-27 14:40:19
consumers_mau,increase,cx_lifestage,cx_lifestage_New Cx,,treatment_2,0.995316,0.00008641,-0.0004566,0.00062942,0.0,0.000086,-0.00045442,0.00062642,0.0,0.75511676,-0.00076757,0.00094039,-0.00076391,0.00093591,1.0,123822,2024-08-27 13:31:29
consumers_mau,increase,cx_lifestage,cx_lifestage_New Cx,,control,0.99523,,,,,,,,,,,,,,,123697,2024-08-27 13:31:29
account_or_system_push_opt_out,decrease,cx_lifestage,cx_lifestage_New Cx,,control,0.021669,,,,,,,,,,,,,,,119526,2024-08-27 14:40:19
consumers_mau,increase,cx_lifestage,cx_lifestage_Non-Purchaser,,control,0.818652,,,,,,,,,,,,,,,105587,2024-08-27 13:31:29
account_or_system_push_opt_out,decrease,cx_lifestage,cx_lifestage_Non-Purchaser,,treatment_2,0.021187,0.00445645,-0.05592446,0.06483737,,0.000094,-0.00117961,0.00136761,,0.88498211,-0.09050322,0.09941613,-0.00190898,0.00209698,1.0,97889,2024-08-27 14:40:19
