Metric Name,Desired Direction,Dimension Name,Dimension Value,Label,Variant Name,Metric Value,Metric Impact Relative,Metric Impact Relative Lower Bound,Metric Impact Relative Upper Bound,Metric Impact Relative Global Lift,Metric Impact Absolute,Metric Impact Absolute Lower Bound,Metric Impact Absolute Upper Bound,Metric Impact Absolute Global Lift,P Value,Metric Impact Relative Sequential Lower Bound,Metric Impact Relative Sequential Upper Bound,Metric Impact Absolute Sequential Lower Bound,Metric Impact Absolute Sequential Upper Bound,P Value Sequential,Participating Units,Analyzed At
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Active,,treatment1,0.014843,0.00067084,-0.02575185,0.02709354,,9.95e-6,-0.00038208,0.00040199,,0.96031262,-0.04088352,0.0422252,-0.00060659,0.0006265,1.0,719796,2025-04-16 17:13:23
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Active,,treatment2,0.015025,0.01281604,-0.01368899,0.03932107,,0.00019015,-0.0002031,0.00058341,,0.34327912,-0.02886781,0.05449989,-0.00042831,0.00080861,1.0,719652,2025-04-16 17:13:23
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Active,,control,0.014837,,,,,,,,,,,,,,,741782,2025-04-16 17:13:23
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Churned,,control,0.020418,,,,,,,,,,,,,,,92714,2025-04-16 17:13:36
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Churned,,treatment1,0.02048,0.00347786,-0.06018934,0.06714507,,0.00007101,-0.00122895,0.00137097,,0.91473791,-0.09665007,0.1036058,-0.0019734,0.00211542,1.0,89451,2025-04-16 17:13:36
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Churned,,treatment2,0.020848,0.02092813,-0.04287211,0.08472837,,0.00042731,-0.00087536,0.00172998,,0.52027665,-0.07940903,0.12126529,-0.00162137,0.00247599,1.0,90274,2025-04-16 17:13:36
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment1,0.03718559,-0.01046577,-0.23205606,0.21112453,0.0,-0.00039449,-0.00874706,0.00795807,0.0,0.9262455,-0.35895569,0.33802416,-0.01353038,0.0127414,1.0,3684,2025-04-16 17:10:49
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment2,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,145,2025-04-16 17:11:21
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment2,0.71379303,-0.02788106,-0.14235475,0.08659263,0.0,-0.02047209,-0.10452613,0.06358195,0.0,0.63310134,-0.20791118,0.15214906,-0.15266193,0.11171775,1.0,272,2025-04-16 17:11:20
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment2,0.04293814,0.13768018,-0.09989974,0.37526011,0.00006569,0.00518968,-0.0037656,0.01414496,2.33e-6,0.25603161,-0.23595627,0.51131663,-0.00889407,0.01927344,1.0,3662,2025-04-16 17:10:49
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment2,0.03409705,0.07684574,-0.14184145,0.29553292,0.0,0.00243425,-0.00449313,0.00936163,0.0,0.49099766,-0.26707854,0.42077001,-0.00846028,0.01332878,1.0,7045,2025-04-16 17:11:21
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment1,0.00070234,-0.55886244,-1.35733325,0.23960836,0.0,-0.00088568,-0.00215109,0.00037973,0.0,0.17012258,-1.81459899,0.69687411,-0.00287576,0.0011044,1.0,4463,2025-04-16 17:10:49
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment1,0.77960562,0.06174949,-0.04022201,0.16372099,0.0,0.0453405,-0.02953362,0.12021461,0.0,0.23527942,-0.09861872,0.2221177,-0.07241229,0.16309328,1.0,287,2025-04-16 17:11:20
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.00158479,,,,,,,,,,,,,,,4603,2025-04-16 17:10:49
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.03769374,,,,,,,,,,,,,,,3827,2025-04-16 17:10:49
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment2,0.00976268,-0.09760426,-0.37484132,0.17963279,0.0,-0.00105579,-0.0040547,0.00194311,0.0,0.49017769,-0.53360857,0.33840004,-0.0057721,0.00366051,1.0,5946,2025-04-16 17:11:21
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.0108171,,,,,,,,,,,,,,,6163,2025-04-16 17:11:21
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.73426512,,,,,,,,,,,,,,,255,2025-04-16 17:11:20
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.0,,,,,,,,,,,,,,,141,2025-04-16 17:11:21
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment1,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,136,2025-04-16 17:11:21
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment1,0.03809543,0.20265731,-0.0543772,0.45969182,0.0,0.0064196,-0.00172251,0.01456171,0.0,0.12226844,-0.20157491,0.60688953,-0.00638531,0.01922451,0.86028732,7017,2025-04-16 17:11:21
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.03167712,,,,,,,,,,,,,,,7348,2025-04-16 17:11:21
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment1,0.0076216,-0.29538853,-0.55900809,-0.03176896,0.0,-0.00319525,-0.00604684,-0.00034365,0.0,0.02808046,-0.70997691,0.11919986,-0.00767989,0.0012894,0.32480528,5844,2025-04-16 17:11:21
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment2,0.00251562,0.58692062,-0.88024573,2.05408697,0.0,0.00093015,-0.001395,0.00325529,0.0,0.43300617,-1.72045794,2.89429918,-0.00272656,0.00458685,1.0,4417,2025-04-16 17:10:49
