"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.026519","1,066,865","0.026679","1,034,615","0.000158","[-0.000277, +0.000594]","0.005975","[-1.0433%, +2.2384%]","0.475377","-","","","","0.026708","1,035,282","0.000185","[-0.00025, +0.000621]","0.006990","[-0.942%, +2.34%]","0.403806","-","","",""
"active_share_7d","Metric","N/A","","mean","0.829090","1,066,865","0.827890","1,034,615","-0.001077","[-0.002059, -0.000095]","-0.001299","[-0.2483%, -0.0115%]","0.031532","Significant","","","","0.828199","1,035,282","-0.000697","[-0.001678, +0.000285]","-0.000840","[-0.2024%, +0.0343%]","0.164108","-","","",""
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","9.035508","1,066,865","9.045979","1,034,615","0.019350","[-0.027477, +0.066177]","0.002142","[-0.3041%, +0.7324%]","0.418002","-","0.092782","0.000199","0.000594","9.019067","1,035,282","0.004907","[-0.041711, +0.051526]","0.000543","[-0.4616%, +0.5703%]","0.836546","-","0.092782","0.000050","0.000151"
"ads_revenue","Metric","N/A","","mean","6.397681","1,066,865","6.396837","1,034,615","0.000463","[-0.032266, +0.033192]","0.000072","[-0.5043%, +0.5188%]","0.977885","-","0.091287","0.000007","0.000012","6.375720","1,035,282","-0.019887","[-0.051658, +0.011884]","-0.003109","[-0.8075%, +0.1857%]","0.219876","-","0.091287","-0.000284","-0.000501"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.024492","1,065,777","0.022597","1,033,549","-0.001923","[-0.00427, +0.000424]","-0.078518","[-17.436%, +1.7324%]","0.108340","-","0.000486","-0.000038","-0.000088","0.025309","1,034,228","0.000825","[-0.00403, +0.00568]","0.033688","[-16.4545%, +23.1921%]","0.739075","-","0.000486","0.000016","0.000038"
"ad_product_bn","Dimension","ads_revenue","","mean","0.462233","1,065,777","0.454278","1,033,549","-0.007803","[-0.028705, +0.013099]","-0.016882","[-6.2101%, +2.8338%]","0.464341","-","0.009179","-0.000155","-0.000358","0.461235","1,034,228","-0.000789","[-0.021147, +0.019569]","-0.001707","[-4.5749%, +4.2335%]","0.939443","-","0.009179","-0.000016","-0.000036"
"ad_product_pm","Dimension","ads_revenue","","mean","0.480999","1,065,777","0.480541","1,033,549","-0.000452","[-0.003877, +0.002972]","-0.000940","[-0.806%, +0.618%]","0.795824","-","0.009552","-0.000009","-0.000021","0.478693","1,034,228","-0.002293","[-0.00572, +0.001135]","-0.004766","[-1.1892%, +0.2359%]","0.189835","-","0.009552","-0.000046","-0.000105"
"ad_product_sb","Dimension","ads_revenue","","mean","0.083597","1,065,777","0.084122","1,033,549","0.000666","[-0.000769, +0.002101]","0.007966","[-0.9198%, +2.513%]","0.363016","-","0.001660","0.000013","0.000031","0.082547","1,034,228","-0.000652","[-0.002024, +0.000719]","-0.007804","[-2.4212%, +0.8604%]","0.351210","-","0.001660","-0.000013","-0.000030"
"ad_product_sl","Dimension","ads_revenue","","mean","2.888722","1,065,777","2.889107","1,033,549","-0.001656","[-0.019341, +0.016028]","-0.000573","[-0.6695%, +0.5548%]","0.854340","-","0.057364","-0.000033","-0.000076","2.880780","1,034,228","-0.005972","[-0.023661, +0.011717]","-0.002067","[-0.8191%, +0.4056%]","0.508148","-","0.057364","-0.000119","-0.000274"
"ad_product_sp","Dimension","ads_revenue","","mean","0.535228","1,065,777","0.535966","1,033,549","0.000596","[-0.0074, +0.008593]","0.001114","[-1.3826%, +1.6054%]","0.883765","-","0.010629","0.000012","0.000027","0.532554","1,034,228","-0.002874","[-0.00906, +0.003313]","-0.005369","[-1.6928%, +0.619%]","0.362607","-","0.010629","-0.000057","-0.000132"
