"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.005607","409,306","0.005638","408,684","0.000031","[-0.000293, +0.000355]","0.005454","[-5.2335%, +6.3242%]","0.853259","-","","",""
"active_share_7d","Metric","N/A","","mean","0.726281","409,306","0.724819","408,684","-0.001702","[-0.003579, +0.000174]","-0.002344","[-0.4927%, +0.024%]","0.075391","-","","",""
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","2.362931","409,306","2.361654","408,684","0.000999","[-0.024401, +0.026399]","0.000423","[-1.0326%, +1.1172%]","0.938548","-","0.016831","0.000007","0.000019"
"ads_revenue","Metric","N/A","","mean","0.171860","409,306","0.172741","408,684","0.000757","[-0.001915, +0.003429]","0.004404","[-1.1144%, +1.9953%]","0.578769","-","0.002110","0.000009","0.000012"
"avg_dat_mins","Metric","N/A","","mean","1207.890315","302,891","1206.310421","301,968","-1.342878","[-4.1509, +1.465144]","-0.001112","[-0.3436%, +0.1213%]","0.348598","-","0.015294","-0.000017","-0.020654"
"chex_ct_cancel_order","Metric","N/A","","mean","0.034565","296,646","0.034137","295,503","-0.000438","[-0.00114, +0.000263]","-0.012678","[-3.297%, +0.7615%]","0.220781","-","","",""
"chex_ct_cart_page_conversion","Metric","N/A","","mean","0.720920","383,790","0.719309","383,220","-0.001857","[-0.00345, -0.000265]","-0.002576","[-0.4786%, -0.0367%]","0.022273","Significant","","",""
"chex_ct_cart_page_conversion_deliveries","Metric","N/A","","mean","0.698861","383,790","0.697641","383,220","-0.001510","[-0.003144, +0.000123]","-0.002161","[-0.4498%, +0.0177%]","0.070015","-","","",""
"chex_ct_checkout_page_load","Metric","N/A","","mean","0.900145","383,790","0.901330","383,220","0.001064","[+0.00007, +0.002059]","0.001182","[+0.0078%, +0.2287%]","0.035938","Significant","","",""
"chex_ct_place_order","Metric","N/A","","mean","0.799413","356,005","0.796909","356,509","-0.002420","[-0.003911, -0.00093]","-0.003027","[-0.4892%, -0.1163%]","0.001461","Significant","","",""
"cng_order_rate_nc","Metric","N/A","","mean","0.593681","409,306","0.595578","408,684","-0.000405","[-0.005154, +0.004344]","-0.000682","[-0.8681%, +0.7317%]","0.867221","-","0.029012","-0.000020","-0.000040"
"consumer_mto","Metric","N/A","","mean","0.035629","409,306","0.035764","408,684","0.000128","[-0.001122, +0.001378]","0.003592","[-3.1494%, +3.8679%]","0.840954","-","0.016585","0.000060","0.000060"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","5.238375","327,131","5.262807","326,391","0.023409","[-0.008444, +0.055262]","0.004469","[-0.1612%, +1.055%]","0.149762","-","0.014399","0.000053","0.000337"
"consumers_mau","Metric","N/A","","mean","0.799233","409,306","0.798639","408,684","-0.000487","[-0.002133, +0.001158]","-0.000610","[-0.2668%, +0.1449%]","0.561593","-","0.014404","-0.000009","-0.000004"
"cx_app_quality_action_load_latency_android","Metric","N/A","","mean","0.010871","1,326","0.007449","1,385","-0.003468","[-0.007383, +0.000447]","-0.318988","[-67.911%, +4.1135%]","0.082548","-","0.000433","-0.000241","-0.000001"
"cx_app_quality_action_load_latency_ios","Metric","N/A","","mean","0.009214","352,138","0.009272","351,735","0.000055","[-0.000167, +0.000277]","0.005989","[-1.8109%, +3.0087%]","0.626209","-","0.019000","0.000111","0.000001"
"cx_app_quality_action_load_latency_web","Metric","N/A","","mean","0.022706","2,137","0.025381","2,206","0.002658","[-0.003755, +0.00907]","0.117046","[-16.5374%, +39.9467%]","0.416627","-","0.002298","0.000190","0.000006"
"cx_app_quality_crash_android","Metric","N/A","","mean","0.000024","2,311","0.000024","2,441","-0.000001","[-0.000045, +0.000044]","-0.030424","[-186.8559%, +180.771%]","0.974120","-","0.000559","0.000000","0.000000"
"cx_app_quality_crash_ios","Metric","N/A","","mean","0.000041","403,695","0.000043","403,202","0.000002","[-0.000001, +0.000006]","0.055758","[-3.3322%, +14.4837%]","0.219897","-","0.025441","0.000000","0.000000"
"cx_app_quality_crash_web","Metric","N/A","","mean","0.000965","3,336","0.000586","3,512","-0.000413","[-0.001065, +0.000238]","-0.428281","[-110.3665%, +24.7103%]","0.213916","-","0.003024","-0.000977","-0.000001"
"cx_app_quality_hitch_android","Metric","N/A","","mean","0.073438","2,307","0.075036","2,451","-0.000210","[-0.008528, +0.008108]","-0.002860","[-11.6123%, +11.0403%]","0.960525","-","0.000561","0.000000","0.000000"
"cx_app_quality_hitch_ios","Metric","N/A","","mean","0.158229","376,768","0.158484","376,664","0.000460","[-0.000565, +0.001486]","0.002910","[-0.3572%, +0.9392%]","0.378872","-","0.021339","0.000064","0.000010"
"cx_app_quality_homepage_backend_latency","Metric","N/A","","mean","827.942385","392,653","828.043230","392,162","0.170170","[-1.057141, +1.39748]","0.000206","[-0.1277%, +0.1688%]","0.785811","-","0.017872","0.000003","0.003030"
"cx_app_quality_homepage_backend_slo_burn","Metric","N/A","","mean","0.002666","392,653","0.002650","392,162","-0.000017","[-0.000077, +0.000044]","-0.006246","[-2.898%, +1.6488%]","0.590250","-","0.017872","0.000000","0.000000"
"cx_app_quality_inp_web","Metric","N/A","","mean","0.239242","2,748","0.229504","2,888","-0.004079","[-0.024642, +0.016483]","-0.017052","[-10.3%, +6.8896%]","0.697389","-","0.003293","-0.000054","-0.000013"
"cx_app_quality_page_action_error_android","Metric","N/A","","mean","0.008966","1,469","0.003219","1,534","-0.005737","[-0.011751, +0.000276]","-0.639908","[-131.0622%, +3.0807%]","0.061492","-","0.000435","-0.002299","-0.000002"
