"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.005607","409,306","0.005638","408,684","0.000031","[-0.000293, +0.000355]","0.005454","[-5.2335%, +6.3242%]","0.853259","-","","",""
"active_share_7d","Metric","N/A","","mean","0.754437","282,412","0.752448","281,904","-0.002016","[-0.004187, +0.000156]","-0.002672","[-0.555%, +0.0206%]","0.068833","-","","",""
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","2.168779","384,377","2.172924","383,707","0.006546","[-0.018098, +0.031191]","0.003018","[-0.8345%, +1.4382%]","0.602626","-","0.016256","0.000049","0.000125"
"ads_revenue","Metric","N/A","","mean","0.171636","409,306","0.172582","408,684","0.000834","[-0.00183, +0.003499]","0.004860","[-1.0664%, +2.0384%]","0.539489","-","0.002117","0.000010","0.000013"
"avg_dat_mins","Metric","N/A","","mean","1206.970327","297,711","1205.631838","296,718","-1.082482","[-3.91415, +1.749185]","-0.000897","[-0.3243%, +0.1449%]","0.453707","-","0.015263","-0.000014","-0.016610"
"chex_ct_cancel_order","Metric","N/A","","mean","0.034573","296,473","0.034132","295,358","-0.000452","[-0.001153, +0.00025]","-0.013062","[-3.3355%, +0.723%]","0.207085","-","","",""
"chex_ct_cart_page_conversion","Metric","N/A","","mean","0.720894","383,572","0.719311","383,023","-0.001832","[-0.003425, -0.000239]","-0.002542","[-0.4751%, -0.0332%]","0.024175","Significant","","",""
"chex_ct_cart_page_conversion_deliveries","Metric","N/A","","mean","0.676825","383,572","0.675324","383,023","-0.001787","[-0.003431, -0.000143]","-0.002640","[-0.5069%, -0.0211%]","0.033168","Significant","","",""
"chex_ct_checkout_page_load","Metric","N/A","","mean","0.899963","383,572","0.901104","383,023","0.001018","[+0.000023, +0.002013]","0.001131","[+0.0026%, +0.2236%]","0.044906","Significant","","",""
"chex_ct_place_order","Metric","N/A","","mean","0.799715","355,767","0.797233","356,255","-0.002406","[-0.003896, -0.000916]","-0.003009","[-0.4872%, -0.1146%]","0.001549","Significant","","",""
