Metric Name,Desired Direction,Dimension Name,Dimension Value,Label,Variant Name,Metric Value,Metric Impact Relative,Metric Impact Relative Lower Bound,Metric Impact Relative Upper Bound,Metric Impact Relative Global Lift,Metric Impact Absolute,Metric Impact Absolute Lower Bound,Metric Impact Absolute Upper Bound,Metric Impact Absolute Global Lift,P Value,Metric Impact Relative Sequential Lower Bound,Metric Impact Relative Sequential Upper Bound,Metric Impact Absolute Sequential Lower Bound,Metric Impact Absolute Sequential Upper Bound,P Value Sequential,Participating Units,Analyzed At
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Active,,treatment1,0.005292,0.006,-0.02953956,0.04153955,,0.00003157,-0.00015541,0.00021854,,0.74072561,-0.04989224,0.06189224,-0.00026248,0.00032562,1.0,1136716,2025-04-02 16:50:07
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Active,,treatment2,0.005195,-0.01243222,-0.0478183,0.02295386,,-0.00006541,-0.00025157,0.00012076,,0.4910778,-0.06808308,0.04321865,-0.00035819,0.00022737,1.0,1135206,2025-04-02 16:50:07
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Active,,control,0.005261,,,,,,,,,,,,,,,1170984,2025-04-02 16:50:07
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Churned,,treatment2,0.009072,-0.07548011,-0.15194169,0.00098146,,-0.00074038,-0.0014904,9.63e-6,,0.05301413,-0.19572947,0.04476924,-0.00191991,0.00043914,0.50023839,125886,2025-04-02 16:50:08
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Churned,,control,0.009809,,,,,,,,,,,,,,,129369,2025-04-02 16:50:08
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Churned,,treatment1,0.010224,0.04187547,-0.03686352,0.12061447,,0.00041076,-0.00036159,0.00118311,,0.29724459,-0.08195552,0.16570647,-0.0008039,0.00162541,1.0,126075,2025-04-02 16:50:08
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.00834117,,,,,,,,,,,,,,,145923,2025-04-02 16:48:59
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment2,0.00126751,1.497706,-1.43194791,4.42735991,0.0,0.00076213,-0.00072866,0.00225292,0.0,0.31635405,-3.1096929,6.1051049,-0.00158241,0.00310666,1.0,2546,2025-04-02 16:48:07
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment2,0.04028605,-0.00627451,-0.05947831,0.04692929,0.0,-0.00025441,-0.00241167,0.00190284,0.0,0.81720192,-0.08994689,0.07739788,-0.00364707,0.00313825,1.0,176025,2025-04-02 16:48:59
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment2,0.00824432,-0.01151567,-0.08469664,0.0616653,0.0,-0.00009605,-0.00070647,0.00051436,0.0,0.75776456,-0.12660568,0.10357434,-0.00105604,0.00086393,1.0,141464,2025-04-02 16:48:59
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment1,0.00173095,2.39439394,-2.9136343,7.70242219,0.0,0.00121842,-0.00148264,0.00391947,0.0,0.37663226,-5.95341922,10.74220711,-0.00302947,0.00546631,1.0,2609,2025-04-02 16:48:07
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment1,0.0415537,0.02507218,-0.03971436,0.08985872,0.00042173,0.0010166,-0.0016103,0.0036435,1.1e-6,0.44815195,-0.07681612,0.12696048,-0.00311466,0.00514786,1.0,176738,2025-04-02 16:48:59
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment2,0.02127675,-0.09875487,-0.45302978,0.25552004,-0.00005714,-0.00233628,-0.0107175,0.00604493,-2.58e-6,0.58482947,-0.65591482,0.45840508,-0.01551723,0.01084466,1.0,2097,2025-04-02 16:48:05
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.02365738,,,,,,,,,,,,,,,2173,2025-04-02 16:48:05
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.00050886,,,,,,,,,,,,,,,2670,2025-04-02 16:48:07
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment1,0.02873358,0.21207895,-0.2118942,0.6360521,0.00012027,0.00501723,-0.00501286,0.01504733,5.43e-6,0.32688426,-0.45469382,0.87885172,-0.01075686,0.02079133,1.0,2150,2025-04-02 16:48:05
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment1,0.0080278,-0.03753655,-0.10984286,0.03476977,0.0,-0.0003131,-0.00091622,0.00029002,0.0,0.3089248,-0.15125101,0.07617792,-0.00126161,0.00063541,1.0,142260,2025-04-02 16:48:59
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.04054697,,,,,,,,,,,,,,,181321,2025-04-02 16:48:59
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment1,0.17021293,1.82879671,-0.23295224,3.89054567,0.00013018,0.10864158,-0.01383877,0.23112193,5.88e-6,0.0821206,-1.41366815,5.07126157,-0.08398043,0.30126359,0.66747663,55,2025-04-02 16:48:05
