"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift","treatment3 Value","treatment3 Exposure Volume","treatment3 Absolute Impact","treatment3 Absolute Impact Confidence Interval","treatment3 Relative Impact","treatment3 Relative Impact Confidence Interval","treatment3 P Value","treatment3 Significance","treatment3 Coverage","treatment3 Relative Global Lift","treatment3 Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_ads_revenue_archived","Metric","N/A","","mean","0.652448","9,255,306","0.651670","9,252,004","-0.000903","[-0.00286, +0.001054]","-0.001384","[-0.4383%, +0.1616%]","0.365988","-","0.807737","-0.001118","-0.005667","0.652310","9,253,082","-0.000507","[-0.002471, +0.001456]","-0.000777","[-0.3787%, +0.2232%]","0.612730","-","0.807737","-0.000628","-0.003183","0.651215","9,249,060","-0.001274","[-0.003229, +0.000681]","-0.001952","[-0.4949%, +0.1044%]","0.201628","-","0.807737","-0.001577","-0.007995"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"ads_revenue","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"avg_dat_mins","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"cng_order_rate_nc","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"consumer_mto","Metric","N/A","","mean","0.052616","9,255,306","0.052619","9,252,004","0.000055","[-0.000258, +0.000368]","0.001047","[-0.4899%, +0.6993%]","0.730055","-","0.743327","0.000778","0.001133","0.052671","9,253,082","0.000131","[-0.000185, +0.000447]","0.002482","[-0.3524%, +0.8488%]","0.417996","-","0.743327","0.001845","0.002686","0.052327","9,249,060","-0.000235","[-0.000548, +0.000077]","-0.004474","[-1.0414%, +0.1466%]","0.139892","-","0.743327","-0.003326","-0.004841"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"consumers_mau","Metric","N/A","","mean","0.770109","9,255,306","0.769854","9,252,004","-0.000165","[-0.000525, +0.000195]","-0.000214","[-0.0681%, +0.0253%]","0.368608","-","0.662620","-0.000142","-0.000073","0.769870","9,253,082","-0.000199","[-0.000559, +0.000161]","-0.000259","[-0.0726%, +0.0208%]","0.277823","-","0.662620","-0.000171","-0.000088","0.769838","9,249,060","-0.000260","[-0.000619, +0.0001]","-0.000337","[-0.0804%, +0.013%]","0.157222","-","0.662620","-0.000223","-0.000114"
"core_quality_asap","Metric","N/A","","mean","30.826586","6,661,431","30.833361","6,654,923","0.003585","[-0.013077, +0.020247]","0.000116","[-0.0424%, +0.0657%]","0.673251","-","0.903423","0.000105","0.003239","30.840962","6,656,038","0.011539","[-0.00533, +0.028409]","0.000374","[-0.0173%, +0.0922%]","0.180029","-","0.903423","0.000338","0.010424","30.845846","6,653,326","0.016482","[-0.003085, +0.036048]","0.000535","[-0.01%, +0.1169%]","0.098746","-","0.903423","0.000482","0.014888"
"core_quality_cancellation","Metric","N/A","","mean","0.018344","7,055,800","0.018413","7,049,423","0.000069","[-0.000013, +0.00015]","0.003741","[-0.0683%, +0.8165%]","0.097429","-","0.902928","0.003364","0.000062","0.018387","7,051,698","0.000043","[-0.000037, +0.000123]","0.002351","[-0.2025%, +0.6726%]","0.292314","-","0.902928","0.002114","0.000039","0.018394","7,047,900","0.000050","[-0.000031, +0.000131]","0.002726","[-0.1692%, +0.7145%]","0.226557","-","0.902928","0.002451","0.000045"
"core_quality_checkout_quote","Metric","N/A","","mean","35.513467","6,661,431","35.523172","6,654,923","0.006676","[-0.01018, +0.023532]","0.000188","[-0.0287%, +0.0663%]","0.437589","-","0.903499","0.000170","0.006031","35.524762","6,656,038","0.008816","[-0.008199, +0.02583]","0.000248","[-0.0231%, +0.0727%]","0.309861","-","0.903499","0.000224","0.007964","35.526137","6,653,326","0.011184","[-0.008492, +0.03086]","0.000315","[-0.0239%, +0.0869%]","0.265257","-","0.903499","0.000284","0.010103"
"core_quality_hqdr","Metric","N/A","","mean","0.923767","7,069,313","0.923586","7,062,661","-0.000207","[-0.000384, -0.000029]","-0.000224","[-0.0416%, -0.0031%]","0.022730","Significant","0.902946","-0.000202","-0.000187","0.923651","7,064,984","-0.000155","[-0.000333, +0.000022]","-0.000168","[-0.036%, +0.0024%]","0.086504","-","0.902946","-0.000152","-0.000140","0.923679","7,061,316","-0.000103","[-0.000282, +0.000075]","-0.000112","[-0.0305%, +0.0081%]","0.256467","-","0.902946","-0.000101","-0.000093"
"core_quality_is_pfq","Metric","N/A","","mean","0.006902","7,001,884","0.006914","6,995,267","0.000013","[-0.000041, +0.000066]","0.001857","[-0.5899%, +0.9613%]","0.638869","-","0.903419","0.001660","0.000012","0.006901","6,997,205","0.000000","[-0.000053, +0.000053]","0.000016","[-0.7685%, +0.7717%]","0.996793","-","0.903419","0.000014","0.000000","0.006891","6,993,411","-0.000010","[-0.000064, +0.000043]","-0.001480","[-0.9245%, +0.6285%]","0.708774","-","0.903419","-0.001323","-0.000009"
"core_quality_late20","Metric","N/A","","mean","0.020017","6,764,893","0.019998","6,758,836","-0.000019","[-0.000099, +0.000062]","-0.000946","[-0.4968%, +0.3075%]","0.644700","-","0.903880","-0.000855","-0.000017","0.020059","6,759,731","0.000041","[-0.000039, +0.000122]","0.002072","[-0.1958%, +0.6101%]","0.313654","-","0.903880","0.001873","0.000037","0.020029","6,757,060","0.000011","[-0.000069, +0.000092]","0.000574","[-0.3451%, +0.4599%]","0.779917","-","0.903880","0.000519","0.000010"
"core_quality_mi","Metric","N/A","","mean","0.032013","7,001,884","0.032145","6,995,267","0.000138","[+0.000023, +0.000252]","0.004299","[+0.0713%, +0.7885%]","0.018803","Significant","0.903474","0.003812","0.000124","0.032057","6,997,205","0.000057","[-0.000058, +0.000172]","0.001778","[-0.1802%, +0.5357%]","0.330377","-","0.903474","0.001576","0.000051","0.032064","6,993,411","0.000060","[-0.000055, +0.000175]","0.001870","[-0.1717%, +0.5456%]","0.306945","-","0.903474","0.001658","0.000054"
"core_quality_nd","Metric","N/A","","mean","0.004714","6,764,893","0.004724","6,758,837","0.000010","[-0.000035, +0.000056]","0.002225","[-0.7474%, +1.1924%]","0.653005","-","0.903855","0.001993","0.000009","0.004713","6,759,734","-0.000001","[-0.000047, +0.000045]","-0.000143","[-0.9893%, +0.9606%]","0.976997","-","0.903855","-0.000129","-0.000001","0.004719","6,757,067","0.000005","[-0.000041, +0.000051]","0.001112","[-0.8666%, +1.089%]","0.823610","-","0.903855","0.000996","0.000005"
"core_quality_nd_excl_fraud","Metric","N/A","","mean","0.004540","6,764,893","0.004548","6,758,837","0.000009","[-0.000034, +0.000052]","0.001879","[-0.7586%, +1.1345%]","0.697186","-","0.903840","0.001684","0.000008","0.004541","6,759,734","0.000002","[-0.000042, +0.000045]","0.000391","[-0.9157%, +0.994%]","0.935957","-","0.903840","0.000351","0.000002","0.004538","6,757,067","-0.000002","[-0.000045, +0.000041]","-0.000471","[-0.9979%, +0.9037%]","0.922583","-","0.903840","-0.000422","-0.000002"
"dashpass_paid_balance","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
