"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"cx_app_quality_action_load_latency_android","Metric","N/A","","mean","0.007533","2,491,189","0.007562","2,490,272","0.000028","[-0.000043, +0.0001]","0.003761","[-0.5706%, +1.3228%]","0.436208","-","0.732672","0.002372","0.000021"
"action_dimension_cx_add_payment_method","Dimension","cx_app_quality_action_load_latency_android","","mean","0.695833","226","0.731183","180","0.032285","[-0.054883, +0.119453]","0.046398","[-7.8874%, +17.167%]","0.467883","-","0.000003","0.000000","0.000000"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.005828","1,777,236","0.005861","1,777,708","0.000034","[-0.000036, +0.000104]","0.005824","[-0.6125%, +1.7773%]","0.339450","-","0.403611","0.001565","0.000014"
"action_dimension_cx_create_address","Dimension","cx_app_quality_action_load_latency_android","","mean","0.043010","92","0.080460","87","0.038153","[-0.032714, +0.10902]","0.887069","[-76.0599%, +253.4737%]","0.291333","-","0.000001","0.000000","0.000000"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.024455","1,136,488","0.024450","1,136,060","-0.000005","[-0.000328, +0.000318]","-0.000192","[-1.3399%, +1.3015%]","0.977239","-","0.089287","0.000000","0.000000"
"action_dimension_cx_place_order","Dimension","cx_app_quality_action_load_latency_android","","mean","0.004322","2,489,881","0.004358","2,488,938","0.000036","[-0.000049, +0.00012]","0.008267","[-1.1245%, +2.778%]","0.406301","-","0.169909","0.000693","0.000006"
"action_dimension_cx_set_address","Dimension","cx_app_quality_action_load_latency_android","","mean","0.256327","2,361","0.261048","2,312","0.003456","[-0.02189, +0.028801]","0.013481","[-8.5397%, +11.2359%]","0.789300","-","0.000036","0.000000","0.000000"
"action_dimension_cx_set_payment_method","Dimension","cx_app_quality_action_load_latency_android","","mean","0.072179","8,903","0.067435","8,711","-0.004846","[-0.011686, +0.001995]","-0.067134","[-16.1907%, +2.7639%]","0.165022","-","0.000181","0.000000","0.000000"
"action_dimension_cx_update_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.003224","1,018,284","0.003246","1,018,293","0.000023","[-0.000073, +0.000118]","0.006989","[-2.2564%, +3.6543%]","0.642991","-","0.069731","0.000179","0.000002"
"cx_app_quality_crash_android","Metric","N/A","","mean","0.000077","2,489,904","0.000079","2,489,084","0.000002","[-0.000001, +0.000005]","0.023254","[-1.8102%, +6.4609%]","0.270433","-","0.675548","0.010613","0.000001"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_crash_android","","mean","0.000085","2,040,786","0.000088","2,039,606","0.000003","[-0.000008, +0.000014]","0.033659","[-9.7356%, +16.4674%]","0.614589","-","0.058532","0.000000","0.000000"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_crash_android","","mean","0.000128","2,225,430","0.000127","2,228,266","-0.000001","[-0.00001, +0.000008]","-0.006332","[-7.6031%, +6.3367%]","0.858683","-","0.147382","0.000000","0.000000"
"page_dimension_cx_item_page","Dimension","cx_app_quality_crash_android","","mean","0.000005","1,825,993","0.000004","1,826,253","-0.000002","[-0.000005, +0.000001]","-0.323485","[-87.3575%, +22.6605%]","0.249085","-","0.137461","0.000000","0.000000"
"page_dimension_cx_order_cart_page","Dimension","cx_app_quality_crash_android","","mean","0.000359","1,807,172","0.000379","1,806,226","0.000021","[+0.000004, +0.000038]","0.057589","[+1.0501%, +10.4677%]","0.016527","Significant","0.068529","0.012325","0.000001"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_crash_android","","mean","0.000000","2,457,072","0.000000","2,456,313","0.000000","[0, 0]","-0.999867","[-265.3953%, +65.4219%]","0.236110","-","0.093507","0.000000","0.000000"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_crash_android","","mean","0.000056","1,037,044","0.000061","1,038,817","0.000005","[-0.000008, +0.000018]","0.091671","[-13.9229%, +32.2571%]","0.436486","-","0.013773","0.000000","0.000000"
"page_dimension_cx_store_page","Dimension","cx_app_quality_crash_android","","mean","0.000000","1,945,109","0.000000","1,943,010","0.000000","[0, 0]","0.996357","[-143.6392%, +342.9106%]","0.422135","-","0.098593","0.000000","0.000000"
