"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.004242","7,816,676","0.004195","7,816,814","-0.000047","[-0.000112, +0.000017]","-0.011165","[-2.631%, +0.398%]","0.148475","-","","",""
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_revenue","Metric","N/A","","mean","1.051000","7,816,676","1.048883","7,816,814","-0.002139","[-0.005956, +0.001679]","-0.002035","[-0.5667%, +0.1598%]","0.272246","-","0.478678","-0.000974","-0.000974"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.000000","7,816,676","0.000000","7,816,814","0.000000","[0, +0.000001]","","[]","0.316537","-","0.000000","0.000000","0.000000"
"ad_product_bn","Dimension","ads_revenue","","mean","0.093988","7,816,676","0.094819","7,816,814","0.000588","[-0.001772, +0.002949]","0.006259","[-1.8856%, +3.1375%]","0.625215","-","0.042658","0.000267","0.000267"
"ad_product_pm","Dimension","ads_revenue","","mean","0.221970","7,816,676","0.221974","7,816,814","-0.000024","[-0.000597, +0.000549]","-0.000108","[-0.269%, +0.2474%]","0.934540","-","0.100745","-0.000011","-0.000011"
"ad_product_sb","Dimension","ads_revenue","","mean","0.006187","7,816,676","0.006110","7,816,814","-0.000037","[-0.000176, +0.000102]","-0.005996","[-2.8464%, +1.6472%]","0.600946","-","0.002808","-0.000017","-0.000017"
"ad_product_sl","Dimension","ads_revenue","","mean","0.681642","7,816,676","0.678862","7,816,814","-0.002038","[-0.004186, +0.00011]","-0.002990","[-0.6141%, +0.0161%]","0.062909","-","0.309375","-0.000925","-0.000925"
"ad_product_sp","Dimension","ads_revenue","","mean","0.051701","7,816,676","0.051880","7,816,814","0.000172","[-0.000356, +0.000701]","0.003332","[-0.6895%, +1.356%]","0.523076","-","0.023466","0.000078","0.000078"
"avg_dat_mins","Metric","N/A","","mean","1179.468217","7,678,934","1179.023668","7,679,443","-0.451132","[-0.871549, -0.030715]","-0.000382","[-0.0739%, -0.0026%]","0.035452","Significant","0.570876","-0.000217","-0.257438"
"cng_order_rate_nc","Metric","N/A","","mean","0.255463","7,816,676","0.254790","7,816,814","-0.000373","[-0.001124, +0.000378]","-0.001460","[-0.4399%, +0.1478%]","0.330029","-","0.430509","-0.000629","-0.001117"
"consumer_mto","Metric","N/A","","mean","0.046719","7,816,676","0.046739","7,816,814","0.000031","[-0.000273, +0.000334]","0.000659","[-0.584%, +0.7158%]","0.842556","-","0.483687","0.000319","0.000399"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","6.218359","7,816,676","6.212156","7,816,814","-0.003831","[-0.010052, +0.00239]","-0.000616","[-0.1617%, +0.0384%]","0.227389","-","0.404618","-0.000252","-0.001550"
"consumers_mau","Metric","N/A","","mean","0.974542","7,816,676","0.974662","7,816,814","0.000129","[-0.000025, +0.000283]","0.000132","[-0.0026%, +0.029%]","0.101532","-","0.404618","0.000053","0.000029"
"cx_app_quality_action_load_latency_ios","Metric","N/A","","mean","0.008910","7,723,074","0.008933","7,723,091","0.000022","[-0.000022, +0.000066]","0.002473","[-0.2479%, +0.7425%]","0.327708","-","0.598268","0.001363","0.000013"
"action_dimension_cx_add_payment_method","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.012854","274,903","0.012857","274,880","0.000002","[-0.000563, +0.000567]","0.000167","[-4.379%, +4.4124%]","0.994058","-","0.002054","0.000000","0.000000"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.011724","4,758,667","0.011731","4,754,221","0.000004","[-0.00006, +0.000067]","0.000303","[-0.5126%, +0.5732%]","0.913005","-","0.303070","0.000111","0.000001"
"action_dimension_cx_create_address","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.017611","497,061","0.017387","495,864","-0.000223","[-0.000717, +0.000272]","-0.012657","[-4.0732%, +1.5417%]","0.376893","-","0.003696","0.000000","0.000000"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.004825","2,812,245","0.004890","2,812,762","0.000064","[-0.000008, +0.000136]","0.013347","[-0.1565%, +2.8258%]","0.079378","-","0.068485","0.000456","0.000004"
"action_dimension_cx_place_order","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.001484","7,666,679","0.001569","7,667,056","0.000085","[+0.000052, +0.000118]","0.057148","[+3.4876%, +7.942%]","0.000000","Significant","0.137781","0.001209","0.000012"
"action_dimension_cx_set_address","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.014596","981,201","0.014430","979,075","-0.000167","[-0.000536, +0.000202]","-0.011411","[-3.6693%, +1.3871%]","0.376343","-","0.011990","-0.000207","-0.000002"
"action_dimension_cx_set_payment_method","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.011098","992,993","0.011095","991,633","-0.000003","[-0.000224, +0.000218]","-0.000263","[-2.0191%, +1.9664%]","0.979336","-","0.014744","0.000000","0.000000"
"action_dimension_cx_update_cart","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.014388","2,492,962","0.014368","2,490,536","-0.000020","[-0.000167, +0.000127]","-0.001388","[-1.1586%, +0.881%]","0.789621","-","0.056331","-0.000116","-0.000001"
"cx_app_quality_crash_ios","Metric","N/A","","mean","0.000011","7,749,680","0.000011","7,749,637","0.000000","[0, +0.000001]","0.019053","[-3.0888%, +6.8993%]","0.454614","-","0.574418","0.000000","0.000000"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_crash_ios","","mean","0.000042","2,674,705","0.000039","2,674,545","-0.000003","[-0.000008, +0.000002]","-0.078493","[-19.387%, +3.6885%]","0.182404","-","0.019459","0.000000","0.000000"
