"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_revenue","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"avg_dat_mins","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"avg_r2c","Metric","N/A","","mean","13.084927","3,624,095","13.086863","3,621,806","-0.000237","[-0.010002, +0.009529]","-0.000018","[-0.0764%, +0.0728%]","0.962089","-","0.295567","-0.000006","-0.000070"
"chex_ct_cancel_order","Metric","N/A","","mean","0.019679","7,076,990","0.019738","7,073,088","0.000059","[-0.000034, +0.000152]","0.003020","[-0.1704%, +0.7744%]","0.210209","-","","",""
"chex_ct_cart_page_conversion","Metric","N/A","","mean","0.836030","8,108,738","0.836221","8,102,012","0.000206","[-0.00005, +0.000461]","0.000246","[-0.0059%, +0.0551%]","0.114466","-","","",""
"chex_ct_cart_page_conversion_deliveries","Metric","N/A","","mean","0.788257","8,108,738","0.788573","8,102,012","0.000359","[+0.00009, +0.000629]","0.000456","[+0.0114%, +0.0797%]","0.009019","Significant","","",""
"chex_ct_checkout_page_failure","Metric","N/A","","mean","0.057370","8,108,738","0.057463","8,102,012","0.000093","[-0.000073, +0.00026]","0.001629","[-0.1267%, +0.4524%]","0.270369","-","","",""
"chex_ct_checkout_page_load","Metric","N/A","","mean","0.908053","8,108,738","0.908068","8,102,012","0.000016","[-0.000177, +0.000209]","0.000017","[-0.0195%, +0.023%]","0.873150","-","","",""
"chex_ct_conversion_after_cancel","Metric","N/A","","mean","0.937932","365,907","0.937983","366,592","0.000043","[-0.001005, +0.001091]","0.000046","[-0.1071%, +0.1164%]","0.935559","-","","",""
"chex_ct_conversion_after_checkout_failure","Metric","N/A","","mean","0.828476","1,093,496","0.829224","1,093,196","0.000703","[-0.000292, +0.001697]","0.000848","[-0.0352%, +0.2048%]","0.166071","-","","",""
"chex_ct_conversion_after_payment_failure","Metric","N/A","","mean","0.884889","772,164","0.885430","772,996","0.000515","[-0.000428, +0.001457]","0.000582","[-0.0483%, +0.1647%]","0.284455","-","","",""
"chex_ct_mfa_page_close","Metric","N/A","","mean","0.129051","227,643","0.129608","227,122","0.000562","[-0.001396, +0.00252]","0.004358","[-1.0814%, +1.953%]","0.573414","-","","",""
"chex_ct_mfa_page_load","Metric","N/A","","mean","0.010694","7,076,990","0.010672","7,073,088","-0.000024","[-0.000087, +0.000038]","-0.002270","[-0.81%, +0.3559%]","0.445285","-","","",""
