"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_revenue","Metric","N/A","","mean","0.599821","7,156,558","0.600528","7,158,306","0.000679","[-0.001468, +0.002827]","0.001133","[-0.2448%, +0.4713%]","0.535213","-","0.019641","0.000022","0.000311"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.000000","7,156,558","0.000000","7,158,306","0.000000","[0, 0]","0.399521","[-235.6156%, +315.5198%]","0.776289","-","0.000000","0.000000","0.000000"
"ad_product_bn","Dimension","ads_revenue","","mean","0.056998","7,156,558","0.057517","7,158,306","0.000434","[-0.001255, +0.002123]","0.007613","[-2.2012%, +3.7238%]","0.614494","-","0.001734","0.000013","0.000103"
"ad_product_pm","Dimension","ads_revenue","","mean","0.094987","7,156,558","0.095226","7,158,306","0.000217","[-0.000171, +0.000604]","0.002279","[-0.18%, +0.6359%]","0.273494","-","0.002889","0.000007","0.000051"
"ad_product_sb","Dimension","ads_revenue","","mean","0.002506","7,156,558","0.002506","7,158,306","-0.000006","[-0.000041, +0.000028]","-0.002425","[-1.6202%, +1.1353%]","0.730140","-","0.000076","0.000000","-0.000001"
"ad_product_sl","Dimension","ads_revenue","","mean","0.547778","7,156,558","0.548253","7,158,306","0.000595","[-0.00146, +0.002649]","0.001086","[-0.2665%, +0.4836%]","0.570502","-","0.016661","0.000018","0.000141"
"ad_product_sp","Dimension","ads_revenue","","mean","0.049086","7,156,558","0.049230","7,158,306","0.000122","[-0.000245, +0.000489]","0.002483","[-0.4988%, +0.9953%]","0.514824","-","0.001493","0.000004","0.000029"
"avg_dat_mins","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"avg_r2c","Metric","N/A","","mean","13.527447","3,792,192","13.548563","3,793,646","0.021057","[+0.010415, +0.031699]","0.001557","[+0.077%, +0.2343%]","0.000105","Significant","0.013225","0.000022","0.000279"
"avg_straightline_r2c_miles","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"base_pay_usd_archived","Metric","N/A","","mean","361.945747","4,805,580","362.078054","4,807,064","0.130976","[-0.148652, +0.410605]","0.000362","[-0.0411%, +0.1134%]","0.358600","-","0.015891","0.000006","0.002088"
"chex_ct_cancel_order","Metric","N/A","","mean","0.018841","6,066,712","0.018829","6,071,471","-0.000013","[-0.000117, +0.000091]","-0.000681","[-0.6194%, +0.4832%]","0.808795","-","","",""
