"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.004104","1,225,247","0.004216","1,224,785","0.000113","[-0.000048, +0.000274]","0.027467","[-1.1781%, +6.6715%]","0.170175","-","","",""
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_revenue","Metric","N/A","","mean","0.796389","1,225,247","0.804219","1,224,785","0.007526","[+0.000523, +0.014529]","0.009450","[+0.0657%, +1.8243%]","0.035168","Significant","0.040110","0.000379","0.002288"
"avg_dat_mins","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"chex_ct_cancel_order","Metric","N/A","","mean","0.013681","251,343","0.013960","251,087","0.000283","[-0.000116, +0.000682]","0.020675","[-0.8468%, +4.9817%]","0.164384","-","","",""
"chex_ct_cart_page_conversion","Metric","N/A","","mean","0.830493","656,646","0.829801","657,765","-0.000648","[-0.001705, +0.00041]","-0.000780","[-0.2054%, +0.0494%]","0.230230","-","","",""
"chex_ct_cart_page_conversion_deliveries","Metric","N/A","","mean","0.813822","656,646","0.813190","657,765","-0.000593","[-0.0017, +0.000514]","-0.000729","[-0.2089%, +0.0631%]","0.293572","-","","",""
"chex_ct_checkout_page_failure","Metric","N/A","","mean","0.059970","656,646","0.059866","657,765","-0.000126","[-0.000765, +0.000513]","-0.002100","[-1.2761%, +0.8562%]","0.699526","-","","",""
"chex_ct_checkout_page_load","Metric","N/A","","mean","0.913999","656,646","0.913483","657,765","-0.000510","[-0.001228, +0.000207]","-0.000558","[-0.1344%, +0.0227%]","0.163421","-","","",""
"chex_ct_conversion_after_cancel","Metric","N/A","","mean","0.931097","10,857","0.932454","11,052","0.001396","[-0.00538, +0.008171]","0.001499","[-0.5778%, +0.8776%]","0.686406","-","","",""
"chex_ct_conversion_after_checkout_failure","Metric","N/A","","mean","0.800701","85,910","0.799720","86,461","-0.000591","[-0.004241, +0.003059]","-0.000738","[-0.5296%, +0.382%]","0.751022","-","","",""
"chex_ct_conversion_after_payment_failure","Metric","N/A","","mean","0.885738","20,053","0.882525","20,262","-0.003079","[-0.008719, +0.00256]","-0.003477","[-0.9844%, +0.2891%]","0.284535","-","","",""
"chex_ct_mfa_page_close","Metric","N/A","","mean","0.227355","2,675","0.220339","2,620","-0.006879","[-0.029381, +0.015622]","-0.030258","[-12.923%, +6.8713%]","0.549027","-","","",""
"chex_ct_mfa_page_load","Metric","N/A","","mean","0.002743","251,343","0.002698","251,087","-0.000049","[-0.000201, +0.000104]","-0.017683","[-7.3178%, +3.7812%]","0.532281","-","","",""
"chex_ct_mfa_page_success","Metric","N/A","","mean","0.831829","2,675","0.828666","2,620","-0.003267","[-0.023686, +0.017152]","-0.003928","[-2.8475%, +2.062%]","0.753817","-","","",""
"chex_ct_payment_error","Metric","N/A","","mean","0.032136","251,343","0.032135","251,087","0.000001","[-0.00076, +0.000763]","0.000044","[-2.3652%, +2.374%]","0.997092","-","","",""
"chex_ct_place_order","Metric","N/A","","mean","0.554660","615,752","0.554478","616,080","-0.000150","[-0.002125, +0.001825]","-0.000270","[-0.3831%, +0.3291%]","0.881678","-","","",""
"chex_ct_store_page_load","Metric","N/A","","mean","0.548582","656,646","0.550234","657,765","0.001811","[+0.000465, +0.003156]","0.003300","[+0.0847%, +0.5753%]","0.008366","Significant","","",""
"chex_ct_too_far_away","Metric","N/A","","mean","0.057946","656,646","0.057619","657,765","-0.000278","[-0.000991, +0.000436]","-0.004793","[-1.711%, +0.7524%]","0.445648","-","","",""
"cng_order_rate_nc","Metric","N/A","","mean","0.333867","1,225,247","0.336760","1,224,785","0.003491","[+0.000704, +0.006278]","0.010457","[+0.2109%, +1.8805%]","0.014080","Significant","0.044599","0.000466","0.001046"
"consumer_mto","Metric","N/A","","mean","0.067552","1,225,247","0.067945","1,224,785","0.000540","[-0.000877, +0.001956]","0.007990","[-1.2979%, +2.8959%]","0.455191","-","0.052633","0.000421","0.000647"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"consumers_mau","Metric","N/A","","mean","0.691789","1,225,247","0.691782","1,224,785","-0.000186","[-0.00117, +0.000799]","-0.000268","[-0.1692%, +0.1155%]","0.711743","-","0.040959","-0.000011","-0.000005"
"cx_app_quality_action_load_latency_web","Metric","N/A","","mean","0.020601","719,698","0.019971","716,665","-0.000613","[-0.001504, +0.000278]","-0.029748","[-7.3005%, +1.3509%]","0.177695","-","0.546106","-0.014529","-0.000335"
"cx_app_quality_crash_web","Metric","N/A","","mean","0.000318","1,165,094","0.000314","1,164,054","-0.000003","[-0.000015, +0.000008]","-0.010186","[-4.6207%, +2.5836%]","0.579434","-","0.480327","-0.001111","-0.000002"
"cx_app_quality_inp_web","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"cx_app_quality_page_action_error_web","Metric","N/A","","mean","0.003171","945,565","0.003106","946,838","-0.000058","[-0.00017, +0.000053]","-0.018399","[-5.3631%, +1.6833%]","0.306053","-","0.613984","-0.009694","-0.000036"
"cx_app_quality_page_load_error_web","Metric","N/A","","mean","0.000611","1,112,612","0.000603","1,111,762","-0.000007","[-0.000036, +0.000021]","-0.012268","[-5.9719%, +3.5183%]","0.612335","-","0.467811","-0.000978","-0.000004"
"cx_app_quality_page_load_latency_web","Metric","N/A","","mean","0.040481","802,840","0.040029","801,997","-0.000363","[-0.001047, +0.000321]","-0.008970","[-2.5873%, +0.7934%]","0.298320","-","0.508544","-0.003895","-0.000185"
"cx_app_quality_single_metric_android","Metric","N/A","","mean","0.020029","119,800","0.019628","119,643","-0.000277","[-0.000759, +0.000206]","-0.013827","[-3.7915%, +1.0261%]","0.260575","-","0.024334","-0.000326","-0.000007"
"cx_app_quality_single_metric_ios","Metric","N/A","","mean","0.023931","276,945","0.023739","276,940","-0.000172","[-0.000445, +0.000101]","-0.007200","[-1.8608%, +0.4208%]","0.216102","-","0.014442","-0.000106","-0.000003"
"cx_app_quality_single_metric_web","Metric","N/A","","mean","0.011414","1,119,470","0.011256","1,119,062","-0.000135","[-0.000299, +0.000029]","-0.011833","[-2.6176%, +0.251%]","0.105892","-","0.503330","-0.004251","-0.000068"
"cx_app_quality_tbt_web","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dashpass_paid_balance","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dashpass_signup","Metric","N/A","","mean","0.037790","1,225,247","0.037345","1,224,785","-0.000445","[-0.000934, +0.000043]","-0.011779","[-2.4705%, +0.1148%]","0.074113","-","0.041175","-0.000485","-0.000437"
"dbd_attach_rate_post_checkout","Metric","N/A","","mean","0.050409","569,988","0.050215","569,047","-0.000234","[-0.000931, +0.000464]","-0.004633","[-1.8469%, +0.9203%]","0.511652","-","0.038805","-0.000259","-0.000009"
"dbd_attach_rate_pre_and_post","Metric","N/A","","mean","0.050849","834,771","0.045032","834,392","-0.005843","[-0.006473, -0.005213]","-0.114916","[-12.7308%, -10.2525%]","0.000000","Significant","0.040782","-0.006866","-0.000288"
"dbd_attach_rate_pre_checkout","Metric","N/A","","mean","0.008920","834,771","0.009170","834,392","0.000244","[-0.000065, +0.000553]","0.027317","[-0.7323%, +6.1958%]","0.122194","-","0.029311","0.001132","0.000013"
"dbd_avg_o2_20_late","Metric","N/A","","mean","0.028279","76,569","0.028384","83,628","0.000082","[-0.001157, +0.00132]","0.002884","[-4.091%, +4.6677%]","0.897317","-","0.051556","0.000141","0.000004"
"dbd_avg_o2_cancellations","Metric","N/A","","mean","0.022548","77,897","0.022157","85,018","-0.000455","[-0.001558, +0.000648]","-0.020170","[-6.9083%, +2.8743%]","0.418957","-","0.051378","-0.000902","-0.000023"
"dbd_avg_o2_dx_cost","Metric","N/A","","mean","4.194780","77,896","4.164307","85,017","-0.005556","[-0.040347, +0.029236]","-0.001324","[-0.9618%, +0.697%]","0.754295","-","0.051377","-0.000070","-0.000283"
"dbd_avg_o2_gov_1pc","Metric","N/A","","mean","20.407119","2,131","20.129515","2,121","-0.182676","[-1.133476, +0.768124]","-0.008952","[-5.5543%, +3.764%]","0.706496","-","0.046113","-0.000479","-0.008189"
"dbd_avg_o2_gov_3pc","Metric","N/A","","mean","19.058467","19,486","19.382431","19,465","0.319427","[+0.052854, +0.586]","0.016760","[+0.2773%, +3.0747%]","0.018846","Significant","0.046018","0.000852","0.014780"
"dbd_avg_o2_gov_alc","Metric","N/A","","mean","29.292991","4,350","29.270955","4,282","-0.314483","[-1.382146, +0.753181]","-0.010736","[-4.7184%, +2.5712%]","0.563729","-","0.058599","-0.000683","-0.018921"
"dbd_avg_o2_gov_flowers","Metric","N/A","","mean","58.262500","4","48.813333","9","-9.449167","[-39.978169, +21.079836]","-0.162183","[-68.6173%, +36.1808%]","0.544092","-","0.043761","-0.009719","-0.413508"
"dbd_avg_o2_gov_grocery","Metric","N/A","","mean","29.347607","9,463","28.499729","9,424","-0.828014","[-1.545529, -0.110498]","-0.028214","[-5.2663%, -0.3765%]","0.023710","Significant","0.056131","-0.001812","-0.047154"
"dbd_avg_o2_gov_nv","Metric","N/A","","mean","23.034250","32,675","22.990846","32,451","-0.055546","[-0.356231, +0.245139]","-0.002411","[-1.5465%, +1.0642%]","0.717303","-","0.049432","-0.000136","-0.002775"
"dbd_avg_o2_gov_pets","Metric","N/A","","mean","43.508065","289","38.786701","289","-4.794227","[-10.347305, +0.758851]","-0.110192","[-23.7825%, +1.7442%]","0.090622","-","0.051311","-0.006719","-0.261553"
"dbd_avg_o2_gov_rx","Metric","N/A","","mean","21.349337","54,392","20.741404","62,222","-0.524334","[-0.707015, -0.341653]","-0.024560","[-3.3116%, -1.6003%]","0.000000","Significant","0.052387","-0.001410","-0.027002"
"dbd_avg_o2_hqdr","Metric","N/A","","mean","0.925719","77,898","0.926166","85,018","0.000288","[-0.001709, +0.002285]","0.000311","[-0.1846%, +0.2468%]","0.777600","-","0.051378","0.000016","0.000015"
"dbd_avg_o2_mi","Metric","N/A","","mean","0.016495","76,570","0.016020","83,628","-0.000382","[-0.00137, +0.000606]","-0.023157","[-8.3064%, +3.6749%]","0.448662","-","0.051557","-0.001141","-0.000019"
"dbd_avg_o2_nd","Metric","N/A","","mean","0.006001","76,569","0.006182","83,628","0.000159","[-0.000418, +0.000736]","0.026495","[-6.9604%, +12.2594%]","0.588937","-","0.051556","0.001176","0.000008"
"dbd_avg_o2_package","Metric","N/A","","mean","0.643075","76,568","0.660750","83,628","0.016275","[+0.012028, +0.020523]","0.025309","[+1.8703%, +3.1915%]","0.000000","Significant","0.051556","0.001315","0.000831"
"dbd_avg_o2_sdb","Metric","N/A","","mean","0.633802","77,898","0.648594","85,018","0.013753","[+0.009557, +0.017949]","0.021700","[+1.5079%, +2.832%]","0.000000","Significant","0.051378","0.001122","0.000700"
"dbd_avg_o2_subtotal_1pc","Metric","N/A","","mean","14.716746","2,131","14.397354","2,121","-0.236630","[-1.052741, +0.57948]","-0.016079","[-7.1534%, +3.9376%]","0.569838","-","0.046113","-0.000868","-0.010608"
"dbd_avg_o2_subtotal_3pc","Metric","N/A","","mean","12.516743","19,487","12.751389","19,465","0.224420","[-0.005299, +0.454139]","0.017930","[-0.0423%, +3.6283%]","0.055524","-","0.046019","0.000910","0.010384"
"dbd_avg_o2_subtotal_alc","Metric","N/A","","mean","21.923187","4,350","21.958829","4,282","-0.236016","[-1.095597, +0.623565]","-0.010766","[-4.9974%, +2.8443%]","0.590474","-","0.058599","-0.000682","-0.014200"
"dbd_avg_o2_subtotal_flowers","Metric","N/A","","mean","45.472500","4","36.997778","9","-8.474722","[-30.850909, +13.901465]","-0.186370","[-67.8452%, +30.5711%]","0.457897","-","0.043761","-0.010710","-0.370865"
