"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","1200 Value","1200 Exposure Volume","600 Value","600 Exposure Volume","600 Absolute Impact","600 Absolute Impact Confidence Interval","600 Relative Impact","600 Relative Impact Confidence Interval","600 P Value","600 Significance","600 Coverage","600 Relative Global Lift","600 Absolute Global Lift","900 Value","900 Exposure Volume","900 Absolute Impact","900 Absolute Impact Confidence Interval","900 Relative Impact","900 Relative Impact Confidence Interval","900 P Value","900 Significance","900 Coverage","900 Relative Global Lift","900 Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.007575","14,250,410","0.007570","13,824,741","-0.000005","[-0.000069, +0.000059]","-0.000656","[-0.9123%, +0.7811%]","0.879310","-","","","","0.007569","13,824,745","-0.000006","[-0.00007, +0.000058]","-0.000790","[-0.9257%, +0.7677%]","0.854880","-","","",""
"active_share_7d","Metric","N/A","","mean","0.806137","14,250,410","0.806369","13,824,741","0.000204","[-0.000078, +0.000487]","0.000253","[-0.0097%, +0.0604%]","0.156549","-","","","","0.806483","13,824,745","0.000303","[+0.000021, +0.000586]","0.000376","[+0.0026%, +0.0727%]","0.035372","Significant","","",""
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","5.716151","14,250,410","5.713076","13,824,741","0.000694","[-0.009775, +0.011164]","0.000121","[-0.171%, +0.1953%]","0.896571","-","0.940274","0.000114","0.000421","5.708000","13,824,745","-0.006261","[-0.014874, +0.002352]","-0.001095","[-0.2602%, +0.0411%]","0.154217","-","0.940274","-0.001030","-0.003795"
"ads_revenue","Metric","N/A","","mean","2.346280","14,250,410","2.350099","13,824,741","0.003242","[-0.000445, +0.00693]","0.001382","[-0.019%, +0.2954%]","0.084804","-","0.837356","0.001157","0.001800","2.348263","13,824,745","0.000543","[-0.003133, +0.004219]","0.000232","[-0.1335%, +0.1798%]","0.772118","-","0.837356","0.000194","0.000301"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.088736","14,250,410","0.088880","13,824,741","0.000118","[-0.000008, +0.000245]","0.001333","[-0.0094%, +0.2759%]","0.067079","-","0.031670","0.000042","0.000066","0.088821","13,824,745","0.000091","[-0.000036, +0.000217]","0.001020","[-0.0406%, +0.2447%]","0.160875","-","0.031670","0.000032","0.000050"
"ad_product_pm","Dimension","ads_revenue","","mean","0.346489","14,250,410","0.346384","13,824,741","-0.000099","[-0.000764, +0.000565]","-0.000287","[-0.2205%, +0.1631%]","0.769404","-","0.123663","-0.000035","-0.000055","0.346560","13,824,745","0.000064","[-0.000601, +0.00073]","0.000186","[-0.1734%, +0.2105%]","0.849608","-","0.123663","0.000023","0.000036"
"ad_product_sb","Dimension","ads_revenue","","mean","0.025108","14,250,410","0.025301","13,824,741","0.000101","[-0.000071, +0.000273]","0.004014","[-0.2829%, +1.0858%]","0.250245","-","0.008961","0.000036","0.000056","0.025124","13,824,745","0.000050","[-0.00012, +0.00022]","0.001991","[-0.4797%, +0.8778%]","0.565355","-","0.008961","0.000018","0.000028"
"ad_product_sl","Dimension","ads_revenue","","mean","1.703607","14,250,410","1.706151","13,824,741","0.002766","[-0.000461, +0.005992]","0.001623","[-0.0271%, +0.3517%]","0.092986","-","0.608024","0.000987","0.001535","1.705253","13,824,745","0.001747","[-0.001478, +0.004972]","0.001025","[-0.0867%, +0.2918%]","0.288316","-","0.608024","0.000624","0.000970"
"ad_product_sp","Dimension","ads_revenue","","mean","0.182252","14,250,410","0.183293","13,824,741","0.000987","[+0.000058, +0.001917]","0.005417","[+0.0317%, +1.0517%]","0.037353","Significant","0.065046","0.000352","0.000548","0.182426","13,824,745","0.000195","[-0.00069, +0.001081]","0.001072","[-0.3787%, +0.5932%]","0.665393","-","0.065046","0.000070","0.000108"
"avg_dat_mins","Metric","N/A","","mean","1206.721298","11,705,192","1206.904916","11,359,814","0.206344","[-0.176168, +0.588856]","0.000171","[-0.0146%, +0.0488%]","0.290378","-","0.835535","0.000143","0.172428","1206.657638","11,360,435","-0.071685","[-0.453993, +0.310622]","-0.000059","[-0.0376%, +0.0257%]","0.713241","-","0.835535","-0.000050","-0.059897"
"chex_ct_cancel_order","Metric","N/A","","mean","0.020639","11,558,854","0.020662","11,217,364","0.000022","[-0.000046, +0.00009]","0.001074","[-0.2235%, +0.4382%]","0.524743","-","","","","0.020631","11,216,686","-0.000009","[-0.000077, +0.000059]","-0.000450","[-0.3754%, +0.2855%]","0.789762","-","","",""
"chex_ct_cart_page_conversion","Metric","N/A","","mean","0.826767","13,928,014","0.826803","13,513,825","-0.000017","[-0.000206, +0.000172]","-0.000021","[-0.0249%, +0.0208%]","0.859588","-","","","","0.826782","13,513,757","0.000003","[-0.000186, +0.000192]","0.000004","[-0.0225%, +0.0232%]","0.974176","-","","",""
"chex_ct_cart_page_conversion_deliveries","Metric","N/A","","mean","0.812865","13,928,014","0.812942","13,513,825","0.000023","[-0.000174, +0.000219]","0.000028","[-0.0214%, +0.0269%]","0.821785","-","","","","0.812917","13,513,757","0.000029","[-0.000168, +0.000225]","0.000035","[-0.0206%, +0.0276%]","0.775797","-","","",""
"chex_ct_checkout_page_load","Metric","N/A","","mean","0.915738","13,928,014","0.915788","13,513,825","0.000011","[-0.000119, +0.000142]","0.000012","[-0.013%, +0.0155%]","0.865786","-","","","","0.915780","13,513,757","-0.000006","[-0.000137, +0.000125]","-0.000006","[-0.0149%, +0.0136%]","0.929026","-","","",""
"chex_ct_place_order","Metric","N/A","","mean","0.864121","13,250,042","0.864281","12,855,675","0.000075","[-0.000128, +0.000279]","0.000087","[-0.0148%, +0.0323%]","0.467376","-","","","","0.864141","12,855,705","0.000064","[-0.000139, +0.000268]","0.000075","[-0.0161%, +0.031%]","0.534763","-","","",""
"cng_order_rate_nc","Metric","N/A","","mean","0.710705","14,250,410","0.713822","13,824,741","0.000713","[-0.000558, +0.001983]","0.001003","[-0.0785%, +0.2791%]","0.271676","-","0.950308","0.000953","0.002618","0.712251","13,824,745","0.000805","[-0.000464, +0.002074]","0.001133","[-0.0653%, +0.2919%]","0.213843","-","0.950308","0.001076","0.002957"
"consumer_mto","Metric","N/A","","mean","0.056333","14,250,410","0.056484","13,824,741","0.000086","[-0.000484, +0.000657]","0.001528","[-0.86%, +1.1656%]","0.767431","-","0.700551","0.001071","0.001104","0.056395","13,824,745","0.000059","[-0.000323, +0.00044]","0.001043","[-0.5733%, +0.7819%]","0.762916","-","0.700551","0.000731","0.000754"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","5.165399","11,662,758","5.169584","11,318,648","0.002209","[-0.002789, +0.007207]","0.000428","[-0.054%, +0.1395%]","0.386374","-","0.700214","0.000192","0.001547","5.167185","11,318,199","0.002996","[-0.001997, +0.007988]","0.000580","[-0.0387%, +0.1547%]","0.239600","-","0.700214","0.000261","0.002098"
"consumers_mau","Metric","N/A","","mean","0.818416","14,250,410","0.818724","13,824,741","0.000277","[+0.000007, +0.000547]","0.000339","[+0.0008%, +0.0669%]","0.044499","Significant","0.700164","0.000237","0.000111","0.818691","13,824,745","0.000158","[-0.000112, +0.000428]","0.000193","[-0.0137%, +0.0523%]","0.251270","-","0.700164","0.000135","0.000063"
"cx_lifestage_Active","Dimension","consumers_mau","","mean","0.936540","9,411,749","0.936791","9,132,374","0.000241","[+0.000021, +0.000462]","0.000258","[+0.0022%, +0.0493%]","0.032098","Significant","0.529279","0.000136","0.000064","0.936690","9,134,507","0.000127","[-0.000094, +0.000348]","0.000136","[-0.01%, +0.0371%]","0.259586","-","0.529279","0.000072","0.000033"
"cx_lifestage_Churned","Dimension","consumers_mau","","mean","0.524825","554,526","0.521946","537,374","-0.002879","[-0.004753, -0.001005]","-0.005486","[-0.9056%, -0.1915%]","0.002601","Significant","0.017459","-0.000096","-0.000045","0.522773","537,333","-0.002052","[-0.003926, -0.000178]","-0.003910","[-0.748%, -0.034%]","0.031846","Significant","0.017459","-0.000068","-0.000032"
"cx_lifestage_Dormant","Dimension","consumers_mau","","mean","0.631543","1,637,576","0.631605","1,589,621","0.000138","[-0.000913, +0.001189]","0.000218","[-0.1446%, +0.1882%]","0.797363","-","0.062118","0.000014","0.000006","0.632309","1,590,057","0.000812","[-0.000238, +0.001863]","0.001286","[-0.0377%, +0.295%]","0.129646","-","0.062118","0.000080","0.000037"
"cx_lifestage_NULL","Dimension","consumers_mau","","mean","0.214450","432,847","0.216575","418,954","0.002125","[+0.000378, +0.003872]","0.009909","[+0.1764%, +1.8054%]","0.017102","Significant","0.005563","0.000055","0.000026","0.216157","418,654","0.001707","[-0.000039, +0.003453]","0.007960","[-0.0184%, +1.6103%]","0.055391","-","0.005563","0.000044","0.000021"
