"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"chex_ct_cancel_order","Metric","N/A","","mean","0.016631","9,375,411","0.016639","9,371,273","0.000009","[-0.000074, +0.000091]","0.000529","[-0.443%, +0.5489%]","0.834275","-","","",""
"chex_ct_cart_page_conversion","Metric","N/A","","mean","0.825885","11,226,632","0.825829","11,218,835","-0.000093","[-0.000325, +0.000139]","-0.000112","[-0.0393%, +0.0168%]","0.432409","-","","",""
"chex_ct_cart_page_conversion_deliveries","Metric","N/A","","mean","0.813054","11,226,632","0.812997","11,218,835","-0.000085","[-0.000325, +0.000154]","-0.000105","[-0.0399%, +0.019%]","0.485159","-","","",""
"chex_ct_checkout_page_load","Metric","N/A","","mean","0.905188","11,226,632","0.905176","11,218,835","-0.000040","[-0.000216, +0.000136]","-0.000044","[-0.0239%, +0.015%]","0.656126","-","","",""
"chex_ct_place_order","Metric","N/A","","mean","0.883678","10,512,349","0.883692","10,506,107","-0.000005","[-0.000223, +0.000213]","-0.000006","[-0.0253%, +0.0241%]","0.962933","-","","",""
"cng_gov_dm","Metric","N/A","","mean","0.761828","11,554,341","0.760767","11,546,004","-0.000416","[-0.006243, +0.005412]","-0.000546","[-0.8195%, +0.7104%]","0.888771","-","0.971185","-0.000530","-0.023240"
"cng_order_rate_1p","Metric","N/A","","mean","0.025971","11,554,341","0.025868","11,546,004","-0.000128","[-0.000299, +0.000043]","-0.004929","[-1.1518%, +0.1659%]","0.142562","-","0.952872","-0.004697","-0.000439"
"cx_app_quality_action_load_latency_android","Metric","N/A","","mean","0.007004","1,924,657","0.006921","1,924,816","-0.000082","[-0.000166, +0.000002]","-0.011684","[-2.3659%, +0.029%]","0.055820","-","0.836816","-0.009338","-0.000068"
"action_dimension_cx_add_payment_method","Dimension","cx_app_quality_action_load_latency_android","","mean","0.695652","110","0.754902","101","0.059250","[-0.060614, +0.179113]","0.085171","[-8.7133%, +25.7476%]","0.332633","-","0.000004","0.000000","0.000000"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.005484","1,780,157","0.005455","1,780,415","-0.000028","[-0.000114, +0.000057]","-0.005168","[-2.0741%, +1.0405%]","0.515434","-","0.456383","-0.001764","-0.000013"
"action_dimension_cx_create_address","Dimension","cx_app_quality_action_load_latency_android","","mean","0.019230","48","0.027027","36","0.006907","[-0.058198, +0.072013]","0.359191","[-302.6332%, +374.4715%]","0.835272","-","0.000002","0.000000","0.000000"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.020078","964,288","0.019804","964,500","-0.000277","[-0.000592, +0.000039]","-0.013776","[-2.9507%, +0.1955%]","0.086091","-","0.121883","-0.004601","-0.000034"
