"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.011943","152,134","0.011506","153,393","-0.000438","[-0.001201, +0.000326]","-0.036644","[-10.0548%, +2.7259%]","0.261054","-","","",""
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","14.355095","152,134","14.328118","153,393","-0.092207","[-0.252422, +0.068008]","-0.006423","[-1.7584%, +0.4738%]","0.259319","-","0.015877","-0.000102","-0.000397"
"ads_revenue","Metric","N/A","","mean","7.498365","152,134","7.448914","153,393","-0.075640","[-0.185218, +0.033938]","-0.010088","[-2.4701%, +0.4526%]","0.176077","-","0.014608","-0.000147","-0.000339"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.010961","152,134","0.010926","153,393","0.000048","[-0.000709, +0.000805]","0.004392","[-6.4689%, +7.3473%]","0.900834","-","0.000021","0.000000","0.000000"
"ad_product_bn","Dimension","ads_revenue","","mean","0.878182","152,134","0.834682","153,393","-0.047821","[-0.124576, +0.028934]","-0.054454","[-14.1857%, +3.2948%]","0.222040","-","0.001710","-0.000093","-0.000214"
"ad_product_pm","Dimension","ads_revenue","","mean","0.950857","152,134","0.944427","153,393","-0.006949","[-0.019661, +0.005763]","-0.007308","[-2.0677%, +0.6061%]","0.284007","-","0.001851","-0.000014","-0.000031"
"ad_product_sb","Dimension","ads_revenue","","mean","0.045388","152,134","0.045481","153,393","-0.000343","[-0.003123, +0.002437]","-0.007560","[-6.8815%, +5.3695%]","0.808851","-","0.000088","-0.000001","-0.000002"
"ad_product_sl","Dimension","ads_revenue","","mean","5.151159","152,134","5.153699","153,393","-0.020838","[-0.085659, +0.043982]","-0.004045","[-1.6629%, +0.8538%]","0.528638","-","0.010029","-0.000041","-0.000093"
"ad_product_sp","Dimension","ads_revenue","","mean","0.489864","152,134","0.488563","153,393","-0.001753","[-0.016642, +0.013137]","-0.003578","[-3.3973%, +2.6817%]","0.817539","-","0.000954","-0.000003","-0.000008"
"avg_dat_mins","Metric","N/A","","mean","1201.518078","147,915","1202.546438","149,325","1.220295","[-1.101363, +3.541952]","0.001016","[-0.0917%, +0.2948%]","0.302924","-","0.013895","0.000014","0.016964"
"cng_order_rate_nc","Metric","N/A","","mean","2.074533","152,134","2.086138","153,393","-0.000894","[-0.027419, +0.025632]","-0.000431","[-1.3217%, +1.2355%]","0.947340","-","0.015347","-0.000007","-0.000021"
"consumer_mto","Metric","N/A","","mean","0.197793","152,134","0.196508","153,393","-0.001608","[-0.008798, +0.005581]","-0.008131","[-4.4481%, +2.8218%]","0.661075","-","0.011018","-0.000090","-0.000098"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","12.990142","152,134","13.040172","153,393","0.012389","[-0.055948, +0.080726]","0.000954","[-0.4307%, +0.6214%]","0.722340","-","0.005683","0.000007","0.000070"
"consumers_mau","Metric","N/A","","mean","0.943313","152,134","0.944319","153,393","0.000877","[-0.000724, +0.002479]","0.000930","[-0.0768%, +0.2628%]","0.282901","-","0.005683","0.000005","0.000002"
"cx_app_quality_action_load_latency_android","Metric","N/A","","mean","0.006375","30,399","0.006497","30,875","0.000081","[-0.000374, +0.000536]","0.012716","[-5.8628%, +8.406%]","0.726846","-","0.010380","0.000000","0.000000"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.005570","29,856","0.005511","30,322","-0.000078","[-0.000542, +0.000386]","-0.013961","[-9.7249%, +6.9327%]","0.742510","-","0.006241","0.000000","0.000000"
"action_dimension_cx_create_address","Dimension","cx_app_quality_action_load_latency_android","","mean","0.200000","5","0.333333","2","0.133333","[-0.452636, +0.719303]","0.666667","[-226.318%, +359.6513%]","0.655614","-","0.000000","0.000000","0.000000"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.018272","22,325","0.019160","22,782","0.000902","[-0.000742, +0.002546]","0.049378","[-4.0603%, +13.9359%]","0.282130","-","0.001212","0.000147","0.000001"
"action_dimension_cx_place_order","Dimension","cx_app_quality_action_load_latency_android","","mean","0.002120","28,894","0.002232","29,398","0.000112","[-0.000342, +0.000566]","0.052893","[-16.1332%, +26.7119%]","0.628440","-","0.001913","0.000000","0.000000"
"action_dimension_cx_set_address","Dimension","cx_app_quality_action_load_latency_android","","mean","0.497975","227","0.443479","207","-0.053674","[-0.14884, +0.041491]","-0.107785","[-29.889%, +8.3319%]","0.268968","-","0.000002","0.000000","0.000000"
"action_dimension_cx_set_payment_method","Dimension","cx_app_quality_action_load_latency_android","","mean","0.121951","93","0.124352","106","-0.000271","[-0.08861, +0.088067]","-0.002224","[-72.6603%, +72.2154%]","0.995198","-","0.000001","0.000000","0.000000"
"action_dimension_cx_update_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.004209","21,015","0.004629","21,376","0.000412","[-0.000328, +0.001152]","0.097851","[-7.798%, +27.3682%]","0.275391","-","0.001015","0.000000","0.000000"
"cx_app_quality_action_load_latency_ios","Metric","N/A","","mean","0.011413","67,282","0.011386","67,921","-0.000043","[-0.000368, +0.000281]","-0.003805","[-3.2208%, +2.4597%]","0.792859","-","0.006136","0.000000","0.000000"
"action_dimension_cx_add_payment_method","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.006351","6,427","0.006572","6,358","0.000220","[-0.002162, +0.002602]","0.034607","[-34.0496%, +40.9709%]","0.856505","-","0.000014","0.000000","0.000000"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.014857","65,436","0.014778","66,012","-0.000094","[-0.000552, +0.000365]","-0.006294","[-3.7153%, +2.4564%]","0.689320","-","0.003454","0.000000","0.000000"
"action_dimension_cx_create_address","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.021885","14,450","0.021262","14,384","-0.000629","[-0.003479, +0.002221]","-0.028730","[-15.8956%, +10.1495%]","0.665446","-","0.000030","0.000000","0.000000"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.005372","52,767","0.005453","53,533","0.000081","[-0.000316, +0.000478]","0.015107","[-5.8787%, +8.9001%]","0.688646","-","0.000736","0.000000","0.000000"
"action_dimension_cx_place_order","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.001570","62,826","0.001421","63,496","-0.000148","[-0.000374, +0.000077]","-0.094424","[-23.8144%, +4.9296%]","0.197852","-","0.000950","0.000000","0.000000"
"action_dimension_cx_set_address","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.014858","28,758","0.014912","29,078","0.000053","[-0.001347, +0.001452]","0.003557","[-9.0645%, +9.7759%]","0.941004","-","0.000168","0.000000","0.000000"
"action_dimension_cx_set_payment_method","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.012476","24,709","0.013082","24,909","0.000604","[-0.000467, +0.001675]","0.048400","[-3.7465%, +13.4265%]","0.269256","-","0.000182","0.000000","0.000000"
"action_dimension_cx_update_cart","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.012839","49,262","0.013010","49,781","0.000178","[-0.000522, +0.000878]","0.013859","[-4.0645%, +6.8362%]","0.618224","-","0.000604","0.000000","0.000000"
"cx_app_quality_action_load_latency_web","Metric","N/A","","mean","0.036115","150,002","0.036596","151,236","0.000481","[-0.000182, +0.001145]","0.013330","[-0.5033%, +3.1693%]","0.154798","-","0.167193","0.002143","0.000080"
"action_dimension_cx_add_payment_method","Dimension","cx_app_quality_action_load_latency_web","","mean","0.029274","17,580","0.028299","17,768","-0.000974","[-0.004591, +0.002642]","-0.033283","[-15.6821%, +9.0256%]","0.597474","-","0.000724","0.000000","0.000000"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_action_load_latency_web","","mean","0.041133","144,987","0.041865","146,142","0.000734","[+0.000061, +0.001408]","0.017850","[+0.1481%, +3.422%]","0.032574","Significant","0.104492","0.002043","0.000076"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_action_load_latency_web","","mean","0.007867","95,693","0.008736","96,413","0.000871","[+0.000205, +0.001537]","0.110690","[+2.6032%, +19.5349%]","0.010388","Significant","0.017758","0.000413","0.000015"
"action_dimension_cx_place_order","Dimension","cx_app_quality_action_load_latency_web","","mean","0.035403","124,010","0.035544","124,874","0.000123","[-0.001638, +0.001885]","0.003486","[-4.6261%, +5.3232%]","0.890771","-","0.027736","0.000091","0.000003"
"action_dimension_cx_set_payment_method","Dimension","cx_app_quality_action_load_latency_web","","mean","0.009641","37,513","0.006402","37,595","-0.003240","[-0.009632, +0.003153]","-0.336010","[-99.9079%, +32.706%]","0.320608","-","0.003553","-0.000307","-0.000011"
"action_dimension_cx_update_cart","Dimension","cx_app_quality_action_load_latency_web","","mean","0.043596","86,579","0.043443","87,688","-0.000156","[-0.002133, +0.001822]","-0.003569","[-4.8938%, +4.18%]","0.877477","-","0.012911","-0.000053","-0.000002"
"cx_app_quality_crash_android","Metric","N/A","","mean","0.000068","34,892","0.000070","35,450","0.000002","[-0.000021, +0.000026]","0.032371","[-31.3397%, +37.8138%]","0.854413","-","0.009585","0.000000","0.000000"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_crash_android","","mean","0.000007","29,590","0.000016","30,107","0.000009","[-0.000004, +0.000023]","1.439782","[-56.2469%, +344.2033%]","0.158724","-","0.001233","0.000000","0.000000"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_crash_android","","mean","0.000017","34,588","0.000015","35,132","-0.000002","[-0.000013, +0.00001]","-0.103965","[-77.7799%, +56.9869%]","0.762347","-","0.001882","0.000000","0.000000"
"page_dimension_cx_item_page","Dimension","cx_app_quality_crash_android","","mean","0.000003","30,431","0.000008","30,949","0.000005","[-0.000008, +0.000017]","1.347930","[-231.0475%, +500.6334%]","0.470206","-","0.001982","0.000000","0.000000"
"page_dimension_cx_order_cart_page","Dimension","cx_app_quality_crash_android","","mean","0.000637","30,306","0.000632","30,773","-0.000005","[-0.000226, +0.000217]","-0.007616","[-35.5642%, +34.0411%]","0.965791","-","0.000903","0.000000","0.000000"
