"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.012971","489,077","0.013112","489,935","0.000142","[-0.000308, +0.000591]","0.010925","[-2.3719%, +4.5569%]","0.536526","-","","",""
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","12.437454","486,392","12.487408","487,418","0.048372","[-0.039775, +0.136519]","0.003889","[-0.3198%, +1.0976%]","0.282121","-","0.036342","0.000141","0.000630"
"ads_revenue","Metric","N/A","","mean","6.985863","489,077","7.002988","489,935","0.002918","[-0.056653, +0.062489]","0.000418","[-0.811%, +0.8945%]","0.923519","-","0.034302","0.000014","0.000041"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.031401","489,077","0.031858","489,935","0.000702","[-0.005683, +0.007088]","0.022366","[-18.0984%, +22.5716%]","0.829322","-","0.000154","0.000003","0.000010"
"ad_product_bn","Dimension","ads_revenue","","mean","0.658072","489,077","0.676472","489,935","0.016611","[-0.019071, +0.052294]","0.025242","[-2.8981%, +7.9465%]","0.361550","-","0.003231","0.000082","0.000231"
"ad_product_pm","Dimension","ads_revenue","","mean","0.876189","489,077","0.879347","489,935","0.002335","[-0.004679, +0.009349]","0.002665","[-0.534%, +1.067%]","0.514062","-","0.004302","0.000011","0.000032"
"ad_product_sb","Dimension","ads_revenue","","mean","0.053238","489,077","0.054676","489,935","0.001321","[-0.000527, +0.00317]","0.024820","[-0.9901%, +5.9541%]","0.161197","-","0.000261","0.000006","0.000018"
"ad_product_sl","Dimension","ads_revenue","","mean","4.826777","489,077","4.817037","489,935","-0.008753","[-0.046829, +0.029323]","-0.001813","[-0.9702%, +0.6075%]","0.652305","-","0.023700","-0.000043","-0.000122"
"ad_product_sp","Dimension","ads_revenue","","mean","0.540189","489,077","0.543603","489,935","0.003424","[-0.005839, +0.012687]","0.006339","[-1.0809%, +2.3487%]","0.468769","-","0.002652","0.000017","0.000048"
"avg_dat_mins","Metric","N/A","","mean","1214.548648","462,694","1215.645870","463,798","1.096881","[-0.41925, +2.613012]","0.000903","[-0.0345%, +0.2151%]","0.156196","-","0.031356","0.000029","0.034413"
"cng_order_rate_nc","Metric","N/A","","mean","2.168422","486,392","2.190280","487,418","0.019011","[+0.002761, +0.035261]","0.008767","[+0.1273%, +1.6261%]","0.021853","Significant","0.041587","0.000365","0.001256"
