"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_revenue","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"avg_dat_mins","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"cng_order_rate_nc","Metric","N/A","","mean","1.845652","475,641","1.852154","474,364","0.006502","[-0.006568, +0.019572]","0.003523","[-0.3559%, +1.0604%]","0.329538","-","0.090300","0.000318","0.000755"
"consumer_mto","Metric","N/A","","mean","0.163771","475,641","0.166024","474,364","0.002253","[-0.00087, +0.005376]","0.013757","[-0.5315%, +3.2829%]","0.157435","-","0.041304","0.000568","0.000867"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"consumers_mau","Metric","N/A","","mean","0.978295","475,641","0.978143","474,364","-0.000152","[-0.000739, +0.000435]","-0.000155","[-0.0755%, +0.0445%]","0.611818","-","0.021910","-0.000003","-0.000002"
"core_quality_asap","Metric","N/A","","mean","32.570717","456,083","32.576143","454,742","0.005426","[-0.045483, +0.056336]","0.000167","[-0.1396%, +0.173%]","0.834520","-","0.043340","0.000008","0.000236"
"core_quality_cancellation","Metric","N/A","","mean","0.019331","460,804","0.019447","459,419","0.000116","[-0.000116, +0.000347]","0.005975","[-0.6025%, +1.7975%]","0.329108","-","0.042300","0.000266","0.000005"
"core_quality_checkout_quote","Metric","N/A","","mean","37.997833","456,083","38.036460","454,742","0.038628","[-0.008249, +0.085504]","0.001017","[-0.0217%, +0.225%]","0.106293","-","0.043340","0.000048","0.001681"
"core_quality_hqdr","Metric","N/A","","mean","0.909747","460,814","0.909048","459,434","-0.000700","[-0.001286, -0.000114]","-0.000769","[-0.1413%, -0.0125%]","0.019239","Significant","0.042215","-0.000032","-0.000030"
"core_quality_is_pfq","Metric","N/A","","mean","0.008000","459,724","0.008118","458,351","0.000119","[-0.000061, +0.000299]","0.014871","[-0.7574%, +3.7315%]","0.194089","-","0.042191","0.000713","0.000005"
"core_quality_late20","Metric","N/A","","mean","0.023002","459,477","0.023173","458,085","0.000171","[-0.00009, +0.000433]","0.007451","[-0.3925%, +1.8828%]","0.199250","-","0.043322","0.000396","0.000007"
"core_quality_mi","Metric","N/A","","mean","0.038970","459,724","0.039273","458,351","0.000303","[-0.000097, +0.000702]","0.007765","[-0.248%, +1.8009%]","0.137419","-","0.042191","0.000398","0.000013"
