"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.006504","617,008","0.006396","616,354","-0.000107","[-0.00039, +0.000175]","-0.016477","[-5.9916%, +2.6962%]","0.457221","-","","",""
"active_share_7d","Metric","N/A","","mean","0.616162","617,008","0.615510","616,354","-0.000663","[-0.002291, +0.000965]","-0.001076","[-0.3719%, +0.1566%]","0.424677","-","","",""
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","1.834872","617,008","1.829113","616,354","-0.005860","[-0.023108, +0.011388]","-0.003194","[-1.2594%, +0.6207%]","0.505491","-","0.037390","-0.000119","-0.000206"
"ads_revenue","Metric","N/A","","mean","1.290532","617,008","1.292534","616,354","0.003969","[-0.006656, +0.014595]","0.003076","[-0.5158%, +1.1309%]","0.464093","-","0.032566","0.000100","0.000101"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.035633","585,060","0.034495","583,844","-0.001179","[-0.005317, +0.002959]","-0.033089","[-14.9216%, +8.3039%]","0.576531","-","0.000905","-0.000030","-0.000036"
"ad_product_bn","Dimension","ads_revenue","","mean","0.203289","585,060","0.197914","583,844","-0.004897","[-0.019688, +0.009895]","-0.024088","[-9.6849%, +4.8672%]","0.516422","-","0.005162","-0.000124","-0.000150"
"ad_product_pm","Dimension","ads_revenue","","mean","0.142595","585,060","0.142532","583,844","-0.000031","[-0.001759, +0.001697]","-0.000218","[-1.2336%, +1.19%]","0.971858","-","0.003621","0.000000","0.000000"
"ad_product_sb","Dimension","ads_revenue","","mean","0.015338","585,060","0.015197","583,844","-0.000175","[-0.000862, +0.000511]","-0.011415","[-5.6173%, +3.3343%]","0.617155","-","0.000390","-0.000004","-0.000005"
"ad_product_sl","Dimension","ads_revenue","","mean","0.814858","585,060","0.813142","583,844","-0.000788","[-0.009222, +0.007647]","-0.000966","[-1.1318%, +0.9385%]","0.854796","-","0.020693","-0.000020","-0.000024"
"ad_product_sp","Dimension","ads_revenue","","mean","0.087626","585,060","0.089187","583,844","0.001613","[-0.000816, +0.004042]","0.018407","[-0.9315%, +4.6129%]","0.193117","-","0.002225","0.000041","0.000050"
"avg_dat_mins","Metric","N/A","","mean","1167.853227","498,377","1166.510195","496,935","-0.785710","[-2.587455, +1.016035]","-0.000673","[-0.2216%, +0.087%]","0.392714","-","0.037172","-0.000025","-0.029259"
"cng_order_rate_nc","Metric","N/A","","mean","0.522783","617,008","0.523475","616,354","0.000056","[-0.003838, +0.003949]","0.000106","[-0.7341%, +0.7554%]","0.977681","-","0.049352","0.000005","0.000011"
"consumer_mto","Metric","N/A","","mean","0.062291","617,008","0.059240","616,354","-0.003049","[-0.007336, +0.001237]","-0.048951","[-11.7769%, +1.9866%]","0.163268","-","0.047506","-0.002325","-0.002231"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","10.684472","606,557","10.689685","605,662","-0.001862","[-0.035428, +0.031703]","-0.000174","[-0.3316%, +0.2967%]","0.913402","-","0.028758","-0.000008","-0.000054"
"consumers_mau","Metric","N/A","","mean","0.983062","617,008","0.982653","616,354","-0.000381","[-0.000834, +0.000072]","-0.000388","[-0.0849%, +0.0073%]","0.098915","-","0.028764","-0.000011","-0.000006"
"cx_app_quality_action_load_latency_android","Metric","N/A","","mean","0.006028","403,111","0.006039","402,303","0.000017","[-0.000129, +0.000163]","0.002794","[-2.1402%, +2.699%]","0.820958","-","0.162374","0.000380","0.000003"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.005557","2,985","0.007004","2,994","0.001704","[-0.001481, +0.004889]","0.306680","[-26.6458%, +87.9819%]","0.294291","-","0.002123","0.000488","0.000004"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.020072","1,273","0.013302","1,230","-0.007330","[-0.016119, +0.001458]","-0.365192","[-80.3032%, +7.2648%]","0.102100","-","0.000552","-0.000507","-0.000004"
"action_dimension_cx_place_order","Dimension","cx_app_quality_action_load_latency_android","","mean","0.003854","3,242","0.003064","3,217","-0.001308","[-0.004814, +0.002198]","-0.339477","[-124.9227%, +57.0273%]","0.464554","-","0.000913","-0.000155","-0.000001"
"action_dimension_cx_set_address","Dimension","cx_app_quality_action_load_latency_android","","mean","0.000000","2","0.250000","4","0.250000","[-0.239991, +0.739991]","","[]","0.317311","-","0.000001","0.000000","0.000000"
"action_dimension_cx_set_payment_method","Dimension","cx_app_quality_action_load_latency_android","","mean","0.066666","24","0.000000","14","-0.066534","[-0.158468, +0.025401]","-0.998013","[-237.7035%, +38.1009%]","0.156060","-","0.000004","0.000000","0.000000"
"action_dimension_cx_update_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.001250","1,025","0.001798","992","0.000604","[-0.001652, +0.00286]","0.483473","[-132.1857%, +228.8803%]","0.599663","-","0.000398","0.000000","0.000000"
"cx_app_quality_action_load_latency_ios","Metric","N/A","","mean","0.010860","16,771","0.010307","16,634","-0.000632","[-0.001473, +0.00021]","-0.058152","[-13.5648%, +1.9345%]","0.141367","-","0.001557","0.000000","0.000000"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.032338","113","0.024000","120","-0.010816","[-0.039705, +0.018072]","-0.334477","[-122.7811%, +55.8857%]","0.463047","-","0.000016","0.000000","0.000000"
"action_dimension_cx_create_address","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.000000","2","0.000000","4","0.000000","[0, 0]","","[]","1.000000","-","0.000000","0.000000","0.000000"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.012048","37","0.000000","57","-0.007180","[-0.030673, +0.016313]","-0.595924","[-254.5851%, +135.4002%]","0.549178","-","0.000004","0.000000","0.000000"
"action_dimension_cx_place_order","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.000000","95","0.000000","94","0.000000","[0, 0]","","[]","1.000000","-","0.000005","0.000000","0.000000"
"action_dimension_cx_set_address","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.022727","33","0.000000","41","-0.014116","[-0.060628, +0.032395]","-0.621125","[-266.7628%, +142.5379%]","0.551938","-","0.000002","0.000000","0.000000"
"action_dimension_cx_set_payment_method","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.000000","33","0.078947","33","0.080059","[-0.004994, +0.165113]","","[]","0.065055","-","0.000002","0.000000","0.000000"
"action_dimension_cx_update_cart","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.009615","45","0.000000","40","-0.009638","[-0.028529, +0.009254]","-1.002317","[-296.7088%, +96.2455%]","0.317376","-","0.000004","0.000000","0.000000"
"cx_app_quality_action_load_latency_web","Metric","N/A","","mean","0.029807","11,561","0.027363","11,341","-0.002203","[-0.006098, +0.001692]","-0.073900","[-20.4573%, +5.6772%]","0.267675","-","0.014939","-0.000765","-0.000034"
"action_dimension_cx_place_order","Dimension","cx_app_quality_action_load_latency_web","","mean","0.011364","64","0.066667","74","0.055423","[-0.019044, +0.129891]","4.877257","[-167.5852%, +1,143.0366%]","0.144638","-","0.000325","0.000389","0.000016"
"cx_app_quality_crash_android","Metric","N/A","","mean","0.000072","611,945","0.000073","610,749","0.000001","[-0.000006, +0.000008]","0.013905","[-7.8939%, +10.675%]","0.769106","-","0.171955","0.000000","0.000000"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_crash_android","","mean","0.000000","3,342","0.000000","3,389","0.000000","[0, 0]","","[]","1.000000","-","0.000498","0.000000","0.000000"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_crash_android","","mean","0.000052","10,387","0.000026","10,467","-0.000026","[-0.000114, +0.000062]","-0.494492","[-219.6321%, +120.7337%]","0.569019","-","0.001341","0.000000","0.000000"
"page_dimension_cx_item_page","Dimension","cx_app_quality_crash_android","","mean","0.000000","3,233","0.000048","3,231","0.000048","[-0.000046, +0.000142]","","[]","0.320240","-","0.000703","0.000000","0.000000"
"page_dimension_cx_order_cart_page","Dimension","cx_app_quality_crash_android","","mean","0.007979","3,197","0.003504","3,190","-0.004449","[-0.010037, +0.00114]","-0.557545","[-125.7917%, +14.2827%]","0.118697","-","0.000363","-0.006310","-0.000002"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_crash_android","","mean","0.000000","11,423","0.000000","11,397","0.000000","[0, 0]","","[]","1.000000","-","0.001729","0.000000","0.000000"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_crash_android","","mean","0.000000","1,255","0.000000","1,228","0.000000","[0, 0]","","[]","1.000000","-","0.000089","0.000000","0.000000"
"page_dimension_cx_store_page","Dimension","cx_app_quality_crash_android","","mean","0.000000","4,318","0.000000","4,394","0.000000","[0, 0]","","[]","1.000000","-","0.000585","0.000000","0.000000"
"cx_app_quality_crash_ios","Metric","N/A","","mean","0.000036","25,421","0.000037","25,416","0.000000","[-0.000015, +0.000016]","0.013062","[-41.9722%, +44.5845%]","0.952830","-","0.001675","0.000000","0.000000"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_crash_ios","","mean","0.000000","81","0.000000","80","0.000000","[0, 0]","","[]","1.000000","-","0.000002","0.000000","0.000000"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_crash_ios","","mean","0.000000","354","0.000000","407","0.000000","[0, 0]","","[]","1.000000","-","0.000015","0.000000","0.000000"
"page_dimension_cx_item_page","Dimension","cx_app_quality_crash_ios","","mean","0.000000","127","0.000000","141","0.000000","[0, 0]","","[]","1.000000","-","0.000005","0.000000","0.000000"
"page_dimension_cx_order_cart_page","Dimension","cx_app_quality_crash_ios","","mean","0.000000","105","0.000000","114","0.000000","[0, 0]","","[]","1.000000","-","0.000003","0.000000","0.000000"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_crash_ios","","mean","0.000000","234","0.000000","267","0.000000","[0, 0]","","[]","1.000000","-","0.000006","0.000000","0.000000"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_crash_ios","","mean","0.000000","47","0.000000","66","0.000000","[0, 0]","","[]","1.000000","-","0.000001","0.000000","0.000000"
"page_dimension_cx_store_page","Dimension","cx_app_quality_crash_ios","","mean","0.000000","156","0.000000","186","0.000000","[0, 0]","","[]","1.000000","-","0.000007","0.000000","0.000000"
"cx_app_quality_crash_web","Metric","N/A","","mean","0.000248","18,847","0.000303","18,659","0.000055","[-0.000076, +0.000186]","0.222133","[-30.7535%, +75.1801%]","0.411092","-","0.017942","0.000000","0.000000"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_crash_web","","mean","0.000000","60","0.000000","74","0.000000","[0, 0]","","[]","1.000000","-","0.000072","0.000000","0.000000"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_crash_web","","mean","0.000000","106","0.000000","127","0.000000","[0, 0]","","[]","1.000000","-","0.000119","0.000000","0.000000"
"page_dimension_cx_item_page","Dimension","cx_app_quality_crash_web","","mean","0.000000","15","0.000000","16","0.000000","[0, 0]","","[]","1.000000","-","0.000014","0.000000","0.000000"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_crash_web","","mean","0.000000","51","0.000000","56","0.000000","[0, 0]","","[]","1.000000","-","0.000060","0.000000","0.000000"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_crash_web","","mean","0.000000","3","0.000000","2","0.000000","[0, 0]","","[]","1.000000","-","0.000002","0.000000","0.000000"
"page_dimension_cx_store_page","Dimension","cx_app_quality_crash_web","","mean","0.000000","60","0.004808","77","0.004044","[-0.005575, +0.013663]","","[]","0.409955","-","0.000101","0.000000","0.000000"
"cx_app_quality_hitch_android","Metric","N/A","","mean","0.079135","606,704","0.079756","606,148","0.000032","[-0.000491, +0.000556]","0.000409","[-0.6207%, +0.7025%]","0.903515","-","0.177474","0.000072","0.000006"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_hitch_android","","mean","0.057901","358,706","0.057870","357,447","-0.000333","[-0.001376, +0.00071]","-0.005756","[-2.3766%, +1.2254%]","0.531071","-","0.008186","-0.000034","-0.000003"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_hitch_android","","mean","0.139653","546,572","0.140621","545,183","0.000410","[-0.000575, +0.001394]","0.002933","[-0.4115%, +0.9981%]","0.414682","-","0.029214","0.000151","0.000012"
"page_dimension_cx_item_page","Dimension","cx_app_quality_hitch_android","","mean","0.040118","366,594","0.040871","365,712","0.000343","[-0.00039, +0.001077]","0.008553","[-0.973%, +2.6835%]","0.359187","-","0.025386","0.000110","0.000009"
"page_dimension_cx_order_cart_page","Dimension","cx_app_quality_hitch_android","","mean","0.108940","381,059","0.109726","379,503","0.000440","[-0.000846, +0.001727]","0.004041","[-0.7769%, +1.5851%]","0.502422","-","0.015621","0.000087","0.000007"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_hitch_android","","mean","0.049925","544,641","0.049902","542,222","-0.000077","[-0.00053, +0.000377]","-0.001533","[-1.0615%, +0.7549%]","0.740790","-","0.038098","-0.000037","-0.000003"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_hitch_android","","mean","0.061510","291,649","0.062661","291,532","0.001076","[+0.000135, +0.002018]","0.017498","[+0.2187%, +3.281%]","0.025100","Significant","0.006829","0.000093","0.000007"
"page_dimension_cx_store_page","Dimension","cx_app_quality_hitch_android","","mean","0.086616","436,325","0.087417","435,022","0.000298","[-0.00046, +0.001057]","0.003446","[-0.5316%, +1.2207%]","0.440840","-","0.037406","0.000141","0.000011"
"cx_app_quality_hitch_ios","Metric","N/A","","mean","0.185870","19,551","0.184253","19,511","-0.000922","[-0.004276, +0.002432]","-0.004962","[-2.3007%, +1.3083%]","0.589926","-","0.001593","-0.000009","-0.000001"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_hitch_ios","","mean","0.225880","13,451","0.218471","13,271","-0.007862","[-0.014724, -0.001]","-0.034806","[-6.5185%, -0.4426%]","0.024737","Significant","0.000178","-0.000009","-0.000001"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_hitch_ios","","mean","0.134853","14,797","0.132009","14,580","-0.003193","[-0.00785, +0.001464]","-0.023677","[-5.8212%, +1.0857%]","0.179012","-","0.000226","0.000000","0.000000"
