"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.004095","212,921","0.004094","212,762","-0.000003","[-0.000387, +0.00038]","-0.000758","[-9.4432%, +9.2916%]","0.987352","-","","",""
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_revenue","Metric","N/A","","mean","0.424596","212,921","0.409360","212,762","-0.015252","[-0.046755, +0.01625]","-0.035922","[-11.0116%, +3.8272%]","0.342649","-","0.009285","-0.000334","-0.000274"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.035633","585,060","0.034495","583,844","-0.001179","[-0.005317, +0.002959]","-0.033089","[-14.9216%, +8.3039%]","0.576531","-","0.000905","-0.000030","-0.000036"
"ad_product_bn","Dimension","ads_revenue","","mean","0.203289","585,060","0.197914","583,844","-0.004897","[-0.019688, +0.009895]","-0.024088","[-9.6849%, +4.8672%]","0.516422","-","0.005162","-0.000124","-0.000150"
"ad_product_pm","Dimension","ads_revenue","","mean","0.142595","585,060","0.142532","583,844","-0.000031","[-0.001759, +0.001697]","-0.000218","[-1.2336%, +1.19%]","0.971858","-","0.003621","0.000000","0.000000"
"ad_product_sb","Dimension","ads_revenue","","mean","0.015338","585,060","0.015197","583,844","-0.000175","[-0.000862, +0.000511]","-0.011415","[-5.6173%, +3.3343%]","0.617155","-","0.000390","-0.000004","-0.000005"
"ad_product_sl","Dimension","ads_revenue","","mean","0.814858","585,060","0.813142","583,844","-0.000788","[-0.009222, +0.007647]","-0.000966","[-1.1318%, +0.9385%]","0.854796","-","0.020693","-0.000020","-0.000024"
"ad_product_sp","Dimension","ads_revenue","","mean","0.087626","585,060","0.089187","583,844","0.001613","[-0.000816, +0.004042]","0.018407","[-0.9315%, +4.6129%]","0.193117","-","0.002225","0.000041","0.000050"
"avg_dat_mins","Metric","N/A","","mean","1191.622371","690,810","1190.949498","692,269","-0.925659","[-2.471714, +0.620397]","-0.000777","[-0.2074%, +0.0521%]","0.240605","-","0.068909","-0.000054","-0.063692"
"cng_order_rate_nc","Metric","N/A","","mean","0.221976","157,760","0.217899","157,371","-0.004488","[-0.008253, -0.000724]","-0.020220","[-3.718%, -0.3261%]","0.019450","Significant","0.014379","-0.000291","-0.000427"
"consumer_mto","Metric","N/A","","mean","0.057902","585,060","0.055474","583,844","-0.002471","[-0.006399, +0.001457]","-0.042674","[-11.0512%, +2.5164%]","0.217601","-","0.045335","-0.001935","-0.001876"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","10.748547","585,060","10.750071","583,844","-0.004299","[-0.039088, +0.030491]","-0.000400","[-0.3637%, +0.2837%]","0.808645","-","0.027678","-0.000018","-0.000119"
"consumers_mau","Metric","N/A","","mean","0.957994","212,921","0.957699","212,762","-0.000211","[-0.001376, +0.000954]","-0.000220","[-0.1436%, +0.0995%]","0.722337","-","0.010649","-0.000002","-0.000001"
"cx_app_quality_action_load_latency_android","Metric","N/A","","mean","0.006844","3,837","0.006469","3,835","-0.000282","[-0.002686, +0.002122]","-0.041185","[-39.2467%, +31.0098%]","0.818257","-","0.004007","-0.000148","-0.000001"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.005557","2,985","0.007004","2,994","0.001704","[-0.001481, +0.004889]","0.306680","[-26.6458%, +87.9819%]","0.294291","-","0.002123","0.000488","0.000004"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.020072","1,273","0.013302","1,230","-0.007330","[-0.016119, +0.001458]","-0.365192","[-80.3032%, +7.2648%]","0.102100","-","0.000552","-0.000507","-0.000004"
"action_dimension_cx_place_order","Dimension","cx_app_quality_action_load_latency_android","","mean","0.003854","3,242","0.003064","3,217","-0.001308","[-0.004814, +0.002198]","-0.339477","[-124.9227%, +57.0273%]","0.464554","-","0.000913","-0.000155","-0.000001"
"action_dimension_cx_set_address","Dimension","cx_app_quality_action_load_latency_android","","mean","0.000000","2","0.250000","4","0.250000","[-0.239991, +0.739991]","","[]","0.317311","-","0.000001","0.000000","0.000000"
"action_dimension_cx_set_payment_method","Dimension","cx_app_quality_action_load_latency_android","","mean","0.066666","24","0.000000","14","-0.066534","[-0.158468, +0.025401]","-0.998013","[-237.7035%, +38.1009%]","0.156060","-","0.000004","0.000000","0.000000"
"action_dimension_cx_update_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.001250","1,025","0.001798","992","0.000604","[-0.001652, +0.00286]","0.483473","[-132.1857%, +228.8803%]","0.599663","-","0.000398","0.000000","0.000000"
"cx_app_quality_action_load_latency_ios","Metric","N/A","","mean","0.020025","132","0.016026","142","-0.005529","[-0.022601, +0.011544]","-0.276084","[-112.8637%, +57.6468%]","0.525624","-","0.000033","0.000000","0.000000"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.032338","113","0.024000","120","-0.010816","[-0.039705, +0.018072]","-0.334477","[-122.7811%, +55.8857%]","0.463047","-","0.000016","0.000000","0.000000"
"action_dimension_cx_create_address","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.000000","2","0.000000","4","0.000000","[0, 0]","","[]","1.000000","-","0.000000","0.000000","0.000000"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.012048","37","0.000000","57","-0.007180","[-0.030673, +0.016313]","-0.595924","[-254.5851%, +135.4002%]","0.549178","-","0.000004","0.000000","0.000000"
"action_dimension_cx_place_order","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.000000","95","0.000000","94","0.000000","[0, 0]","","[]","1.000000","-","0.000005","0.000000","0.000000"
"action_dimension_cx_set_address","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.022727","33","0.000000","41","-0.014116","[-0.060628, +0.032395]","-0.621125","[-266.7628%, +142.5379%]","0.551938","-","0.000002","0.000000","0.000000"
"action_dimension_cx_set_payment_method","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.000000","33","0.078947","33","0.080059","[-0.004994, +0.165113]","","[]","0.065055","-","0.000002","0.000000","0.000000"
"action_dimension_cx_update_cart","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.009615","45","0.000000","40","-0.009638","[-0.028529, +0.009254]","-1.002317","[-296.7088%, +96.2455%]","0.317376","-","0.000004","0.000000","0.000000"
"cx_app_quality_action_load_latency_web","Metric","N/A","","mean","0.010989","64","0.066667","74","0.051871","[-0.02237, +0.126112]","4.720281","[-203.5666%, +1,147.6227%]","0.170875","-","0.000337","0.000364","0.000015"
"action_dimension_cx_place_order","Dimension","cx_app_quality_action_load_latency_web","","mean","0.011364","64","0.066667","74","0.055423","[-0.019044, +0.129891]","4.877257","[-167.5852%, +1,143.0366%]","0.144638","-","0.000325","0.000389","0.000016"
"cx_app_quality_crash_android","Metric","N/A","","mean","0.001088","13,793","0.000890","13,840","-0.000199","[-0.000704, +0.000306]","-0.182769","[-64.7033%, +28.1494%]","0.440357","-","0.006346","-0.002871","-0.000001"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_crash_android","","mean","0.000000","3,342","0.000000","3,389","0.000000","[0, 0]","","[]","1.000000","-","0.000498","0.000000","0.000000"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_crash_android","","mean","0.000052","10,387","0.000026","10,467","-0.000026","[-0.000114, +0.000062]","-0.494492","[-219.6321%, +120.7337%]","0.569019","-","0.001341","0.000000","0.000000"
"page_dimension_cx_item_page","Dimension","cx_app_quality_crash_android","","mean","0.000000","3,233","0.000048","3,231","0.000048","[-0.000046, +0.000142]","","[]","0.320240","-","0.000703","0.000000","0.000000"
"page_dimension_cx_order_cart_page","Dimension","cx_app_quality_crash_android","","mean","0.007979","3,197","0.003504","3,190","-0.004449","[-0.010037, +0.00114]","-0.557545","[-125.7917%, +14.2827%]","0.118697","-","0.000363","-0.006310","-0.000002"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_crash_android","","mean","0.000000","11,423","0.000000","11,397","0.000000","[0, 0]","","[]","1.000000","-","0.001729","0.000000","0.000000"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_crash_android","","mean","0.000000","1,255","0.000000","1,228","0.000000","[0, 0]","","[]","1.000000","-","0.000089","0.000000","0.000000"
"page_dimension_cx_store_page","Dimension","cx_app_quality_crash_android","","mean","0.000000","4,318","0.000000","4,394","0.000000","[0, 0]","","[]","1.000000","-","0.000585","0.000000","0.000000"
"cx_app_quality_crash_ios","Metric","N/A","","mean","0.000000","370","0.000000","427","0.000000","[0, 0]","","[]","1.000000","-","0.000041","0.000000","0.000000"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_crash_ios","","mean","0.000000","81","0.000000","80","0.000000","[0, 0]","","[]","1.000000","-","0.000002","0.000000","0.000000"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_crash_ios","","mean","0.000000","354","0.000000","407","0.000000","[0, 0]","","[]","1.000000","-","0.000015","0.000000","0.000000"
"page_dimension_cx_item_page","Dimension","cx_app_quality_crash_ios","","mean","0.000000","127","0.000000","141","0.000000","[0, 0]","","[]","1.000000","-","0.000005","0.000000","0.000000"
"page_dimension_cx_order_cart_page","Dimension","cx_app_quality_crash_ios","","mean","0.000000","105","0.000000","114","0.000000","[0, 0]","","[]","1.000000","-","0.000003","0.000000","0.000000"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_crash_ios","","mean","0.000000","234","0.000000","267","0.000000","[0, 0]","","[]","1.000000","-","0.000006","0.000000","0.000000"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_crash_ios","","mean","0.000000","47","0.000000","66","0.000000","[0, 0]","","[]","1.000000","-","0.000001","0.000000","0.000000"
"page_dimension_cx_store_page","Dimension","cx_app_quality_crash_ios","","mean","0.000000","156","0.000000","186","0.000000","[0, 0]","","[]","1.000000","-","0.000007","0.000000","0.000000"
"cx_app_quality_crash_web","Metric","N/A","","mean","0.000000","179","0.003741","197","0.003430","[-0.003946, +0.010806]","","[]","0.362050","-","0.000461","0.000852","0.000002"
