"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment_a Value","treatment_a Exposure Volume","treatment_a Absolute Impact","treatment_a Absolute Impact Confidence Interval","treatment_a Relative Impact","treatment_a Relative Impact Confidence Interval","treatment_a P Value","treatment_a Significance","treatment_a Coverage","treatment_a Relative Global Lift","treatment_a Absolute Global Lift","treatment_b Value","treatment_b Exposure Volume","treatment_b Absolute Impact","treatment_b Absolute Impact Confidence Interval","treatment_b Relative Impact","treatment_b Relative Impact Confidence Interval","treatment_b P Value","treatment_b Significance","treatment_b Coverage","treatment_b Relative Global Lift","treatment_b Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.004156","2,497,231","0.004108","2,425,881","-0.000047","[-0.00016, +0.000067]","-0.011220","[-3.8488%, +1.6048%]","0.419960","-","","","","0.004114","2,426,762","-0.000042","[-0.000155, +0.000072]","-0.010013","[-3.7289%, +1.7262%]","0.471805","-","","",""
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","3.966619","2,497,231","3.979078","2,425,881","0.007845","[-0.00801, +0.0237]","0.001978","[-0.2019%, +0.5975%]","0.332166","-","0.214360","0.000424","0.001313","3.987012","2,426,762","0.015227","[-0.000621, +0.031074]","0.003839","[-0.0156%, +0.7834%]","0.059670","-","0.214360","0.000823","0.002549"
"ads_revenue","Metric","N/A","","mean","1.666045","2,497,231","1.669362","2,425,881","0.002378","[-0.004257, +0.009012]","0.001427","[-0.2555%, +0.5409%]","0.482396","-","0.187008","0.000267","0.000364","1.671662","2,426,762","0.005987","[-0.000659, +0.012632]","0.003593","[-0.0395%, +0.7582%]","0.077456","-","0.187008","0.000672","0.000916"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.117526","2,497,231","0.117796","2,425,881","0.000232","[-0.000156, +0.000619]","0.001972","[-0.1324%, +0.5268%]","0.241000","-","0.013192","0.000026","0.000035","0.117703","2,426,762","0.000108","[-0.000279, +0.000495]","0.000918","[-0.2374%, +0.421%]","0.584667","-","0.013192","0.000012","0.000017"
"ad_product_pm","Dimension","ads_revenue","","mean","0.207862","2,497,231","0.207961","2,425,881","0.000003","[-0.001113, +0.001119]","0.000014","[-0.5353%, +0.5382%]","0.995802","-","0.023332","0.000000","0.000000","0.208702","2,426,762","0.000881","[-0.000236, +0.001998]","0.004239","[-0.1135%, +0.9612%]","0.122088","-","0.023332","0.000099","0.000135"
"ad_product_sb","Dimension","ads_revenue","","mean","0.021112","2,497,231","0.021414","2,425,881","0.000313","[-0.000117, +0.000744]","0.014831","[-0.5558%, +3.522%]","0.153960","-","0.002370","0.000035","0.000048","0.021301","2,426,762","0.000131","[-0.000294, +0.000555]","0.006198","[-1.3914%, +2.6311%]","0.545843","-","0.002370","0.000015","0.000020"
"ad_product_sl","Dimension","ads_revenue","","mean","1.163140","2,497,231","1.166072","2,425,881","0.001589","[-0.003926, +0.007103]","0.001366","[-0.3375%, +0.6107%]","0.572353","-","0.130558","0.000178","0.000243","1.168773","2,426,762","0.004981","[-0.000543, +0.010505]","0.004282","[-0.0467%, +0.9032%]","0.077195","-","0.130558","0.000559","0.000762"
"ad_product_sp","Dimension","ads_revenue","","mean","0.156408","2,497,231","0.156119","2,425,881","-0.000219","[-0.001932, +0.001493]","-0.001400","[-1.2349%, +0.9549%]","0.802067","-","0.017556","-0.000025","-0.000034","0.155187","2,426,762","-0.001056","[-0.002762, +0.00065]","-0.006749","[-1.7656%, +0.4158%]","0.225229","-","0.017556","-0.000118","-0.000161"
"avg_dat_mins","Metric","N/A","","mean","1202.458984","2,171,752","1202.751200","2,110,162","0.375446","[-0.440601, +1.191494]","0.000312","[-0.0366%, +0.0991%]","0.367196","-","0.213329","0.000066","0.080212","1202.294506","2,110,506","-0.051420","[-0.855091, +0.75225]","-0.000043","[-0.0711%, +0.0626%]","0.900206","-","0.213329","-0.000009","-0.010982"
"cng_order_rate_nc","Metric","N/A","","mean","0.548590","2,497,231","0.550171","2,425,881","0.000208","[-0.001957, +0.002373]","0.000378","[-0.3568%, +0.4325%]","0.850940","-","0.236711","0.000090","0.000199","0.548351","2,426,762","-0.000694","[-0.002852, +0.001464]","-0.001265","[-0.5199%, +0.2668%]","0.528371","-","0.236711","-0.000300","-0.000667"
