Metric Name,Desired Direction,Dimension Name,Dimension Value,Label,Variant Name,Metric Value,Metric Impact Relative,Metric Impact Relative Lower Bound,Metric Impact Relative Upper Bound,Metric Impact Relative Global Lift,Metric Impact Absolute,Metric Impact Absolute Lower Bound,Metric Impact Absolute Upper Bound,Metric Impact Absolute Global Lift,P Value,Metric Impact Relative Sequential Lower Bound,Metric Impact Relative Sequential Upper Bound,Metric Impact Absolute Sequential Lower Bound,Metric Impact Absolute Sequential Upper Bound,P Value Sequential,Participating Units,Analyzed At
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Active,,control,0.003244,,,,,,,,,,,,,,,5148669,2025-03-18 05:47:04
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Active,,treatment,0.003251,0.00217521,-0.0192499,0.02360032,,7.06e-6,-0.00006245,0.00007656,,0.84227217,-0.03151956,0.03586999,-0.00010225,0.00011636,1.0,5146261,2025-03-18 05:47:04
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Churned,,control,0.008732,,,,,,,,,,,,,,,409311,2025-03-18 05:46:06
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Churned,,treatment,0.008295,-0.04931549,-0.09489568,-0.00373529,,-0.00043062,-0.00082863,-0.00003262,,0.03395693,-0.1209984,0.02236743,-0.00105656,0.00019531,0.3700824,409145,2025-03-18 05:46:06
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.01745369,,,,,,,,,,,,,,,4611,2025-03-18 05:45:22
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.03178817,,,,,,,,,,,,,,,213766,2025-03-18 05:46:23
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment,0.00171464,0.81927787,-0.48185157,2.12040732,0.0,0.00077308,-0.00045468,0.00200083,0.0,0.21715669,-1.22697828,2.86553403,-0.00115779,0.00270394,1.0,6627,2025-03-18 05:45:28
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment,0.03254093,0.02376076,-0.02826625,0.07578776,0.00048209,0.00075531,-0.00089853,0.00240915,1.28e-6,0.37072486,-0.05806091,0.10558243,-0.00184565,0.00335627,1.0,213351,2025-03-18 05:46:23
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment,0.01848378,0.0557925,-0.25152306,0.36310805,0.00008255,0.00097378,-0.00439001,0.00633758,3.62e-6,0.72196986,-0.42751557,0.53910056,-0.00746172,0.00940929,1.0,4506,2025-03-18 05:45:22
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment,0.00790004,0.00826826,-0.06938737,0.08592389,0.0,0.00006478,-0.00054362,0.00067318,0.0,0.83469493,-0.11385895,0.13039547,-0.00089204,0.0010216,1.0,147755,2025-03-18 05:45:59
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.00783462,,,,,,,,,,,,,,,148155,2025-03-18 05:45:59
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.00094361,,,,,,,,,,,,,,,6624,2025-03-18 05:45:28
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment,0.00207968,0.08896185,-0.1163931,0.29431679,0.0010382,0.00016981,-0.00022217,0.00056179,1.6e-6,0.39583883,-0.23399512,0.41191881,-0.00044665,0.00078627,1.0,37658,2025-03-18 05:45:55
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.00280471,,,,,,,,,,,,,,,3981222,2025-03-18 05:46:23
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.00464344,,,,,,,,,,,,,,,35488,2025-03-18 05:46:03
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.01294203,,,,,,,,,,,,,,,3749826,2025-03-18 05:45:59
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment,0.01296295,0.00163664,-0.00448492,0.00775821,0.00050843,0.00002118,-0.00005804,0.00010041,4.88e-6,0.60027132,-0.0079906,0.01126389,-0.00010341,0.00014578,1.0,3750235,2025-03-18 05:45:59
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment,0.00278816,-0.00590037,-0.02035894,0.0085582,-0.00143231,-0.00001655,-0.0000571,0.000024,-3.79e-6,0.42380462,-0.02863903,0.01683828,-0.00008032,0.00004723,1.0,3982355,2025-03-18 05:46:23
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment,0.06172822,-0.41569541,-0.80703102,-0.02435981,-0.00034685,-0.04383424,-0.08509978,-0.00256869,-0.00001522,0.03734543,-1.03113986,0.19974904,-0.10873161,0.02106313,0.39490241,232,2025-03-18 05:45:22
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment,0.00151479,0.08245045,-0.17194066,0.33684156,0.00336535,0.00011733,-0.00024467,0.00047933,5.8e-6,0.5252706,-0.31762456,0.48252547,-0.00045198,0.00068663,1.0,84758,2025-03-18 05:45:28
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.0019088,,,,,,,,,,,,,,,37273,2025-03-18 05:45:55
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.10544797,,,,,,,,,,,,,,,246,2025-03-18 05:45:22
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.001423,,,,,,,,,,,,,,,83930,2025-03-18 05:45:28
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment,0.00476996,0.02777074,-0.08715821,0.14269969,0.00017028,0.00012895,-0.00040471,0.00066262,1.2e-6,0.63578952,-0.15297536,0.20851684,-0.00071033,0.00096823,1.0,35750,2025-03-18 05:46:03
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_create_address,,control,0.01657223,,,,,,,,,,,,,,,381748,2025-03-18 05:45:59
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_create_address,,control,0.00069444,,,,,,,,,,,,,,,454843,2025-03-18 05:46:23
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_create_address,,control,0.00099355,,,,,,,,,,,,,,,4703,2025-03-18 05:45:28
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_create_address,,treatment,0.00064099,-0.07708537,-0.3636084,0.20943765,0.0,-0.00005353,-0.0002525,0.00014544,0.0,0.59798293,-0.52769351,0.37352276,-0.00036645,0.00025939,1.0,452659,2025-03-18 05:46:23
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_create_address,,treatment,0.00036432,-0.6288209,-1.58706618,0.32942438,0.0,-0.00062476,-0.00157683,0.0003273,0.0,0.19838375,-2.13583107,0.87818928,-0.00212205,0.00087252,1.0,4668,2025-03-18 05:45:28
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_create_address,,treatment,0.01656356,-0.00111935,-0.03914476,0.03690607,0.0,-0.00001855,-0.00064872,0.00061162,0.0,0.95399151,-0.06092104,0.05868234,-0.0010096,0.0009725,1.0,379414,2025-03-18 05:45:59
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_create_address,,treatment,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,9,2025-03-18 05:45:55
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_create_address,,control,0.0,,,,,,,,,,,,,,,9,2025-03-18 05:45:55
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_delete_cart,,treatment,0.0174236,0.2049095,0.02357788,0.38624112,0.00087008,0.00296385,0.00034104,0.00558667,6.12e-6,0.02677305,-0.08026655,0.49008554,-0.00116099,0.0070887,0.31429105,18867,2025-03-18 05:46:03
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_delete_cart,,treatment,0.0008494,-0.02686916,-0.06064127,0.00690295,-0.00052149,-0.00002345,-0.00005293,6.03e-6,-1.38e-6,0.11891327,-0.07998178,0.02624346,-0.00006981,0.00002291,0.84542861,2617248,2025-03-18 05:46:23
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_delete_cart,,control,0.01020417,,,,,,,,,,,,,,,137,2025-03-18 05:45:22
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_delete_cart,,control,0.00433081,,,,,,,,,,,,,,,2341383,2025-03-18 05:45:59
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_delete_cart,,control,0.00087283,,,,,,,,,,,,,,,2617381,2025-03-18 05:46:23
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_delete_cart,,treatment,0.00102953,-0.03454289,-0.48529188,0.4162061,0.0,-0.00003677,-0.00051654,0.00044301,0.0,0.88060625,-0.74342539,0.67433961,-0.0007913,0.00071776,1.0,32018,2025-03-18 05:45:28
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_delete_cart,,treatment,0.00431707,-0.00320132,-0.02031823,0.0139156,0.0,-0.00001386,-0.00008799,0.00006027,0.0,0.71394347,-0.03012069,0.02371806,-0.00013045,0.00010272,1.0,2340923,2025-03-18 05:45:59
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_delete_cart,,treatment,0.00039154,0.18512125,-0.62528193,0.99552443,0.0,0.0000612,-0.0002067,0.0003291,0.0,0.65435772,-1.08938107,1.45962357,-0.00036013,0.00048252,1.0,21022,2025-03-18 05:45:55
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_delete_cart,,control,0.0010644,,,,,,,,,,,,,,,32015,2025-03-18 05:45:28
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_delete_cart,,control,0.01446421,,,,,,,,,,,,,,,18707,2025-03-18 05:46:03
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_delete_cart,,control,0.00033058,,,,,,,,,,,,,,,20841,2025-03-18 05:45:55
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_delete_cart,,treatment,0.01185783,0.09844332,-2.43443878,2.63132541,0.0,0.00100453,-0.02484143,0.0268505,0.0,0.93927891,-3.88496174,4.08184837,-0.03964282,0.04165188,1.0,131,2025-03-18 05:45:22
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_place_order,,treatment,0.00200467,-0.02092129,-0.29906062,0.25721805,0.0,-0.00004273,-0.00061087,0.0005254,0.0,0.88279579,-0.45834458,0.416502,-0.00093623,0.00085076,1.0,79437,2025-03-18 05:45:28
