"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.004148","6,598,553","0.004105","6,595,342","-0.000043","[-0.000112, +0.000026]","-0.010398","[-2.7073%, +0.6278%]","0.221674","-","","",""
"active_share_7d","Metric","N/A","","mean","0.556509","6,598,553","0.557011","6,595,342","0.000552","[+0.000048, +0.001055]","0.000992","[+0.0087%, +0.1896%]","0.031671","Significant","","",""
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","1.405184","6,598,553","1.404890","6,595,342","0.001015","[-0.003484, +0.005513]","0.000722","[-0.2479%, +0.3924%]","0.658393","-","0.367135","0.000265","0.000426"
"ads_revenue","Metric","N/A","","mean","1.042990","6,598,553","1.042821","6,595,342","0.000772","[-0.002136, +0.003679]","0.000740","[-0.2048%, +0.3528%]","0.602863","-","0.342016","0.000253","0.000223"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.000000","6,587,087","0.000000","6,583,838","0.000000","[0, 0]","","[]","1.000000","-","0.000000","0.000000","0.000000"
"ad_product_bn","Dimension","ads_revenue","","mean","0.084582","6,587,087","0.086528","6,583,838","0.001661","[-0.001142, +0.004463]","0.019632","[-1.3498%, +5.2763%]","0.245466","-","0.028212","0.000554","0.000582"
"ad_product_pm","Dimension","ads_revenue","","mean","0.144637","6,587,087","0.144510","6,583,838","-0.000095","[-0.00062, +0.00043]","-0.000657","[-0.4284%, +0.297%]","0.722624","-","0.048244","-0.000032","-0.000033"
"ad_product_sb","Dimension","ads_revenue","","mean","0.021692","6,587,087","0.021505","6,583,838","-0.000231","[-0.000555, +0.000093]","-0.010639","[-2.5565%, +0.4286%]","0.162386","-","0.007235","-0.000077","-0.000081"
"ad_product_sl","Dimension","ads_revenue","","mean","0.735631","6,587,087","0.735572","6,583,838","0.000729","[-0.00174, +0.003199]","0.000992","[-0.2366%, +0.4349%]","0.562692","-","0.245369","0.000243","0.000256"
"ad_product_sp","Dimension","ads_revenue","","mean","0.084798","6,587,087","0.085041","6,583,838","0.000244","[-0.000484, +0.000972]","0.002875","[-0.571%, +1.1461%]","0.511582","-","0.028284","0.000081","0.000085"
"avg_dat_mins","Metric","N/A","","mean","1221.451056","5,044,547","1220.767584","5,042,981","-0.646348","[-1.180741, -0.111956]","-0.000529","[-0.0967%, -0.0092%]","0.017760","Significant","0.380441","-0.000207","-0.246078"
"cng_avg_gov","Metric","N/A","","mean","41.329581","1,841,269","41.338746","1,843,078","0.009320","[-0.07033, +0.08897]","0.000225","[-0.1702%, +0.2153%]","0.818613","-","0.578057","0.000131","0.005388"
