"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.005978","1,671,033","0.006090","1,670,655","0.000111","[-0.000055, +0.000277]","0.018642","[-0.9135%, +4.6419%]","0.188376","-","","",""
"active_share_7d","Metric","N/A","","mean","0.854984","1,671,033","0.855360","1,670,655","0.000326","[-0.000413, +0.001064]","0.000381","[-0.0483%, +0.1245%]","0.387455","-","","",""
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","5.921677","1,671,033","5.942170","1,670,655","0.021116","[-0.005224, +0.047455]","0.003566","[-0.0882%, +0.8014%]","0.116130","-","0.062430","0.000223","0.000858"
"ads_revenue","Metric","N/A","","mean","3.134554","1,671,033","3.142447","1,670,655","0.007038","[-0.006454, +0.02053]","0.002245","[-0.2059%, +0.655%]","0.306590","-","0.060967","0.000137","0.000246"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.142660","1,669,019","0.142589","1,668,554","-0.000012","[-0.000616, +0.000593]","-0.000084","[-0.4321%, +0.4154%]","0.969146","-","0.002785","0.000000","0.000000"
"ad_product_pm","Dimension","ads_revenue","","mean","0.364398","1,669,019","0.365735","1,668,554","0.001224","[-0.000836, +0.003283]","0.003358","[-0.2294%, +0.901%]","0.244203","-","0.007113","0.000024","0.000043"
"ad_product_sb","Dimension","ads_revenue","","mean","0.050297","1,669,019","0.050594","1,668,554","-0.000076","[-0.000777, +0.000625]","-0.001520","[-1.5457%, +1.2418%]","0.830753","-","0.000982","-0.000001","-0.000003"
"ad_product_sl","Dimension","ads_revenue","","mean","2.183184","1,669,019","2.187199","1,668,554","0.004468","[-0.006437, +0.015373]","0.002047","[-0.2948%, +0.7041%]","0.421933","-","0.042614","0.000087","0.000157"
"ad_product_sp","Dimension","ads_revenue","","mean","0.349599","1,669,019","0.351713","1,668,554","0.002086","[-0.00125, +0.005423]","0.005968","[-0.3576%, +1.5512%]","0.220360","-","0.006824","0.000041","0.000073"
"avg_dat_mins","Metric","N/A","","mean","1210.495561","1,605,377","1211.155557","1,604,751","0.656538","[-0.278801, +1.591877]","0.000542","[-0.023%, +0.1315%]","0.168900","-","0.073295","0.000040","0.048235"
"cng_order_rate_nc","Metric","N/A","","mean","1.555832","1,671,033","1.560181","1,670,655","0.005584","[-0.000159, +0.011327]","0.003589","[-0.0102%, +0.7281%]","0.056685","-","0.117744","0.000423","0.001368"
"consumer_mto","Metric","N/A","","mean","0.123139","1,671,033","0.122489","1,670,655","-0.000807","[-0.002366, +0.000751]","-0.006556","[-1.9214%, +0.6102%]","0.310044","-","0.083031","-0.000544","-0.000588"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","10.729783","1,628,252","10.739990","1,628,412","0.003383","[-0.017246, +0.024013]","0.000315","[-0.1607%, +0.2238%]","0.747870","-","0.061835","0.000023","0.000209"
"consumers_mau","Metric","N/A","","mean","0.974398","1,671,033","0.974715","1,670,655","0.000337","[+0.000002, +0.000672]","0.000346","[+0.0002%, +0.0689%]","0.048584","Significant","0.061825","0.000021","0.000009"
"core_quality_hqdr","Metric","N/A","","mean","0.919617","1,667,434","0.919536","1,666,934","-0.000094","[-0.000373, +0.000185]","-0.000102","[-0.0406%, +0.0201%]","0.508143","-","0.082045","-0.000008","-0.000008"
"cx_app_quality_action_load_latency_ios","Metric","N/A","","mean","0.012124","1,539,441","0.012098","1,540,152","-0.000024","[-0.000105, +0.000058]","-0.001942","[-0.8691%, +0.4807%]","0.572775","-","0.080198","-0.000167","-0.000002"
