"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.005982","1,669,066","0.006095","1,668,596","0.000113","[-0.000054, +0.000279]","0.018809","[-0.8978%, +4.6595%]","0.184608","-","","",""
"active_share_7d","Metric","N/A","","mean","0.875122","1,371,325","0.875180","1,370,406","0.000022","[-0.000742, +0.000786]","0.000025","[-0.0847%, +0.0898%]","0.954828","-","","",""
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","6.634942","1,669,019","6.655715","1,668,554","0.021641","[-0.00735, +0.050633]","0.003262","[-0.1108%, +0.7631%]","0.143454","-","0.061480","0.000201","0.000834"
"ads_revenue","Metric","N/A","","mean","3.090136","1,669,019","3.097831","1,668,554","0.006864","[-0.006504, +0.020231]","0.002221","[-0.2105%, +0.6547%]","0.314247","-","0.060317","0.000134","0.000241"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.142660","1,669,019","0.142589","1,668,554","-0.000012","[-0.000616, +0.000593]","-0.000084","[-0.4321%, +0.4154%]","0.969146","-","0.002785","0.000000","0.000000"
"ad_product_pm","Dimension","ads_revenue","","mean","0.364398","1,669,019","0.365735","1,668,554","0.001224","[-0.000836, +0.003283]","0.003358","[-0.2294%, +0.901%]","0.244203","-","0.007113","0.000024","0.000043"
"ad_product_sb","Dimension","ads_revenue","","mean","0.050297","1,669,019","0.050594","1,668,554","-0.000076","[-0.000777, +0.000625]","-0.001520","[-1.5457%, +1.2418%]","0.830753","-","0.000982","-0.000001","-0.000003"
"ad_product_sl","Dimension","ads_revenue","","mean","2.183184","1,669,019","2.187199","1,668,554","0.004468","[-0.006437, +0.015373]","0.002047","[-0.2948%, +0.7041%]","0.421933","-","0.042614","0.000087","0.000157"
"ad_product_sp","Dimension","ads_revenue","","mean","0.349599","1,669,019","0.351713","1,668,554","0.002086","[-0.00125, +0.005423]","0.005968","[-0.3576%, +1.5512%]","0.220360","-","0.006824","0.000041","0.000073"
"avg_dat_mins","Metric","N/A","","mean","1210.625284","1,603,649","1211.254349","1,602,888","0.627250","[-0.308635, +1.563136]","0.000518","[-0.0255%, +0.1291%]","0.188978","-","0.073244","0.000038","0.046050"
"cng_order_rate_nc","Metric","N/A","","mean","1.489996","1,669,019","1.493542","1,668,554","0.004671","[-0.000872, +0.010213]","0.003135","[-0.0585%, +0.6855%]","0.098617","-","0.119148","0.000373","0.001180"
"consumer_mto","Metric","N/A","","mean","0.117049","1,669,066","0.116365","1,668,596","-0.000844","[-0.002395, +0.000708]","-0.007207","[-2.0459%, +0.6045%]","0.286493","-","0.082221","-0.000593","-0.000635"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","10.731258","1,626,329","10.741387","1,626,395","0.002965","[-0.01768, +0.02361]","0.000276","[-0.1647%, +0.22%]","0.778315","-","0.061760","0.000020","0.000183"
"consumers_mau","Metric","N/A","","mean","0.974395","1,669,066","0.974709","1,668,596","0.000335","[0, +0.00067]","0.000344","[0%, +0.0688%]","0.050016","-","0.061751","0.000021","0.000009"
"core_quality_hqdr","Metric","N/A","","mean","0.917839","1,666,032","0.917767","1,665,484","-0.000085","[-0.000368, +0.000198]","-0.000093","[-0.0401%, +0.0216%]","0.556428","-","0.082093","-0.000007","-0.000007"
