"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.010462","1,644,443","0.010301","1,647,759","-0.000161","[-0.00038, +0.000058]","-0.015406","[-3.6337%, +0.5524%]","0.149114","-","","",""
"active_share_7d","Metric","N/A","","mean","0.874831","1,644,443","0.874545","1,647,759","-0.000245","[-0.000944, +0.000453]","-0.000280","[-0.1079%, +0.0518%]","0.491050","-","","",""
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","10.280941","1,644,443","10.269710","1,647,759","-0.014134","[-0.052372, +0.024105]","-0.001375","[-0.5094%, +0.2345%]","0.468800","-","0.093783","-0.000129","-0.000524"
"ads_revenue","Metric","N/A","","mean","5.373085","1,644,443","5.378487","1,647,759","0.004166","[-0.014652, +0.022984]","0.000775","[-0.2727%, +0.4278%]","0.664340","-","0.098947","0.000077","0.000141"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.267230","1,642,912","0.267628","1,646,190","0.000411","[-0.00043, +0.001252]","0.001538","[-0.1608%, +0.4684%]","0.337947","-","0.004929","0.000008","0.000014"
"ad_product_pm","Dimension","ads_revenue","","mean","0.613225","1,642,912","0.612936","1,646,190","-0.000130","[-0.002998, +0.002737]","-0.000213","[-0.4889%, +0.4464%]","0.929028","-","0.011312","-0.000002","-0.000004"
"ad_product_sb","Dimension","ads_revenue","","mean","0.065570","1,642,912","0.065966","1,646,190","0.000083","[-0.000796, +0.000961]","0.001261","[-1.2134%, +1.4655%]","0.853649","-","0.001210","0.000002","0.000003"
"ad_product_sl","Dimension","ads_revenue","","mean","3.901315","1,642,912","3.901495","1,646,190","-0.004327","[-0.020178, +0.011523]","-0.001109","[-0.5172%, +0.2954%]","0.592581","-","0.071966","-0.000080","-0.000147"
"ad_product_sp","Dimension","ads_revenue","","mean","0.501126","1,642,912","0.505758","1,646,190","0.004423","[-0.000057, +0.008903]","0.008827","[-0.0113%, +1.7766%]","0.052969","-","0.009244","0.000082","0.000150"
"avg_dat_mins","Metric","N/A","","mean","1193.737981","1,608,449","1193.890096","1,611,832","0.137641","[-0.690111, +0.965393]","0.000115","[-0.0578%, +0.0809%]","0.744494","-","0.104714","0.000012","0.014422"
