"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.010467","1,642,912","0.010306","1,646,190","-0.000161","[-0.00038, +0.000058]","-0.015397","[-3.6332%, +0.5539%]","0.149458","-","","",""
"active_share_7d","Metric","N/A","","mean","0.875277","1,628,130","0.874964","1,631,355","-0.000273","[-0.000974, +0.000427]","-0.000312","[-0.1113%, +0.0488%]","0.444652","-","","",""
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","10.298696","1,642,872","10.287177","1,646,134","-0.014006","[-0.052292, +0.02428]","-0.001360","[-0.5078%, +0.2358%]","0.473367","-","0.093777","-0.000128","-0.000520"
"ads_revenue","Metric","N/A","","mean","5.348467","1,642,912","5.353780","1,646,190","0.003976","[-0.014769, +0.022722]","0.000743","[-0.2761%, +0.4248%]","0.677607","-","0.098661","0.000073","0.000135"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.267230","1,642,912","0.267628","1,646,190","0.000411","[-0.00043, +0.001252]","0.001538","[-0.1608%, +0.4684%]","0.337947","-","0.004929","0.000008","0.000014"
"ad_product_pm","Dimension","ads_revenue","","mean","0.613225","1,642,912","0.612936","1,646,190","-0.000130","[-0.002998, +0.002737]","-0.000213","[-0.4889%, +0.4464%]","0.929028","-","0.011312","-0.000002","-0.000004"
"ad_product_sb","Dimension","ads_revenue","","mean","0.065570","1,642,912","0.065966","1,646,190","0.000083","[-0.000796, +0.000961]","0.001261","[-1.2134%, +1.4655%]","0.853649","-","0.001210","0.000002","0.000003"
"ad_product_sl","Dimension","ads_revenue","","mean","3.901315","1,642,912","3.901495","1,646,190","-0.004327","[-0.020178, +0.011523]","-0.001109","[-0.5172%, +0.2954%]","0.592581","-","0.071966","-0.000080","-0.000147"
"ad_product_sp","Dimension","ads_revenue","","mean","0.501126","1,642,912","0.505758","1,646,190","0.004423","[-0.000057, +0.008903]","0.008827","[-0.0113%, +1.7766%]","0.052969","-","0.009244","0.000082","0.000150"
"avg_dat_mins","Metric","N/A","","mean","1193.871156","1,606,997","1194.006682","1,610,339","0.123607","[-0.704484, +0.951698]","0.000104","[-0.059%, +0.0797%]","0.769859","-","0.104647","0.000011","0.012944"
"cng_order_rate_nc","Metric","N/A","","mean","1.696303","1,642,872","1.697726","1,646,134","0.003147","[-0.003586, +0.009879]","0.001855","[-0.2114%, +0.5824%]","0.359645","-","0.127204","0.000236","0.000756"
"consumer_mto","Metric","N/A","","mean","0.166304","1,642,912","0.168334","1,646,190","0.001288","[-0.000858, +0.003435]","0.007748","[-0.5157%, +2.0652%]","0.239305","-","0.110332","0.000855","0.000937"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","10.794347","1,561,640","10.803935","1,564,071","0.014293","[-0.006172, +0.034759]","0.001324","[-0.0572%, +0.322%]","0.171046","-","0.058794","0.000091","0.000840"
"consumers_mau","Metric","N/A","","mean","0.950532","1,642,912","0.950116","1,646,190","-0.000439","[-0.000901, +0.000023]","-0.000462","[-0.0948%, +0.0024%]","0.062583","-","0.058806","-0.000027","-0.000012"
"consumer_is_dashpass_0","Dimension","consumers_mau","","mean","0.909502","600,256","0.907862","600,612","-0.001667","[-0.002685, -0.000649]","-0.001833","[-0.2952%, -0.0713%]","0.001332","Significant","0.020544","-0.000038","-0.000016"
"consumer_is_dashpass_1","Dimension","consumers_mau","","mean","0.974231","1,042,227","0.974453","1,045,144","0.000221","[-0.000204, +0.000647]","0.000227","[-0.021%, +0.0664%]","0.308462","-","0.038251","0.000009","0.000004"
"consumer_is_dashpass_NULL","Dimension","consumers_mau","","mean","0.783217","429","0.815668","434","0.032451","[-0.021008, +0.08591]","0.041433","[-2.6822%, +10.9688%]","0.234141","-","0.000013","0.000000","0.000000"
"dbd_cx_segment_NULL","Dimension","consumers_mau","","mean","0.891003","578","0.891680","637","0.000677","[-0.034394, +0.035748]","0.000760","[-3.8601%, +4.0121%]","0.969819","-","0.000020","0.000000","0.000000"
"dbd_cx_segment_did_not_purchase_l180d","Dimension","consumers_mau","","mean","0.921847","772,881","0.920950","773,535","-0.000949","[-0.001791, -0.000107]","-0.001030","[-0.1943%, -0.0116%]","0.027189","Significant","0.026814","-0.000028","-0.000012"
"dbd_cx_segment_existing_purchased_l120d","Dimension","consumers_mau","","mean","0.974365","151,472","0.974283","151,572","-0.000084","[-0.00121, +0.001042]","-0.000086","[-0.1242%, +0.107%]","0.884037","-","0.005554","0.000000","0.000000"
"dbd_cx_segment_existing_purchased_l180d","Dimension","consumers_mau","","mean","0.968346","158,307","0.968490","158,267","0.000168","[-0.00105, +0.001386]","0.000174","[-0.1084%, +0.1431%]","0.786581","-","0.005766","0.000000","0.000000"
"dbd_cx_segment_existing_purchased_l30d","Dimension","consumers_mau","","mean","0.966941","1,153,315","0.966756","1,155,577","-0.000203","[-0.000663, +0.000257]","-0.000210","[-0.0685%, +0.0266%]","0.388015","-","0.041993","-0.000009","-0.000004"
"dbd_cx_segment_existing_purchased_l60d","Dimension","consumers_mau","","mean","0.969364","493,996","0.968942","495,468","-0.000408","[-0.001089, +0.000273]","-0.000421","[-0.1124%, +0.0281%]","0.239885","-","0.018041","-0.000008","-0.000003"
"dbd_cx_segment_existing_purchased_l90d","Dimension","consumers_mau","","mean","0.978031","222,541","0.977613","223,660","-0.000419","[-0.001283, +0.000446]","-0.000428","[-0.1311%, +0.0456%]","0.342414","-","0.008208","-0.000004","-0.000002"
"dashpass_paid_balance","Metric","N/A","","mean","0.536485","1,642,912","0.537053","1,646,190","0.000497","[-0.000122, +0.001116]","0.000926","[-0.0228%, +0.208%]","0.115795","-","0.088821","0.000082","0.000038"
"dashpass_signup","Metric","N/A","","mean","0.050302","1,642,912","0.050433","1,646,190","0.000131","[-0.000359, +0.00062]","0.002602","[-0.7128%, +1.2332%]","0.600158","-","0.038760","0.000101","0.000099"
