Metric Name,Desired Direction,Dimension Name,Dimension Value,Label,Variant Name,Metric Value,Metric Impact Relative,Metric Impact Relative Lower Bound,Metric Impact Relative Upper Bound,Metric Impact Relative Global Lift,Metric Impact Absolute,Metric Impact Absolute Lower Bound,Metric Impact Absolute Upper Bound,Metric Impact Absolute Global Lift,P Value,Metric Impact Relative Sequential Lower Bound,Metric Impact Relative Sequential Upper Bound,Metric Impact Absolute Sequential Lower Bound,Metric Impact Absolute Sequential Upper Bound,P Value Sequential,Participating Units,Analyzed At
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.8,,,,,,,,,,,,,,,5,2025-09-22 06:35:29
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.04702638,,,,,,,,,,,,,,,156825,2025-09-22 06:35:29
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,Treatment B,0.01777927,0.39728932,0.0730122,0.72156643,0.00024467,0.00503006,0.0009244,0.00913572,8.1e-6,0.01633885,-0.1126938,0.90727243,-0.00142681,0.01148693,0.22275217,6540,2025-09-22 06:35:29
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,Treatment B,0.04662146,-0.03805892,-0.08624364,0.0101258,-0.00103697,-0.00184443,-0.00417958,0.00049072,-3.14e-6,0.12160152,-0.11383792,0.03772008,-0.00551687,0.00182801,0.8573496,185957,2025-09-22 06:35:29
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.01266095,,,,,,,,,,,,,,,6627,2025-09-22 06:35:29
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,Treatment A,0.01684962,0.33543218,0.04758548,0.62327888,0.00021617,0.00424689,0.00060248,0.0078913,7.16e-6,0.02237294,-0.11725767,0.78812202,-0.00148459,0.00997837,0.27750959,10634,2025-09-22 06:35:29
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.00055716,,,,,,,,,,,,,,,7806,2025-09-22 06:35:29
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,Treatment A,0.04187119,-0.13521928,-0.17600979,-0.09442877,-0.00376476,-0.00655306,-0.00852987,-0.00457625,-0.00001141,0.0,-0.19936957,-0.07106898,-0.00966194,-0.00344418,1e-7,368158,2025-09-22 06:35:29
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,Treatment B,0.04607378,-0.02075631,-0.05051559,0.00900298,-0.00010026,-0.00097609,-0.00237557,0.00042338,-1.14e-6,0.17161827,-0.06755805,0.02604543,-0.00317701,0.00122482,1.0,151723,2025-09-22 06:35:29
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.04846248,,,,,,,,,,,,,,,192382,2025-09-22 06:35:29
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,Treatment B,0.00048481,-0.13516396,-1.49867139,1.22834347,0.0,-0.00007531,-0.000835,0.00068438,0.0,0.84594845,-2.27952053,2.00919261,-0.00127005,0.00111944,1.0,7675,2025-09-22 06:35:29
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,Treatment A,0.00044898,-0.18940088,-1.48074858,1.10194683,0.0,-0.00010553,-0.00082501,0.00061396,0.0,0.77375533,-2.22027352,1.84147177,-0.00123704,0.00102599,1.0,12592,2025-09-22 06:35:29
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_payment_method,,Treatment A,0.75,-0.0625,-0.84686831,0.72186831,0.0,-0.05,-0.67749464,0.57749464,0.0,0.87589606,-1.29605788,1.17105788,-1.0368463,0.9368463,1.0,4,2025-09-22 06:35:29
