"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","Treatment A Value","Treatment A Exposure Volume","Treatment A Absolute Impact","Treatment A Absolute Impact Confidence Interval","Treatment A Relative Impact","Treatment A Relative Impact Confidence Interval","Treatment A P Value","Treatment A Significance","Treatment A Coverage","Treatment A Relative Global Lift","Treatment A Absolute Global Lift","Treatment B Value","Treatment B Exposure Volume","Treatment B Absolute Impact","Treatment B Absolute Impact Confidence Interval","Treatment B Relative Impact","Treatment B Relative Impact Confidence Interval","Treatment B P Value","Treatment B Significance","Treatment B Coverage","Treatment B Relative Global Lift","Treatment B Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.005133","6,972,158","0.005104","6,764,391","-0.000030","[-0.000105, +0.000046]","-0.005746","[-2.0449%, +0.8956%]","0.443665","-","","","","0.005118","6,761,916","-0.000014","[-0.00009, +0.000061]","-0.002800","[-1.7514%, +1.1913%]","0.709125","-","","",""
"active_share_7d","Metric","N/A","","mean","0.530247","6,972,158","0.530399","6,764,391","0.000210","[-0.000288, +0.000708]","0.000396","[-0.0543%, +0.1335%]","0.408274","-","","","","0.530695","6,761,916","0.000382","[-0.000116, +0.00088]","0.000720","[-0.0219%, +0.1659%]","0.132659","-","","",""
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","4.085531","6,972,158","4.089357","6,764,391","0.003841","[-0.004711, +0.012392]","0.000940","[-0.1153%, +0.3033%]","0.378759","-","0.579337","0.000545","0.001570","4.088757","6,761,916","0.001975","[-0.00657, +0.01052]","0.000483","[-0.1608%, +0.2575%]","0.650557","-","0.579337","0.000280","0.000807"
"ads_revenue","Metric","N/A","","mean","1.797545","6,972,158","1.796857","6,764,391","0.000052","[-0.004052, +0.004156]","0.000029","[-0.2254%, +0.2312%]","0.980132","-","0.463137","0.000013","0.000018","1.797437","6,761,916","-0.000331","[-0.004436, +0.003773]","-0.000184","[-0.2468%, +0.2099%]","0.874225","-","0.463137","-0.000085","-0.000112"
"avg_dat_mins","Metric","N/A","","mean","1215.654854","6,816,265","1215.448614","6,612,740","-0.232517","[-0.737528, +0.272494]","-0.000191","[-0.0607%, +0.0224%]","0.366841","-","0.540233","-0.000104","-0.125591","1215.512668","6,610,954","-0.144103","[-0.648982, +0.360776]","-0.000119","[-0.0534%, +0.0297%]","0.575879","-","0.540233","-0.000064","-0.077859"
"cng_order_rate_nc","Metric","N/A","","mean","0.584789","6,972,158","0.583442","6,764,391","-0.000445","[-0.001827, +0.000937]","-0.000761","[-0.3125%, +0.1603%]","0.528105","-","0.589785","-0.000449","-0.001037","0.584854","6,761,916","0.000493","[-0.00089, +0.001875]","0.000843","[-0.1521%, +0.3207%]","0.484763","-","0.589785","0.000497","0.001149"
"consumer_mto","Metric","N/A","","mean","0.048638","6,972,158","0.048718","6,764,391","0.000080","[-0.000316, +0.000477]","0.001647","[-0.6506%, +0.9801%]","0.692104","-","0.433194","0.000714","0.000709","0.048622","6,761,916","-0.000047","[-0.000443, +0.00035]","-0.000961","[-0.9117%, +0.7195%]","0.817331","-","0.433194","-0.000416","-0.000414"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","5.612115","6,807,593","5.609442","6,603,979","-0.004616","[-0.011287, +0.002056]","-0.000822","[-0.2011%, +0.0366%]","0.175142","-","0.440455","-0.000291","-0.002033","5.613821","6,601,969","-0.000459","[-0.007136, +0.006217]","-0.000082","[-0.1271%, +0.1108%]","0.892701","-","0.440455","-0.000029","-0.000202"
"consumers_mau","Metric","N/A","","mean","0.976397","6,972,158","0.976286","6,764,391","-0.000102","[-0.000261, +0.000058]","-0.000104","[-0.0268%, +0.006%]","0.212807","-","0.440469","-0.000046","-0.000023","0.976346","6,761,916","-0.000043","[-0.000202, +0.000117]","-0.000044","[-0.0207%, +0.012%]","0.600716","-","0.440469","-0.000019","-0.000010"
"core_quality_cancellation","Metric","N/A","","mean","0.016392","6,936,437","0.016450","6,729,742","0.000057","[-0.000019, +0.000134]","0.003482","[-0.1185%, +0.8148%]","0.143637","-","0.600627","0.002105","0.000034","0.016433","6,727,088","0.000041","[-0.000036, +0.000117]","0.002481","[-0.218%, +0.7143%]","0.296774","-","0.600627","0.001501","0.000024"
"cx_app_quality_action_load_latency_android","Metric","N/A","","mean","0.005957","41,035","0.006090","39,736","0.000159","[-0.000273, +0.000591]","0.026641","[-4.5842%, +9.9123%]","0.471294","-","0.020198","0.000437","0.000003","0.005909","39,545","-0.000036","[-0.000461, +0.000388]","-0.006120","[-7.731%, +6.507%]","0.866194","-","0.020198","0.000000","0.000000"
"action_dimension_cx_add_payment_method","Dimension","cx_app_quality_action_load_latency_android","","mean","0.800000","5","0.750000","4","-0.050000","[-0.677495, +0.577495]","-0.062500","[-84.6868%, +72.1868%]","0.875896","-","0.000000","0.000000","0.000000","1.000000","4","0.200000","[-0.191993, +0.591993]","0.250000","[-23.9991%, +73.9991%]","0.317311","-","0.000000","0.000000","0.000000"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.004978","25,783","0.004720","42,770","-0.000542","[-0.001097, +0.000012]","-0.108919","[-22.0341%, +0.2502%]","0.055371","-","0.008046","-0.000668","-0.000005","0.004813","24,861","-0.000195","[-0.000803, +0.000414]","-0.039107","[-16.128%, +8.3066%]","0.530413","-","0.008046","-0.000214","-0.000002"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.017390","15,738","0.018000","26,590","0.000605","[-0.001133, +0.002343]","0.034801","[-6.5125%, +13.4727%]","0.494864","-","0.001850","0.000162","0.000001","0.018644","15,112","0.001255","[-0.000736, +0.003247]","0.072187","[-4.2326%, +18.67%]","0.216634","-","0.001850","0.000315","0.000002"
"action_dimension_cx_place_order","Dimension","cx_app_quality_action_load_latency_android","","mean","0.004010","23,581","0.003334","39,438","-0.000591","[-0.001366, +0.000183]","-0.147488","[-34.0643%, +4.5666%]","0.134501","-","0.002491","-0.000225","-0.000002","0.003582","22,849","-0.000425","[-0.001379, +0.000528]","-0.106077","[-34.3945%, +13.1792%]","0.382096","-","0.002491","-0.000145","-0.000001"
"action_dimension_cx_set_address","Dimension","cx_app_quality_action_load_latency_android","","mean","0.307692","51","0.271605","77","-0.039587","[-0.201318, +0.122144]","-0.128659","[-65.4286%, +39.6968%]","0.631409","-","0.000001","0.000000","0.000000","0.166667","47","-0.141296","[-0.308231, +0.025639]","-0.459212","[-100.1752%, +8.3327%]","0.097128","-","0.000001","0.000000","0.000000"
"action_dimension_cx_set_payment_method","Dimension","cx_app_quality_action_load_latency_android","","mean","0.133334","72","0.134328","93","-0.000327","[-0.102502, +0.101848]","-0.002453","[-76.8764%, +76.3857%]","0.994993","-","0.000002","0.000000","0.000000","0.111111","44","-0.024581","[-0.138835, +0.089674]","-0.184355","[-104.126%, +67.255%]","0.673268","-","0.000002","0.000000","0.000000"
"action_dimension_cx_update_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.003716","14,048","0.003332","24,050","-0.000410","[-0.001239, +0.000419]","-0.110350","[-33.3491%, +11.279%]","0.332411","-","0.001518","0.000000","0.000000","0.003526","13,444","-0.000198","[-0.001218, +0.000822]","-0.053389","[-32.7848%, +22.107%]","0.703010","-","0.001518","0.000000","0.000000"
"cx_app_quality_action_load_latency_ios","Metric","N/A","","mean","0.010076","6,577,603","0.010063","6,382,339","-0.000011","[-0.000056, +0.000033]","-0.001123","[-0.5542%, +0.3296%]","0.618429","-","0.579269","-0.000582","-0.000007","0.010068","6,379,979","-0.000009","[-0.000054, +0.000036]","-0.000875","[-0.5315%, +0.3564%]","0.699241","-","0.579269","-0.000453","-0.000005"
"action_dimension_cx_add_payment_method","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.047026","156,825","0.042420","295,134","-0.004119","[-0.005313, -0.002924]","-0.087582","[-11.2986%, -6.2178%]","0.000000","Significant","0.001165","-0.000439","-0.000005","0.046074","151,723","-0.000976","[-0.002376, +0.000423]","-0.020756","[-5.0516%, +0.9003%]","0.171618","-","0.001165","-0.000100","-0.000001"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.013626","2,928,776","0.013621","4,849,484","-0.000457","[-0.000531, -0.000383]","-0.033533","[-3.8964%, -2.8103%]","0.000000","Significant","0.162347","-0.008990","-0.000102","0.013632","2,840,556","0.000007","[-0.00008, +0.000093]","0.000494","[-0.5852%, +0.684%]","0.878634","-","0.162347","0.000096","0.000001"
"action_dimension_cx_create_address","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.024027","340,057","0.023261","578,675","-0.001319","[-0.002495, -0.000142]","-0.054881","[-10.3835%, -0.5926%]","0.028004","Significant","0.002439","-0.000291","-0.000003","0.022692","329,311","-0.001319","[-0.002541, -0.000097]","-0.054892","[-10.5766%, -0.4017%]","0.034453","Significant","0.002439","-0.000283","-0.000003"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.005276","1,804,014","0.005086","3,219,930","-0.000155","[-0.000231, -0.000079]","-0.029325","[-4.3733%, -1.4917%]","0.000066","Significant","0.044700","-0.000741","-0.000008","0.005255","1,749,631","-0.000022","[-0.000112, +0.000069]","-0.004112","[-2.1223%, +1.2999%]","0.637614","-","0.044700","0.000000","0.000000"
"action_dimension_cx_place_order","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.001588","4,542,652","0.001408","7,163,940","-0.000105","[-0.000143, -0.000066]","-0.065964","[-9.0082%, -4.1846%]","0.000000","Significant","0.068436","-0.000859","-0.000010","0.001571","4,404,296","-0.000018","[-0.000062, +0.000027]","-0.011017","[-3.9279%, +1.7245%]","0.444845","-","0.068436","-0.000105","-0.000001"
"action_dimension_cx_set_address","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.017900","616,165","0.017636","1,165,558","-0.000292","[-0.000732, +0.000147]","-0.016339","[-4.0866%, +0.8188%]","0.191679","-","0.007255","-0.000224","-0.000003","0.017933","597,260","0.000033","[-0.000467, +0.000533]","0.001837","[-2.6077%, +2.9752%]","0.897359","-","0.007255","0.000000","0.000000"
"action_dimension_cx_set_payment_method","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.011683","474,299","0.011342","965,378","-0.000325","[-0.000593, -0.000056]","-0.027794","[-5.0795%, -0.4793%]","0.017867","Significant","0.007108","-0.000259","-0.000003","0.011708","460,609","0.000025","[-0.00031, +0.000361]","0.002179","[-2.6575%, +3.0934%]","0.881912","-","0.007108","0.000000","0.000000"
