"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"dbd_attach_rate_post_checkout","Metric","N/A","","mean","0.049772","701,558","0.049771","702,072","0.000026","[-0.000377, +0.000429]","0.000529","[-0.7568%, +0.8626%]","0.898106","-","0.057556","0.000049","0.000002"
"dbd_attach_rate_pre_and_post","Metric","N/A","","mean","0.065070","701,558","0.065054","702,072","0.000080","[-0.000447, +0.000607]","0.001229","[-0.6865%, +0.9324%]","0.765969","-","0.057556","0.000111","0.000005"
"dbd_attach_rate_pre_checkout","Metric","N/A","","mean","0.015298","701,558","0.015283","702,072","0.000020","[-0.000292, +0.000331]","0.001293","[-1.9064%, +2.165%]","0.900911","-","0.057556","0.000108","0.000001"
"dbd_avg_o2_20_late","Metric","N/A","","mean","0.029074","178,463","0.029054","178,875","-0.000013","[-0.000865, +0.00084]","-0.000430","[-2.9757%, +2.8897%]","0.977081","-","0.090669","-0.000030","-0.000001"
"dbd_avg_o2_cancellations","Metric","N/A","","mean","0.021979","181,354","0.022336","181,799","0.000335","[-0.000409, +0.00108]","0.015262","[-1.861%, +4.9135%]","0.377165","-","0.090299","0.001161","0.000030"
"dbd_avg_o2_dx_cost","Metric","N/A","","mean","6.596284","181,367","6.590195","181,813","-0.002629","[-0.01915, +0.013892]","-0.000399","[-0.2903%, +0.2106%]","0.755107","-","0.090289","-0.000056","-0.000237"
"dbd_avg_o2_hqdr","Metric","N/A","","mean","0.928835","181,366","0.928591","181,813","-0.000385","[-0.001691, +0.000922]","-0.000414","[-0.1821%, +0.0992%]","0.563633","-","0.090289","-0.000038","-0.000035"
"dbd_avg_o2_mi","Metric","N/A","","mean","0.015459","178,476","0.015632","178,889","0.000196","[-0.000423, +0.000815]","0.012682","[-2.7385%, +5.2749%]","0.535015","-","0.090658","0.001140","0.000018"
"dbd_avg_o2_nd","Metric","N/A","","mean","0.002719","178,463","0.002776","178,875","0.000059","[-0.000199, +0.000317]","0.021708","[-7.3005%, +11.6421%]","0.653277","-","0.090669","0.001483","0.000005"
"dbd_avg_o2_package","Metric","N/A","","mean","0.717358","178,463","0.718922","178,875","0.001355","[-0.001174, +0.003885]","0.001889","[-0.1637%, +0.5415%]","0.293700","-","0.090668","0.000181","0.000123"
"dbd_avg_o2_sdb","Metric","N/A","","mean","0.677034","181,367","0.677469","181,813","-0.000004","[-0.002649, +0.002642]","-0.000005","[-0.3913%, +0.3902%]","0.997848","-","0.090289","0.000000","0.000000"
"dbd_bottom_sheet_load_latency_ios","Metric","N/A","","mean","0.343952","550,032","0.344083","550,158","0.000131","[-0.000914, +0.001177]","0.000382","[-0.2656%, +0.3421%]","0.805269","-","0.042538","0.000025","0.000006"
"dbd_cx_retrial","Metric","N/A","","mean","0.034598","749,239","0.035080","749,762","0.000444","[-0.000143, +0.00103]","0.012824","[-0.4123%, +2.9771%]","0.138031","-","0.070309","0.000902","0.000150"
"dbd_existing_attach_rate_post_checkout","Metric","N/A","","mean","0.053360","520,621","0.053363","521,429","0.000067","[-0.000385, +0.00052]","0.001260","[-0.7222%, +0.9742%]","0.770897","-","0.068669","0.000123","0.000005"
"dbd_funnel_time_to_purchase","Metric","N/A","","mean","4.809890","152,799","4.788104","153,071","-0.021602","[-0.049761, +0.006556]","-0.004491","[-1.0346%, +0.1363%]","0.132676","-","0.089958","-0.000416","-0.001944"
"dbd_new_attach_rate_post_checkout","Metric","N/A","","mean","0.026690","194,837","0.026622","194,450","-0.000043","[-0.000615, +0.000529]","-0.001623","[-2.3053%, +1.9807%]","0.881993","-","0.028190","-0.000092","-0.000001"
"dbd_nv_trials_net_new_per_cx","Metric","N/A","","mean","0.003745","749,239","0.003775","749,762","0.000027","[-0.000169, +0.000223]","0.007325","[-4.4993%, +5.9644%]","0.783764","-","0.056669","0.000415","0.000022"
"dbd_nv_trials_per_cx","Metric","N/A","","mean","0.009340","749,239","0.009386","749,762","0.000039","[-0.000269, +0.000348]","0.004200","[-2.8809%, +3.7209%]","0.803063","-","0.064300","0.000270","0.000032"
"dbd_nv_trials_retrial_per_cx","Metric","N/A","","mean","0.005595","749,239","0.005611","749,762","0.000012","[-0.000227, +0.000251]","0.002106","[-4.0605%, +4.4818%]","0.923007","-","0.070671","0.000149","0.000010"
"dbd_o2_aov","Metric","N/A","","mean","24.639989","178,925","24.590622","179,358","-0.039232","[-0.171484, +0.09302]","-0.001592","[-0.696%, +0.3775%]","0.560958","-","0.090745","-0.000168","-0.003550"
"dbd_o2_gmv","Metric","N/A","","mean","10.859220","749,239","10.823011","749,762","-0.002241","[-0.100872, +0.09639]","-0.000206","[-0.9289%, +0.8876%]","0.964481","-","0.105433","-0.000022","-0.000759"
"dbd_o2_subtotal","Metric","N/A","","mean","17.494679","178,925","17.435099","179,358","-0.046952","[-0.158549, +0.064645]","-0.002684","[-0.9063%, +0.3695%]","0.409589","-","0.090745","-0.000289","-0.004249"
"dbd_o2_trials_per_cx","Metric","N/A","","mean","0.029308","701,558","0.029181","702,072","-0.000149","[-0.000705, +0.000407]","-0.005086","[-2.4058%, +1.3885%]","0.599249","-","0.052303","-0.000266","-0.000006"
"dbd_o2_vp","Metric","N/A","","mean","-1.499365","178,925","-1.498922","179,358","-0.009295","[-0.041139, +0.02255]","-0.006199","[+2.7438%, -1.504%]","0.567278","-","0.090745","0.002347","-0.000841"
"dbd_o2_vp_per_cx","Metric","N/A","","mean","-0.660793","749,239","-0.659717","749,762","-0.001881","[-0.017384, +0.013622]","-0.002847","[+2.6308%, -2.0614%]","0.812011","-","0.379375","0.001080","-0.000637"
