"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"dbd_attach_rate_post_checkout","Metric","N/A","","mean","0.054788","688,684","0.054769","689,166","0.000005","[-0.000451, +0.000462]","0.000100","[-0.8227%, +0.8427%]","0.981267","-","0.057658","0.000000","0.000000"
"dbd_attach_rate_pre_and_post","Metric","N/A","","mean","0.070075","688,684","0.070150","689,166","0.000169","[-0.000407, +0.000745]","0.002410","[-0.5807%, +1.0626%]","0.565420","-","0.057658","0.000231","0.000010"
"dbd_attach_rate_pre_checkout","Metric","N/A","","mean","0.015287","688,684","0.015381","689,166","0.000131","[-0.000196, +0.000457]","0.008539","[-1.2801%, +2.9878%]","0.432886","-","0.057658","0.000715","0.000008"
"dbd_avg_o2_20_late","Metric","N/A","","mean","0.029809","154,348","0.030119","154,651","0.000320","[-0.000662, +0.001303]","0.010748","[-2.2219%, +4.3715%]","0.522815","-","0.096141","0.000786","0.000031"
"dbd_avg_o2_cancellations","Metric","N/A","","mean","0.023085","157,052","0.023811","157,480","0.000706","[-0.00016, +0.001572]","0.030569","[-0.6939%, +6.8076%]","0.110182","-","0.095722","0.002445","0.000067"
"dbd_avg_o2_dx_cost","Metric","N/A","","mean","6.445885","157,063","6.437561","157,492","-0.005394","[-0.022255, +0.011466]","-0.000837","[-0.3453%, +0.1779%]","0.530628","-","0.095713","-0.000122","-0.000516"
"dbd_avg_o2_hqdr","Metric","N/A","","mean","0.927823","157,063","0.926765","157,494","-0.001202","[-0.002692, +0.000289]","-0.001295","[-0.2901%, +0.0311%]","0.114042","-","0.095712","-0.000126","-0.000115"
"dbd_avg_o2_mi","Metric","N/A","","mean","0.014758","154,360","0.015032","154,665","0.000297","[-0.000395, +0.000989]","0.020128","[-2.6775%, +6.703%]","0.400292","-","0.096130","0.001883","0.000029"
"dbd_avg_o2_nd","Metric","N/A","","mean","0.002680","154,348","0.002791","154,651","0.000112","[-0.00018, +0.000405]","0.041947","[-6.727%, +15.1164%]","0.451594","-","0.096141","0.002959","0.000011"
"dbd_avg_o2_package","Metric","N/A","","mean","0.719203","154,340","0.721463","154,637","0.002056","[-0.000707, +0.004818]","0.002859","[-0.0982%, +0.67%]","0.144665","-","0.096140","0.000289","0.000197"
"dbd_avg_o2_sdb","Metric","N/A","","mean","0.676973","157,064","0.677814","157,494","0.000392","[-0.0025, +0.003284]","0.000579","[-0.3693%, +0.4851%]","0.790515","-","0.095711","0.000058","0.000037"
"dbd_bottom_sheet_load_latency_ios","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_cx_retrial","Metric","N/A","","mean","0.029243","748,650","0.029601","749,196","0.000326","[-0.000215, +0.000866]","0.011136","[-0.7352%, +2.9624%]","0.237762","-","0.081747","0.000910","0.000142"
"dbd_existing_attach_rate_post_checkout","Metric","N/A","","mean","0.058637","509,279","0.058608","510,011","0.000031","[-0.000484, +0.000546]","0.000532","[-0.8248%, +0.9312%]","0.905421","-","0.068127","0.000056","0.000002"
"dbd_funnel_time_to_purchase","Metric","N/A","","mean","4.849058","132,242","4.812128","132,649","-0.036550","[-0.067006, -0.006093]","-0.007537","[-1.3818%, -0.1257%]","0.018669","Significant","0.097013","-0.000748","-0.003539"
"dbd_new_attach_rate_post_checkout","Metric","N/A","","mean","0.031850","189,972","0.031785","189,555","-0.000037","[-0.000755, +0.000682]","-0.001150","[-2.3716%, +2.1415%]","0.920410","-","0.030081","-0.000079","-0.000001"
"dbd_nv_trials_net_new_per_cx","Metric","N/A","","mean","0.003449","748,650","0.003442","749,196","-0.000009","[-0.000197, +0.000178]","-0.002721","[-5.7137%, +5.1695%]","0.921925","-","0.068712","-0.000187","-0.000010"
"dbd_nv_trials_per_cx","Metric","N/A","","mean","0.008402","748,650","0.008433","749,196","0.000025","[-0.000268, +0.000317]","0.002957","[-3.1865%, +3.778%]","0.867803","-","0.076697","0.000227","0.000026"
"dbd_nv_trials_retrial_per_cx","Metric","N/A","","mean","0.004953","748,650","0.004991","749,196","0.000034","[-0.000191, +0.000259]","0.006909","[-3.8571%, +5.2388%]","0.765905","-","0.083452","0.000577","0.000036"
"dbd_o2_aov","Metric","N/A","","mean","24.864287","154,763","24.782979","155,064","-0.070966","[-0.210863, +0.068932]","-0.002854","[-0.8481%, +0.2772%]","0.320113","-","0.096235","-0.000319","-0.006822"
"dbd_o2_gmv","Metric","N/A","","mean","8.271887","748,650","8.245444","749,196","-0.002138","[-0.080025, +0.075748]","-0.000259","[-0.9674%, +0.9157%]","0.957086","-","0.111868","-0.000029","-0.000929"
"dbd_o2_subtotal","Metric","N/A","","mean","17.558309","154,763","17.475498","155,064","-0.068986","[-0.187467, +0.049495]","-0.003929","[-1.0677%, +0.2819%]","0.253788","-","0.096235","-0.000449","-0.006632"
"dbd_o2_trials_per_cx","Metric","N/A","","mean","0.026323","688,684","0.026198","689,166","-0.000148","[-0.000681, +0.000384]","-0.005639","[-2.5868%, +1.4591%]","0.584854","-","0.063487","-0.000358","-0.000006"
"dbd_o2_vp","Metric","N/A","","mean","-1.359276","154,763","-1.367077","155,064","-0.017257","[-0.052918, +0.018404]","-0.012696","[+3.8931%, -1.354%]","0.342900","-","0.096235","0.006701","-0.001659"
"dbd_o2_vp_per_cx","Metric","N/A","","mean","-0.452206","748,650","-0.454835","749,196","-0.004603","[-0.017291, +0.008086]","-0.010178","[+3.8237%, -1.7881%]","0.477105","-","0.528209","0.005376","-0.002000"
"dbd_o_2_trials_per_cx_post_checkout","Metric","N/A","","mean","0.023397","688,684","0.023257","689,166","-0.000160","[-0.000663, +0.000343]","-0.006834","[-2.8321%, +1.4653%]","0.533054","-","0.069438","-0.000475","-0.000007"
"dbd_o_2_trials_per_cx_pre_checkout","Metric","N/A","","mean","0.002926","688,684","0.002941","689,166","0.000012","[-0.000168, +0.000193]","0.004258","[-5.7454%, +6.597%]","0.892421","-","0.037674","0.000000","0.000000"
"dbd_order_frequency","Metric","N/A","","mean","1.609312","154,763","1.607478","155,064","0.006408","[-0.002769, +0.015585]","0.003982","[-0.1721%, +0.9684%]","0.171129","-","0.096235","0.000383","0.000576"
"dbd_order_frequency_14d","Metric","N/A","","mean","1.607208","99,088","1.607058","98,465","0.005279","[-0.005223, +0.015781]","0.003284","[-0.325%, +0.9819%]","0.324557","-","0.061285","0.000201","0.000303"
"dbd_order_frequency_28d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dbd_order_frequency_7d","Metric","N/A","","mean","1.276426","110,981","1.277248","111,330","0.004171","[-0.001394, +0.009736]","0.003267","[-0.1092%, +0.7627%]","0.141876","-","0.054772","0.000179","0.000269"
"dbd_order_rate","Metric","N/A","","mean","0.332681","748,650","0.332706","749,196","0.002210","[-0.000471, +0.004891]","0.006643","[-0.1415%, +1.47%]","0.106155","-","0.096182","0.000639","0.000960"
"dbd_order_rate_7d","Metric","N/A","","mean","0.196987","719,130","0.197600","719,617","0.001695","[+0.000033, +0.003356]","0.008603","[+0.0167%, +1.7039%]","0.045634","Significant","0.054709","0.000471","0.000707"
"doubledash_active_user","Metric","N/A","","mean","0.206720","748,650","0.206971","749,196","0.000716","[-0.000538, +0.00197]","0.003464","[-0.2605%, +0.9532%]","0.263268","-","0.089850","0.000311","0.000311"
"doubledash_l_28_d_mau","Metric","N/A","","mean","0.244107","748,650","0.243809","749,196","-0.000193","[-0.00149, +0.001104]","-0.000789","[-0.6102%, +0.4524%]","0.770963","-","0.056324","-0.000044","-0.000044"
"doubledash_l_28_d_post_checkout_mau","Metric","N/A","","mean","0.210849","748,650","0.210574","749,196","-0.000175","[-0.001417, +0.001068]","-0.000829","[-0.6722%, +0.5064%]","0.782762","-","0.058211","-0.000048","-0.000040"
"doubledash_l_28_d_pre_checkout_mau","Metric","N/A","","mean","0.060637","748,650","0.060621","749,196","0.000076","[-0.000653, +0.000804]","0.001248","[-1.0769%, +1.3265%]","0.838737","-","0.049925","0.000062","0.000017"
"doubledash_post_checkout_active_user","Metric","N/A","","mean","0.180260","748,650","0.180500","749,196","0.000625","[-0.000574, +0.001824]","0.003468","[-0.3182%, +1.0118%]","0.306689","-","0.095950","0.000333","0.000272"
"doubledash_post_checkout_wau","Metric","N/A","","mean","0.063824","748,650","0.063779","749,196","0.000142","[-0.000624, +0.000907]","0.002217","[-0.9777%, +1.4211%]","0.717126","-","0.026787","0.000059","0.000049"
"doubledash_pre_checkout_active_user","Metric","N/A","","mean","0.043767","748,650","0.043746","749,196","0.000219","[-0.000413, +0.000851]","0.005001","[-0.9441%, +1.9443%]","0.497352","-","0.074038","0.000370","0.000095"
"doubledash_pre_checkout_wau","Metric","N/A","","mean","0.019464","748,650","0.019510","749,196","0.000088","[-0.000344, +0.00052]","0.004517","[-1.7674%, +2.6709%]","0.689917","-","0.025672","0.000116","0.000030"
"doubledash_wau","Metric","N/A","","mean","0.079506","748,650","0.079463","749,196","0.000143","[-0.000697, +0.000983]","0.001797","[-0.8771%, +1.2366%]","0.738929","-","0.027498","0.000049","0.000049"
