"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","config_no_dsml Value","config_no_dsml Exposure Volume","config_no_dsml Absolute Impact","config_no_dsml Absolute Impact Confidence Interval","config_no_dsml Relative Impact","config_no_dsml Relative Impact Confidence Interval","config_no_dsml P Value","config_no_dsml Significance","config_no_dsml Coverage","config_no_dsml Relative Global Lift","config_no_dsml Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.004101","11,804,106","0.004115","11,804,307","0.000014","[-0.000038, +0.000065]","0.003381","[-0.9201%, +1.5963%]","0.598443","-","","",""
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"ads_revenue","Metric","N/A","","mean","0.837858","11,406,460","0.836566","11,407,416","-0.001575","[-0.004941, +0.001791]","-0.001880","[-0.5897%, +0.2137%]","0.359094","-","0.670744","-0.001261","-0.001164"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.008177","11,804,106","0.008144","11,804,307","-0.000029","[-0.000104, +0.000047]","-0.003485","[-1.2694%, +0.5725%]","0.458342","-","0.005808","-0.000020","-0.000020"
"ad_product_bn","Dimension","ads_revenue","","mean","0.116218","11,804,106","0.117675","11,804,307","0.000759","[-0.002799, +0.004317]","0.006532","[-2.4083%, +3.7146%]","0.675824","-","0.082547","0.000539","0.000529"
"ad_product_pm","Dimension","ads_revenue","","mean","0.194853","11,804,106","0.194663","11,804,307","-0.000094","[-0.000524, +0.000337]","-0.000480","[-0.2692%, +0.1732%]","0.670528","-","0.138399","-0.000066","-0.000065"
"ad_product_sb","Dimension","ads_revenue","","mean","0.012795","11,804,106","0.012950","11,804,307","0.000085","[-0.000072, +0.000242]","0.006654","[-0.5619%, +1.8927%]","0.287967","-","0.009088","0.000060","0.000059"
"ad_product_sl","Dimension","ads_revenue","","mean","0.592618","11,804,106","0.591777","11,804,307","-0.000551","[-0.00217, +0.001068]","-0.000930","[-0.3662%, +0.1803%]","0.504886","-","0.420922","-0.000391","-0.000384"
"ad_product_sp","Dimension","ads_revenue","","mean","0.057817","11,804,106","0.058115","11,804,307","0.000302","[-0.000177, +0.00078]","0.005215","[-0.3068%, +1.3497%]","0.217193","-","0.041066","0.000214","0.000210"
"avg_dat_mins","Metric","N/A","","mean","1192.472495","11,023,447","1192.700228","11,022,681","0.203998","[-0.165061, +0.573056]","0.000171","[-0.0138%, +0.0481%]","0.278642","-","0.818950","0.000141","0.167064"
"chex_ct_cancel_order","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"chex_ct_cart_page_conversion","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"chex_ct_cart_page_conversion_deliveries","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"chex_ct_checkout_page_load","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"chex_ct_place_order","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"cng_new_cx_trials_per_cx_nc","Metric","N/A","","mean","0.020275","11,804,106","0.020384","11,804,307","0.000111","[-0.000002, +0.000225]","0.005495","[-0.0113%, +1.1104%]","0.054813","-","0.654594","0.003597","0.000495"
"cng_order_penetration_3p","Metric","N/A","","mean","0.100193","11,804,106","0.100844","11,804,307","0.000652","[+0.00042, +0.000883]","0.006503","[+0.4189%, +0.8817%]","0.000000","Significant","0.964173","0.006270","0.001999"
"cng_order_penetration_nc","Metric","N/A","","mean","0.203002","11,804,106","0.203702","11,804,307","0.000640","[+0.000342, +0.000939]","0.003154","[+0.1682%, +0.4625%]","0.000027","Significant","0.963890","0.003040","0.002845"
"cng_order_rate_nc","Metric","N/A","","mean","0.374335","11,804,106","0.376321","11,804,307","0.001708","[+0.001009, +0.002407]","0.004564","[+0.2697%, +0.6431%]","0.000002","Significant","0.955181","0.004359","0.007592"
"consumer_mto","Metric","N/A","","mean","0.045536","11,804,106","0.045731","11,804,307","0.000186","[-0.000124, +0.000496]","0.004084","[-0.2734%, +1.0901%]","0.240383","-","0.762391","0.003113","0.003386"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","6.047647","11,804,106","6.046228","11,804,307","-0.001504","[-0.006566, +0.003559]","-0.000249","[-0.1086%, +0.0588%]","0.560450","-","0.610269","-0.000147","-0.000918"
"consumers_mau","Metric","N/A","","mean","0.972635","11,804,106","0.972763","11,804,307","0.000139","[+0.000009, +0.000269]","0.000143","[+0.0009%, +0.0276%]","0.036121","Significant","0.610269","0.000087","0.000045"
"cx_app_quality_action_load_latency_android","Metric","N/A","","mean","0.007547","2,064,679","0.007542","2,066,240","-0.000004","[-0.000093, +0.000084]","-0.000595","[-1.2366%, +1.1176%]","0.921053","-","0.683579","-0.000380","-0.000003"
