"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.005862","3,099,630","0.005869","3,005,866","0.000006","[-0.000115, +0.000127]","0.001070","[-1.9598%, +2.1737%]","0.919189","-","","","","0.005878","3,008,445","0.000016","[-0.000105, +0.000137]","0.002736","[-1.7935%, +2.3407%]","0.795305","-","","",""
"cx_lifestage_Dormant","Dimension","account_or_system_push_opt_out","","mean","0.005249","312,277","0.005608","302,249","0.000357","[-0.000011, +0.000725]","0.068003","[-0.2021%, +13.8027%]","0.056987","-","","","","0.005546","302,401","0.000298","[-0.000068, +0.000664]","0.056775","[-1.3034%, +12.6585%]","0.110933","-","","",""
"cx_lifestage_New Cx","Dimension","account_or_system_push_opt_out","","mean","0.009448","40,113","0.009752","38,352","0.000303","[-0.001062, +0.001669]","0.032121","[-11.2366%, +17.6609%]","0.663038","-","","","","0.009443","38,548","-0.000005","[-0.001358, +0.001347]","-0.000577","[-14.3697%, +14.2543%]","0.993697","-","","",""
"cx_lifestage_Non-Purchaser","Dimension","account_or_system_push_opt_out","","mean","0.012716","72,428","0.012550","69,958","-0.000152","[-0.001312, +0.001008]","-0.011962","[-10.3206%, +7.9283%]","0.797223","-","","","","0.012515","70,238","-0.000197","[-0.001355, +0.000961]","-0.015506","[-10.6593%, +7.5581%]","0.738645","-","","",""
"account_or_system_push_opt_out_cx_lifestage_Churned","Dimension","account_or_system_push_opt_out","","mean","0.009492","274,850","0.009216","267,136","-0.000282","[-0.000794, +0.000231]","-0.029675","[-8.3668%, +2.4318%]","0.281379","-","","","","0.009575","266,631","0.000073","[-0.000445, +0.000591]","0.007709","[-4.6829%, +6.2246%]","0.781754","-","","",""
"account_or_system_push_opt_out_cx_lifestage_Active","Dimension","account_or_system_push_opt_out","","mean","0.004622","2,242,674","0.004644","2,175,339","0.000022","[-0.000105, +0.000149]","0.004772","[-2.263%, +3.2174%]","0.732856","-","","","","0.004631","2,178,120","0.000009","[-0.000118, +0.000135]","0.001930","[-2.5444%, +2.9304%]","0.890094","-","","",""
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","4.948664","3,099,630","4.957597","3,005,866","0.002262","[-0.014684, +0.019209]","0.000457","[-0.2967%, +0.3882%]","0.793587","-","0.249608","0.000114","0.000377","4.954617","3,008,445","0.000280","[-0.016644, +0.017204]","0.000057","[-0.3363%, +0.3477%]","0.974129","-","0.249608","0.000014","0.000047"
"ads_revenue","Metric","N/A","","mean","2.562294","3,099,630","2.566664","3,005,866","0.004848","[-0.003398, +0.013094]","0.001892","[-0.1326%, +0.511%]","0.249167","-","0.239411","0.000453","0.000756","2.558183","3,008,445","-0.002929","[-0.01117, +0.005313]","-0.001143","[-0.4359%, +0.2074%]","0.486150","-","0.239411","-0.000274","-0.000457"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.167018","3,099,630","0.168867","3,005,866","0.001699","[+0.001238, +0.00216]","0.010173","[+0.7415%, +1.2931%]","0.000000","Significant","0.015477","0.000157","0.000264","0.168164","3,008,445","0.001077","[+0.000619, +0.001536]","0.006450","[+0.3704%, +0.9197%]","0.000004","Significant","0.015477","0.000100","0.000168"
"ad_product_pm","Dimension","ads_revenue","","mean","0.284929","3,099,630","0.285876","3,005,866","0.000968","[-0.000287, +0.002222]","0.003396","[-0.1007%, +0.78%]","0.130618","-","0.026404","0.000090","0.000151","0.285102","3,008,445","0.000166","[-0.001088, +0.00142]","0.000582","[-0.382%, +0.4983%]","0.795579","-","0.026404","0.000015","0.000026"
"ad_product_sb","Dimension","ads_revenue","","mean","0.038147","3,099,630","0.038972","3,005,866","0.000666","[+0.000158, +0.001173]","0.017448","[+0.4147%, +3.0748%]","0.010139","Significant","0.003535","0.000062","0.000104","0.038556","3,008,445","0.000242","[-0.000262, +0.000747]","0.006354","[-0.6868%, +1.9576%]","0.346282","-","0.003535","0.000022","0.000038"
"ad_product_sl","Dimension","ads_revenue","","mean","1.883354","3,099,630","1.883544","3,005,866","-0.000918","[-0.008001, +0.006166]","-0.000487","[-0.4248%, +0.3274%]","0.799541","-","0.174525","-0.000085","-0.000143","1.876879","3,008,445","-0.005933","[-0.013008, +0.001142]","-0.003150","[-0.6907%, +0.0607%]","0.100279","-","0.174525","-0.000550","-0.000923"
"ad_product_sp","Dimension","ads_revenue","","mean","0.223463","3,099,630","0.224035","3,005,866","0.000703","[-0.001314, +0.00272]","0.003147","[-0.5879%, +1.2173%]","0.494394","-","0.020708","0.000065","0.000109","0.223933","3,008,445","0.000545","[-0.0015, +0.002591]","0.002441","[-0.6712%, +1.1594%]","0.601173","-","0.020708","0.000051","0.000085"
"avg_dat_mins","Metric","N/A","","mean","1212.749559","2,604,713","1213.114300","2,526,172","0.290075","[-0.420816, +1.000966]","0.000239","[-0.0347%, +0.0825%]","0.423854","-","0.244727","0.000059","0.071064","1212.967092","2,529,002","0.260892","[-0.44087, +0.962654]","0.000215","[-0.0364%, +0.0794%]","0.466216","-","0.244727","0.000053","0.063818"
"cng_order_rate_nc","Metric","N/A","","mean","0.801156","3,099,630","0.802927","3,005,866","0.001256","[-0.001586, +0.004099]","0.001568","[-0.198%, +0.5116%]","0.386278","-","0.283785","0.000445","0.001170","0.802295","3,008,445","0.000495","[-0.002344, +0.003334]","0.000618","[-0.2926%, +0.4162%]","0.732390","-","0.283785","0.000175","0.000461"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","7.942247","3,059,546","7.951120","2,966,750","0.005921","[-0.006293, +0.018135]","0.000746","[-0.0792%, +0.2283%]","0.342034","-","0.194783","0.000148","0.001153","7.945832","2,969,338","-0.000436","[-0.012632, +0.011759]","-0.000055","[-0.159%, +0.1481%]","0.944095","-","0.194783","-0.000011","-0.000085"
"consumers_mau","Metric","N/A","","mean","0.987068","3,099,630","0.986987","3,005,866","-0.000086","[-0.000264, +0.000093]","-0.000087","[-0.0268%, +0.0094%]","0.345289","-","0.194791","-0.000017","-0.000008","0.987001","3,008,445","-0.000067","[-0.000246, +0.000111]","-0.000068","[-0.0249%, +0.0113%]","0.460355","-","0.194791","-0.000013","-0.000006"
"consumers_mau_cx_lifestage_Active","Dimension","consumers_mau","","mean","0.994083","2,242,674","0.994054","2,175,339","-0.000026","[-0.000169, +0.000117]","-0.000026","[-0.017%, +0.0117%]","0.719369","-","0.141980","-0.000004","-0.000002","0.993950","2,178,120","-0.000130","[-0.000273, +0.000014]","-0.000130","[-0.0275%, +0.0014%]","0.076776","-","0.141980","-0.000019","-0.000009"
"consumers_mau_cx_lifestage_Churned","Dimension","consumers_mau","","mean","0.966273","274,850","0.965931","267,136","-0.000348","[-0.001311, +0.000614]","-0.000361","[-0.1356%, +0.0635%]","0.477786","-","0.016918","-0.000006","-0.000003","0.966414","266,631","0.000167","[-0.000792, +0.001127]","0.000173","[-0.0819%, +0.1166%]","0.732270","-","0.016918","0.000003","0.000001"
"cx_lifestage_Dormant","Dimension","consumers_mau","","mean","0.977155","312,277","0.977241","302,249","0.000047","[-0.000699, +0.000792]","0.000048","[-0.0715%, +0.0811%]","0.901912","-","0.019401","0.000000","0.000000","0.977695","302,401","0.000519","[-0.000222, +0.001261]","0.000531","[-0.0228%, +0.129%]","0.170058","-","0.019401","0.000010","0.000005"
"cx_lifestage_New Cx","Dimension","consumers_mau","","mean","0.979284","40,113","0.978906","38,352","-0.000400","[-0.002397, +0.001596]","-0.000409","[-0.2448%, +0.163%]","0.694351","-","0.002481","0.000000","0.000000","0.977924","38,548","-0.001381","[-0.003399, +0.000637]","-0.001410","[-0.347%, +0.0651%]","0.179886","-","0.002481","-0.000004","-0.000002"
"cx_lifestage_Non-Purchaser","Dimension","consumers_mau","","mean","0.956522","72,428","0.955145","69,958","-0.001410","[-0.00354, +0.00072]","-0.001474","[-0.3701%, +0.0753%]","0.194544","-","0.004404","-0.000006","-0.000003","0.955238","70,238","-0.001213","[-0.00334, +0.000913]","-0.001268","[-0.3492%, +0.0955%]","0.263481","-","0.004404","-0.000006","-0.000003"
"core_quality_late20","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"cx_app_quality_action_load_latency_android","Metric","N/A","","mean","0.006224","38,316","0.006032","37,404","-0.000199","[-0.000561, +0.000164]","-0.031899","[-9.0179%, +2.6381%]","0.283379","-","0.019787","-0.000491","-0.000004","0.006195","37,043","-0.000043","[-0.000424, +0.000338]","-0.006903","[-6.8093%, +5.4286%]","0.824994","-","0.019787","0.000000","0.000000"
