"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"ads_revenue","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"avg_dat_mins","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"avg_r2c","Metric","N/A","","mean","13.368961","5,244,143","13.377459","5,089,222","0.009263","[+0.001466, +0.017059]","0.000693","[+0.011%, +0.1276%]","0.019888","Significant","0.615214","0.000438","0.005699","13.379455","5,087,647","0.010777","[+0.002731, +0.018823]","0.000806","[+0.0204%, +0.1408%]","0.008661","Significant","0.615214","0.000510","0.006630"
"cng_order_rate_nc","Metric","N/A","","mean","0.289697","10,638,249","0.289564","10,322,732","-0.000127","[-0.000887, +0.000633]","-0.000440","[-0.3063%, +0.2184%]","0.742587","-","0.984489","-0.000433","-0.000784","0.289408","10,323,195","-0.000083","[-0.000843, +0.000677]","-0.000287","[-0.2909%, +0.2336%]","0.830299","-","0.984489","-0.000282","-0.000511"
"consumer_mto","Metric","N/A","","mean","0.042285","10,638,249","0.042310","10,322,732","-0.000010","[-0.00028, +0.000259]","-0.000247","[-0.6627%, +0.6133%]","0.939439","-","0.785715","-0.000194","-0.000275","0.042433","10,323,195","0.000135","[-0.000137, +0.000408]","0.003198","[-0.3243%, +0.964%]","0.330480","-","0.785715","0.002513","0.003557"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"consumers_mau","Metric","N/A","","mean","0.815449","10,638,249","0.815881","10,322,732","0.000376","[+0.000067, +0.000684]","0.000461","[+0.0082%, +0.0839%]","0.017103","Significant","0.687957","0.000317","0.000159","0.815595","10,323,195","0.000153","[-0.000156, +0.000462]","0.000188","[-0.0191%, +0.0566%]","0.331617","-","0.687957","0.000129","0.000065"
"dashpass_paid_balance","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dashpass_signup","Metric","N/A","","mean","0.028545","10,638,249","0.028512","10,322,732","-0.000033","[-0.000178, +0.000112]","-0.001160","[-0.6232%, +0.3912%]","0.654037","-","0.865108","-0.001003","-0.000858","0.028555","10,323,195","0.000010","[-0.000135, +0.000155]","0.000347","[-0.4721%, +0.5416%]","0.893161","-","0.865108","0.000300","0.000257"
"dbd_attach_rate_post_checkout","Metric","N/A","","mean","0.036739","7,625,804","0.037048","7,407,084","0.000313","[+0.000166, +0.000459]","0.008515","[+0.4529%, +1.2502%]","0.000028","Significant","0.975589","0.008310","0.000305","0.037061","7,404,334","0.000333","[+0.000186, +0.000479]","0.009060","[+0.507%, +1.305%]","0.000009","Significant","0.975589","0.008841","0.000325"
"dbd_attach_rate_pre_and_post","Metric","N/A","","mean","0.040728","7,944,134","0.041031","7,711,664","0.000306","[+0.000152, +0.00046]","0.007514","[+0.3737%, +1.129%]","0.000097","Significant","0.975408","0.007337","0.000298","0.041070","7,709,259","0.000353","[+0.000199, +0.000507]","0.008665","[+0.4884%, +1.2445%]","0.000007","Significant","0.975408","0.008461","0.000344"
"dbd_attach_rate_pre_checkout","Metric","N/A","","mean","0.006846","7,944,134","0.006841","7,711,664","-0.000005","[-0.000073, +0.000062]","-0.000761","[-1.0637%, +0.9115%]","0.879891","-","0.977089","-0.000746","-0.000005","0.006872","7,709,259","0.000027","[-0.000041, +0.000094]","0.003892","[-0.6004%, +1.3788%]","0.440803","-","0.977089","0.003815","0.000026"
"dbd_avg_o2_20_late","Metric","N/A","","mean","0.028058","698,539","0.028016","683,959","-0.000038","[-0.000523, +0.000446]","-0.001358","[-1.8624%, +1.5908%]","0.877495","-","0.976537","-0.001329","-0.000037","0.028148","685,767","0.000096","[-0.000385, +0.000576]","0.003412","[-1.3706%, +2.0531%]","0.696027","-","0.976537","0.003340","0.000093"
"dbd_avg_o2_cancellations","Metric","N/A","","mean","0.025426","713,402","0.025558","698,710","0.000116","[-0.000333, +0.000566]","0.004576","[-1.3106%, +2.2258%]","0.612000","-","0.976419","0.004447","0.000114","0.025576","700,520","0.000125","[-0.000324, +0.000573]","0.004900","[-1.2746%, +2.2546%]","0.586271","-","0.976419","0.004761","0.000122"
