Metric Name,Desired Direction,Dimension Name,Dimension Value,Label,Variant Name,Metric Value,Metric Impact Relative,Metric Impact Relative Lower Bound,Metric Impact Relative Upper Bound,Metric Impact Relative Global Lift,Metric Impact Absolute,Metric Impact Absolute Lower Bound,Metric Impact Absolute Upper Bound,Metric Impact Absolute Global Lift,P Value,Metric Impact Relative Sequential Lower Bound,Metric Impact Relative Sequential Upper Bound,Metric Impact Absolute Sequential Lower Bound,Metric Impact Absolute Sequential Upper Bound,P Value Sequential,Participating Units,Analyzed At
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Active,,treatment2,0.005498,0.00842901,-0.0050413,0.02189933,,0.00004595,-0.00002749,0.0001194,,0.22003222,-0.01275544,0.02961346,-0.00006954,0.00016145,1.0,7645056,2025-08-22 06:45:08
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Active,,treatment1,0.005448,-0.00074773,-0.01418766,0.0126922,,-4.08e-6,-0.00007735,0.0000692,,0.91316895,-0.02188439,0.02038894,-0.00011931,0.00011116,1.0,7642733,2025-08-22 06:45:08
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Active,,control,0.005452,,,,,,,,,,,,,,,7871862,2025-08-22 06:45:08
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Churned,,treatment2,0.009209,-0.00773717,-0.0270867,0.01161237,,-0.00007181,-0.00025139,0.00010777,,0.43320578,-0.03816773,0.0226934,-0.00035423,0.00021062,1.0,2148128,2025-08-22 06:43:05
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Churned,,treatment1,0.009238,-0.00471016,-0.02408352,0.01466321,,-0.00004371,-0.00022352,0.00013609,,0.63370618,-0.0351782,0.02575789,-0.00032649,0.00023906,1.0,2144568,2025-08-22 06:43:05
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Churned,,control,0.009281,,,,,,,,,,,,,,,2216131,2025-08-22 06:43:05
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment1,0.67726129,0.0057949,-0.09437663,0.10596644,0.0,0.00389888,-0.06349767,0.07129542,0.0,0.90972652,-0.15174255,0.16333236,-0.10209411,0.10989187,1.0,389,2025-08-25 20:04:16
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.03301196,,,,,,,,,,,,,,,171452,2025-08-25 20:04:23
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment2,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,113,2025-08-25 20:04:41
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment1,0.00201173,-0.01132557,-0.21107309,0.18842194,0.0,-0.00002305,-0.00042964,0.00038353,0.0,0.91151416,-0.32546387,0.30281272,-0.00066248,0.00061638,1.0,204300,2025-08-25 20:04:22
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.05793106,,,,,,,,,,,,,,,1810619,2025-08-25 20:04:51
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment1,0.07131653,0.00075334,-0.00690989,0.00841658,0.0,0.00005366,-0.0004922,0.00059953,0.0,0.84721241,-0.01129845,0.01280514,-0.00080481,0.00091213,1.0,1426362,2025-08-25 20:04:53
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.07123192,,,,,,,,,,,,,,,1470279,2025-08-25 20:04:53
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.0020355,,,,,,,,,,,,,,,210987,2025-08-25 20:04:22
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment1,0.03234643,-0.01992608,-0.05641265,0.01656049,-0.00034316,-0.0006578,-0.00186229,0.00054669,-0.00001261,0.28444941,-0.07730767,0.0374555,-0.00255208,0.00123648,1.0,165926,2025-08-25 20:04:23
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.0,,,,,,,,,,,,,,,119,2025-08-25 20:04:41
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment2,0.00218169,0.07261259,-0.12845286,0.27367805,0.00215969,0.0001478,-0.00026147,0.00055707,3.47e-6,0.47905731,-0.2435984,0.38882358,-0.00049585,0.00079145,1.0,204598,2025-08-25 20:04:22
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment2,0.05828173,0.00594841,-0.0072445,0.01914133,0.0008723,0.0003446,-0.00041968,0.00110888,2.46e-6,0.37685422,-0.01479978,0.02669661,-0.00085737,0.00154656,1.0,1755765,2025-08-25 20:04:51
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment2,0.67883213,0.0084069,-0.08869409,0.1055079,0.0,0.00565626,-0.05967439,0.07098691,0.0,0.86525267,-0.14430159,0.16111539,-0.09708775,0.10840027,1.0,393,2025-08-25 20:04:16
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment1,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,92,2025-08-25 20:04:41
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment2,0.03228908,-0.0215725,-0.05790975,0.01476476,-0.00037143,-0.00071215,-0.00191171,0.00048741,-0.00001365,0.24459407,-0.07871925,0.03557426,-0.00259868,0.00117438,1.0,166152,2025-08-25 20:04:23
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment1,0.05772942,-0.0035639,-0.01654089,0.00941309,-0.00052262,-0.00020646,-0.00095823,0.00054531,-1.47e-6,0.59039128,-0.02397251,0.01684472,-0.00138875,0.00097583,1.0,1756548,2025-08-25 20:04:51
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment2,0.07170721,0.00624432,-0.00143422,0.01392286,0.00018807,0.0004448,-0.00010216,0.00099175,2.1e-6,0.11096349,-0.00583154,0.01832019,-0.00041539,0.00130498,0.80940234,1425211,2025-08-25 20:04:53
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.67281137,,,,,,,,,,,,,,,407,2025-08-25 20:04:16
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.0374661,,,,,,,,,,,,,,,485390,2025-08-25 20:04:23
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.01348396,,,,,,,,,,,,,,,10957198,2025-08-25 20:04:53
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment2,0.00567719,-0.00643785,-0.01726606,0.00439035,-0.00248942,-0.00003678,-0.00009866,0.00002509,-0.00001879,0.24390319,-0.02346712,0.01059142,-0.00013409,0.00006052,1.0,2369965,2025-08-25 20:04:16
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment1,0.03742619,0.00391996,-0.01631453,0.02415445,0.00105264,0.00014687,-0.00061124,0.00090497,0.00003868,0.70417034,-0.02790236,0.03574228,-0.00104539,0.00133912,1.0,470199,2025-08-25 20:04:23
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment1,0.00040136,-0.0118188,-0.04320931,0.01957171,-0.00209024,-4.8e-6,-0.00001755,7.95e-6,-2.38e-6,0.46054885,-0.06118593,0.03754833,-0.00002485,0.00001525,1.0,2381861,2025-08-25 20:04:41
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment2,0.0375361,-0.00210671,-0.02404627,0.01983284,-0.0005707,-0.00007893,-0.00090092,0.00074306,-0.00002097,0.85071774,-0.03661054,0.03239712,-0.00137165,0.00121379,1.0,470265,2025-08-25 20:04:23
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment1,0.00074426,0.2035737,-0.21575345,0.62290086,0.02284822,0.00016608,-0.00017602,0.00050818,0.00003674,0.34134173,-0.4558924,0.86303981,-0.00037193,0.00070409,1.0,475510,2025-08-25 20:04:22
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.00291968,,,,,,,,,,,,,,,10999651,2025-08-25 20:04:51
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment2,0.00040485,-0.00325206,-0.03479927,0.02829514,0.0,-1.32e-6,-0.00001413,0.00001149,0.0,0.83988215,-0.05286562,0.04636149,-0.00002147,0.00001883,1.0,2377772,2025-08-25 20:04:41
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.00571385,,,,,,,,,,,,,,,2444352,2025-08-25 20:04:16
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment2,0.01348147,-0.00019748,-0.00330787,0.00291291,-0.00011384,-2.66e-6,-0.0000446,0.00003928,-1.27e-6,0.90096831,-0.00508911,0.00469416,-0.00006862,0.0000633,1.0,10641770,2025-08-25 20:04:53
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.00081583,,,,,,,,,,,,,,,490916,2025-08-25 20:04:22
