"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.008916","15,772,618","0.008984","15,307,184","0.000068","[+0.000002, +0.000134]","0.007648","[+0.022%, +1.5076%]","0.043585","Significant","","","","0.009008","15,310,489","0.000092","[+0.000026, +0.000159]","0.010362","[+0.2929%, +1.7794%]","0.006289","Significant","","",""
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","5.383690","15,772,618","5.378793","15,307,184","-0.004296","[-0.012793, +0.004202]","-0.000798","[-0.2376%, +0.0781%]","0.321786","-","0.930201","-0.000742","-0.002609","5.388505","15,310,489","0.003486","[-0.005034, +0.012006]","0.000647","[-0.0935%, +0.223%]","0.422592","-","0.930201","0.000602","0.002117"
"ads_revenue","Metric","N/A","","mean","2.744893","15,772,618","2.746263","15,307,184","0.000829","[-0.003318, +0.004976]","0.000302","[-0.1209%, +0.1813%]","0.695228","-","0.843728","0.000255","0.000439","2.745951","15,310,489","0.001298","[-0.002856, +0.005452]","0.000473","[-0.1041%, +0.1986%]","0.540314","-","0.843728","0.000399","0.000687"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.108325","15,747,924","0.108377","15,283,140","0.000066","[-0.000102, +0.000234]","0.000611","[-0.0939%, +0.216%]","0.439886","-","0.033784","0.000021","0.000035","0.108338","15,286,374","0.000043","[-0.000124, +0.000211]","0.000400","[-0.1149%, +0.195%]","0.612670","-","0.033784","0.000014","0.000023"
"ad_product_pm","Dimension","ads_revenue","","mean","0.374945","15,747,924","0.374804","15,283,140","-0.000161","[-0.000849, +0.000526]","-0.000430","[-0.2264%, +0.1404%]","0.645774","-","0.116935","-0.000050","-0.000086","0.375256","15,286,374","0.000403","[-0.000285, +0.001091]","0.001075","[-0.076%, +0.291%]","0.250826","-","0.116935","0.000126","0.000215"
"ad_product_sb","Dimension","ads_revenue","","mean","0.028643","15,747,924","0.028524","15,283,140","-0.000042","[-0.000196, +0.000112]","-0.001459","[-0.6826%, +0.3909%]","0.594293","-","0.008933","-0.000013","-0.000022","0.028582","15,286,374","0.000010","[-0.000147, +0.000167]","0.000343","[-0.5146%, +0.5832%]","0.902401","-","0.008933","0.000003","0.000005"
"ad_product_sl","Dimension","ads_revenue","","mean","1.971518","15,747,924","1.974398","15,283,140","0.001917","[-0.001702, +0.005536]","0.000972","[-0.0863%, +0.2808%]","0.299157","-","0.614864","0.000598","0.001024","1.973553","15,286,374","0.001377","[-0.002242, +0.004995]","0.000698","[-0.1137%, +0.2534%]","0.455832","-","0.614864","0.000429","0.000735"
"ad_product_sp","Dimension","ads_revenue","","mean","0.216316","15,747,924","0.215256","15,283,140","-0.000975","[-0.002038, +0.000089]","-0.004506","[-0.9422%, +0.041%]","0.072384","-","0.067463","-0.000304","-0.000521","0.215258","15,286,374","-0.000987","[-0.002083, +0.000108]","-0.004565","[-0.9629%, +0.0499%]","0.077277","-","0.067463","-0.000308","-0.000527"
"avg_dat_mins","Metric","N/A","","mean","1206.363587","12,900,084","1206.030680","12,519,341","-0.321759","[-0.67574, +0.032222]","-0.000267","[-0.056%, +0.0027%]","0.074822","-","0.835494","-0.000223","-0.268834","1206.381646","12,524,126","0.010395","[-0.34366, +0.36445]","0.000009","[-0.0285%, +0.0302%]","0.954112","-","0.835494","0.000007","0.008685"
"chex_ct_cancel_order","Metric","N/A","","mean","0.019198","12,721,351","0.019182","12,347,972","-0.000016","[-0.000076, +0.000045]","-0.000830","[-0.3981%, +0.2321%]","0.605482","-","","","","0.019241","12,351,680","0.000043","[-0.000017, +0.000104]","0.002249","[-0.091%, +0.5408%]","0.162853","-","","",""
