Metric Name,Desired Direction,Dimension Name,Dimension Value,Label,Variant Name,Metric Value,Metric Impact Relative,Metric Impact Relative Lower Bound,Metric Impact Relative Upper Bound,Metric Impact Relative Global Lift,Metric Impact Absolute,Metric Impact Absolute Lower Bound,Metric Impact Absolute Upper Bound,Metric Impact Absolute Global Lift,P Value,Metric Impact Relative Sequential Lower Bound,Metric Impact Relative Sequential Upper Bound,Metric Impact Absolute Sequential Lower Bound,Metric Impact Absolute Sequential Upper Bound,P Value Sequential,Participating Units,Analyzed At
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_NULL,,treatment3,0.00425223,-0.05210876,-0.10897482,0.0047573,-0.00287354,-0.00023376,-0.00048886,0.00002134,-0.00001134,0.07249494,-0.14154069,0.03732318,-0.00063495,0.00016743,0.61537489,362068,2025-03-14 13:41:48
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_NULL,,treatment1,0.00419295,-0.0653222,-0.12196179,-0.00868262,-0.00359129,-0.00029303,-0.00054712,-0.00003895,-0.00001418,0.02379529,-0.15439797,0.02375356,-0.00069263,0.00010656,0.28965123,363114,2025-03-14 13:41:48
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_NULL,,control,0.00448599,,,,,,,,,,,,,,,372598,2025-03-14 13:41:48
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_SMARTY_STREETS_RDI_COMMERCIAL SMARTY_STREETS_RECORD_TYPE_FIRM,,treatment3,0.0263157,1.03257922,-1.22455328,3.28971171,0.0,0.01307059,-0.01550063,0.04164181,0.0,0.36991511,-2.51716082,4.58231925,-0.03186271,0.05800388,1.0,114,2025-03-14 13:41:48
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_SMARTY_STREETS_RDI_COMMERCIAL SMARTY_STREETS_RECORD_TYPE_FIRM,,control,0.01265819,,,,,,,,,,,,,,,97,2025-03-14 13:41:48
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_SMARTY_STREETS_RDI_COMMERCIAL SMARTY_STREETS_RECORD_TYPE_FIRM,,treatment1,0.00671144,-0.51087905,-2.23815318,1.21639509,0.0,-0.00646681,-0.02833097,0.01539736,0.0,0.56211549,-3.22732309,2.205565,-0.04085208,0.02791847,1.0,89,2025-03-14 13:41:48
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_SMARTY_STREETS_RDI_COMMERCIAL SMARTY_STREETS_RECORD_TYPE_HIGH_RISE,,control,0.00457432,,,,,,,,,,,,,,,205920,2025-03-14 13:41:48
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_SMARTY_STREETS_RDI_COMMERCIAL SMARTY_STREETS_RECORD_TYPE_HIGH_RISE,,treatment1,0.00450846,-0.01426368,-0.08315014,0.05462279,-0.00053869,-0.00006525,-0.00038036,0.00024986,-2.13e-6,0.6848665,-0.12259982,0.09407247,-0.00056081,0.00043032,1.0,199989,2025-03-14 13:41:48
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_SMARTY_STREETS_RDI_COMMERCIAL SMARTY_STREETS_RECORD_TYPE_HIGH_RISE,,treatment3,0.00463315,0.0126986,-0.05679232,0.08218952,0.0004785,0.00005809,-0.00025979,0.00037596,1.89e-6,0.7202243,-0.09658816,0.12198536,-0.00044183,0.000558,1.0,200011,2025-03-14 13:41:48
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_SMARTY_STREETS_RDI_COMMERCIAL SMARTY_STREETS_RECORD_TYPE_STREET,,treatment3,0.00557399,0.01252594,-0.01986941,0.04492129,0.00227958,0.00006897,-0.00010941,0.00024735,9e-6,0.44854864,-0.03842148,0.06347336,-0.00021156,0.0003495,1.0,774964,2025-03-14 13:41:48
