"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.007374","199,081","0.006852","213,237","-0.000534","[-0.001047, -0.00002]","-0.072371","[-14.1992%, -0.2751%]","0.041610","Significant","","","","0.007202","192,992","-0.000169","[-0.000702, +0.000363]","-0.022965","[-9.5144%, +4.9214%]","0.532893","-","","",""
"active_share_7d","Metric","N/A","","mean","0.680270","170,153","0.687353","168,746","0.003795","[+0.000915, +0.006676]","0.005579","[+0.1345%, +0.9814%]","0.009815","Significant","","","","0.679486","164,542","-0.001088","[-0.003997, +0.00182]","-0.001600","[-0.5875%, +0.2676%]","0.463336","-","","",""
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","6.920996","204,048","6.856484","197,394","-0.040459","[-0.127007, +0.046089]","-0.005846","[-1.8351%, +0.6659%]","0.359542","-","0.015949","-0.000093","-0.000340","6.904704","197,799","0.021643","[-0.0652, +0.108485]","0.003127","[-0.9421%, +1.5675%]","0.625226","-","0.015949","0.000050","0.000182"
"ads_revenue","Metric","N/A","","mean","3.230707","199,081","3.119153","213,237","-0.111050","[-0.148973, -0.073127]","-0.034373","[-4.6112%, -2.2635%]","0.000000","Significant","0.014946","-0.000514","-0.000845","3.223083","192,992","-0.007973","[-0.04671, +0.030765]","-0.002468","[-1.4458%, +0.9523%]","0.686667","-","0.014946","-0.000037","-0.000061"
"avg_dat_mins","Metric","N/A","","mean","1206.033057","177,079","1205.200760","181,363","0.560924","[-2.20773, +3.329577]","0.000465","[-0.1831%, +0.2761%]","0.691305","-","0.015756","0.000007","0.008960","1206.185308","171,773","-0.343207","[-3.153399, +2.466984]","-0.000285","[-0.2615%, +0.2046%]","0.810819","-","0.015756","-0.000004","-0.005365"
"cng_order_rate_nc","Metric","N/A","","mean","1.076421","199,081","1.058086","213,237","-0.022775","[-0.03617, -0.00938]","-0.021158","[-3.3602%, -0.8714%]","0.000861","Significant","0.019847","-0.000420","-0.001175","1.069930","192,992","-0.003723","[-0.017198, +0.009752]","-0.003459","[-1.5977%, +0.9059%]","0.588128","-","0.019847","-0.000069","-0.000192"
"consumer_mto","Metric","N/A","","mean","0.129254","199,081","0.124083","213,237","-0.005689","[-0.011381, +0.000003]","-0.044011","[-8.8048%, +0.0026%]","0.050136","-","0.021105","-0.000929","-0.000992","0.131560","192,992","0.001356","[-0.00504, +0.007751]","0.010488","[-3.8995%, +5.997%]","0.677847","-","0.021105","0.000221","0.000236"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","9.290802","194,768","9.451530","205,158","0.155712","[+0.092661, +0.218763]","0.016760","[+0.9973%, +2.3546%]","0.000001","Significant","0.011743","0.000221","0.001828","9.238512","188,875","-0.069173","[-0.132629, -0.005716]","-0.007445","[-1.4275%, -0.0615%]","0.032637","Significant","0.011743","-0.000098","-0.000812"
"consumers_mau","Metric","N/A","","mean","0.978335","199,081","0.962113","213,237","-0.016186","[-0.017203, -0.015168]","-0.016544","[-1.7584%, -1.5504%]","0.000000","Significant","0.011810","-0.000195","-0.000090","0.978668","192,992","0.000444","[-0.000456, +0.001343]","0.000453","[-0.0466%, +0.1373%]","0.333858","-","0.011810","0.000005","0.000002"
"cx_app_quality_action_load_latency_android","Metric","N/A","","mean","0.006067","22,690","0.005808","22,915","-0.000262","[-0.000877, +0.000352]","-0.043251","[-14.4603%, +5.8102%]","0.402939","-","0.008862","-0.000351","-0.000002","0.005991","21,906","-0.000023","[-0.000646, +0.000601]","-0.003710","[-10.6511%, +9.909%]","0.943604","-","0.008862","0.000000","0.000000"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.004726","21,965","0.004777","22,179","0.000053","[-0.0005, +0.000607]","0.011261","[-10.5906%, +12.8428%]","0.850583","-","0.005467","0.000000","0.000000","0.004825","21,173","0.000106","[-0.00045, +0.000663]","0.022527","[-9.5177%, +14.0231%]","0.707580","-","0.005467","0.000000","0.000000"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.017695","13,512","0.016367","13,703","-0.001333","[-0.00366, +0.000994]","-0.075319","[-20.6821%, +5.6183%]","0.261610","-","0.001152","-0.000230","-0.000002","0.016963","13,137","-0.000722","[-0.003054, +0.00161]","-0.040785","[-17.2568%, +9.0999%]","0.544133","-","0.001152","0.000000","0.000000"
"action_dimension_cx_place_order","Dimension","cx_app_quality_action_load_latency_android","","mean","0.002804","16,639","0.002734","16,765","-0.000072","[-0.000945, +0.0008]","-0.025793","[-33.6892%, +28.5305%]","0.870910","-","0.001327","0.000000","0.000000","0.003077","15,932","0.000265","[-0.000563, +0.001092]","0.094415","[-20.0638%, +38.9467%]","0.530546","-","0.001327","0.000000","0.000000"
"action_dimension_cx_set_address","Dimension","cx_app_quality_action_load_latency_android","","mean","0.266667","41","0.186046","42","-0.073464","[-0.244539, +0.097611]","-0.275489","[-91.702%, +36.6041%]","0.399980","-","0.000001","0.000000","0.000000","0.102564","37","-0.156946","[-0.316239, +0.002347]","-0.588547","[-118.5896%, +0.8801%]","0.053472","-","0.000001","0.000000","0.000000"
"action_dimension_cx_set_payment_method","Dimension","cx_app_quality_action_load_latency_android","","mean","0.085366","55","0.171875","42","0.083969","[-0.036323, +0.204261]","0.983632","[-42.5499%, +239.2763%]","0.171269","-","0.000001","0.000000","0.000000","0.168831","47","0.077100","[-0.041752, +0.195951]","0.903166","[-48.9091%, +229.5424%]","0.203572","-","0.000001","0.000000","0.000000"
"action_dimension_cx_update_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.003925","12,079","0.002909","12,347","-0.001017","[-0.002419, +0.000386]","-0.259035","[-61.6401%, +9.8331%]","0.155413","-","0.000916","0.000000","0.000000","0.003422","11,722","-0.000503","[-0.001947, +0.000942]","-0.128051","[-49.6205%, +24.0103%]","0.495420","-","0.000916","0.000000","0.000000"
"cx_app_quality_action_load_latency_ios","Metric","N/A","","mean","0.012277","51,071","0.012586","50,833","0.000252","[-0.000247, +0.000751]","0.020551","[-2.0102%, +6.1204%]","0.321770","-","0.004785","0.000110","0.000001","0.012092","49,105","-0.000190","[-0.000684, +0.000304]","-0.015441","[-5.5682%, +2.48%]","0.452016","-","0.004785","0.000000","0.000000"
