Metric Name,Desired Direction,Dimension Name,Dimension Value,Label,Variant Name,Metric Value,Metric Impact Relative,Metric Impact Relative Lower Bound,Metric Impact Relative Upper Bound,Metric Impact Relative Global Lift,Metric Impact Absolute,Metric Impact Absolute Lower Bound,Metric Impact Absolute Upper Bound,Metric Impact Absolute Global Lift,P Value,Metric Impact Relative Sequential Lower Bound,Metric Impact Relative Sequential Upper Bound,Metric Impact Absolute Sequential Lower Bound,Metric Impact Absolute Sequential Upper Bound,P Value Sequential,Participating Units,Analyzed At
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,1.0,,,,,,,,,,,,,,,3,2025-11-19 14:58:48
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.0523494,,,,,,,,,,,,,,,949964,2025-11-19 14:58:42
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment,0.07968871,-0.00105423,-0.01764677,0.01553831,0.0,-0.0000841,-0.00140779,0.00123959,0.0,0.90089629,-0.02714893,0.02504047,-0.00216584,0.00199763,1.0,1179776,2025-11-19 14:58:57
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment,0.00042173,-0.21245209,-1.01821284,0.59330866,0.0,-0.00011344,-0.00054369,0.0003168,0.0,0.60531199,-1.47965338,1.0547492,-0.00079008,0.00056319,1.0,18412,2025-11-19 14:58:44
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.01768038,,,,,,,,,,,,,,,15645,2025-11-19 14:58:45
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.00053396,,,,,,,,,,,,,,,18489,2025-11-19 14:58:44
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment,0.01647614,-0.0665082,-0.22649345,0.09347706,-0.00009372,-0.00117589,-0.00400449,0.00165271,-3.22e-6,0.41519508,-0.31811331,0.18509691,-0.00562436,0.00327258,1.0,15668,2025-11-19 14:58:45
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.07977617,,,,,,,,,,,,,,,1177833,2025-11-19 14:58:57
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment,0.05243034,0.00212685,-0.00934834,0.01360203,0.0,0.00011134,-0.00048938,0.00071206,0.0,0.71640649,-0.01591991,0.02017361,-0.0008334,0.00105608,1.0,951240,2025-11-19 14:58:42
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4,2025-11-19 14:58:48
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment,0.00089923,-0.07214707,-0.23068494,0.08639079,0.0,-0.00007016,-0.00022433,0.00008401,0.0,0.37242711,-0.32147591,0.17718176,-0.00031262,0.0001723,1.0,66450,2025-11-19 14:56:00
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.00453512,,,,,,,,,,,,,,,66539,2025-11-19 14:58:48
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment,0.00441338,-0.02851892,-0.09563297,0.03859513,-0.0002862,-0.00012934,-0.00043371,0.00017503,-1.93e-6,0.40492829,-0.13406764,0.07702979,-0.00060801,0.00034934,1.0,66739,2025-11-19 14:58:48
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment,0.00108298,0.12012558,-0.10817725,0.34842841,0.00251201,0.00011616,-0.00010461,0.00033694,4.51e-6,0.30241433,-0.238921,0.47917216,-0.00023104,0.00046337,1.0,82792,2025-11-19 14:58:44
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment,0.01371807,-0.0033255,-0.00654821,-0.00010279,-0.0018552,-0.00004577,-0.00009013,-1.41e-6,-0.00002064,0.04312673,-0.00839378,0.00174278,-0.00011553,0.00002399,0.43541653,11612742,2025-11-19 14:58:42
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.00097245,,,,,,,,,,,,,,,66233,2025-11-19 14:56:00
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.00279593,,,,,,,,,,,,,,,11616798,2025-11-19 14:58:57
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment,0.00278826,-0.00274511,-0.01157138,0.00608115,-0.00115501,-7.68e-6,-0.00003235,0.000017,-3.36e-6,0.54213963,-0.01662598,0.01113575,-0.00004649,0.00003113,1.0,11617355,2025-11-19 14:58:57
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment,0.02327727,-0.01204837,-0.0848616,0.06076486,-0.00038331,-0.00028382,-0.00199908,0.00143144,-0.00001318,0.74570002,-0.12656006,0.10246331,-0.00298137,0.00241373,1.0,82823,2025-11-19 14:58:45
