"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.003739","13,208,759","0.003734","13,208,763","-0.000005","[-0.000052, +0.000041]","-0.001400","[-1.3844%, +1.1044%]","0.825462","-","","",""
"active_share_7d","Metric","N/A","","mean","0.830845","13,208,759","0.830816","13,208,763","0.000010","[-0.000267, +0.000288]","0.000013","[-0.0321%, +0.0347%]","0.941254","-","","",""
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","3.934218","13,208,759","3.931774","13,208,763","-0.003532","[-0.009572, +0.002508]","-0.000898","[-0.2433%, +0.0638%]","0.251769","-","0.695638","-0.000625","-0.001868"
"ads_revenue","Metric","N/A","","mean","1.616089","13,208,759","1.614746","13,208,763","-0.001185","[-0.003918, +0.001547]","-0.000733","[-0.2424%, +0.0957%]","0.395149","-","0.592905","-0.000435","-0.000560"
"avg_dat_mins","Metric","N/A","","mean","1212.482737","10,899,300","1212.241601","10,897,802","-0.280222","[-0.667292, +0.106848]","-0.000231","[-0.055%, +0.0088%]","0.155919","-","0.630722","-0.000146","-0.176746"
"chex_ct_cancel_order","Metric","N/A","","mean","0.024977","11,216,141","0.025022","11,216,665","0.000046","[-0.000037, +0.00013]","0.001853","[-0.1489%, +0.5194%]","0.277213","-","","",""
"chex_ct_cart_page_conversion","Metric","N/A","","mean","0.822375","12,927,071","0.822202","12,928,433","-0.000087","[-0.000291, +0.000117]","-0.000106","[-0.0354%, +0.0142%]","0.402801","-","","",""
"chex_ct_cart_page_conversion_deliveries","Metric","N/A","","mean","0.808057","12,927,071","0.807830","12,928,433","-0.000125","[-0.000337, +0.000087]","-0.000155","[-0.0416%, +0.0107%]","0.247487","-","","",""
"dbd_cx_segment_NULL","Dimension","chex_ct_cart_page_conversion_deliveries","","mean","0.539196","71,278","0.536581","70,631","-0.002614","[-0.007925, +0.002697]","-0.004848","[-1.4697%, +0.5001%]","0.334657","-","","",""
"dbd_cx_segment_did_not_purchase_l180d","Dimension","chex_ct_cart_page_conversion_deliveries","","mean","0.770345","9,001,169","0.770060","9,002,422","-0.000215","[-0.00052, +0.00009]","-0.000279","[-0.0675%, +0.0117%]","0.167354","-","","",""
"dbd_cx_segment_existing_purchased_l120d","Dimension","chex_ct_cart_page_conversion_deliveries","","mean","0.841981","662,058","0.842184","662,440","0.000257","[-0.000565, +0.001079]","0.000305","[-0.0672%, +0.1282%]","0.540382","-","","",""
"dbd_cx_segment_existing_purchased_l180d","Dimension","chex_ct_cart_page_conversion_deliveries","","mean","0.834749","885,419","0.834423","886,952","-0.000136","[-0.000865, +0.000593]","-0.000163","[-0.1036%, +0.071%]","0.714052","-","","",""
