"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"ads_promotion_sb_attributed_orders","Metric","N/A","","mean","0.004580","4,720,837","0.004594","4,727,812","0.000007","[-0.000105, +0.000119]","0.001602","[-2.2885%, +2.6088%]","0.897995","-","0.442909","0.000709","0.000018"
"ads_promotion_sb_impressions","Metric","N/A","","mean","0.537448","4,720,837","0.538641","4,727,812","0.000538","[-0.001941, +0.003017]","0.001002","[-0.3611%, +0.5614%]","0.670379","-","0.411832","0.000412","0.001288"
"ads_promotion_sb_revenue","Metric","N/A","","mean","0.023826","4,720,837","0.023823","4,727,812","-0.000020","[-0.000495, +0.000455]","-0.000839","[-2.0765%, +1.9087%]","0.934212","-","0.349831","-0.000294","-0.000049"
"ads_promotion_sp_attributed_orders","Metric","N/A","","mean","0.040033","4,720,837","0.040265","4,727,812","0.000215","[-0.000074, +0.000504]","0.005360","[-0.1861%, +1.2582%]","0.145685","-","0.441247","0.002365","0.000347"
"ads_promotion_sp_impressions","Metric","N/A","","mean","6.076670","4,720,837","6.089152","4,727,812","0.005490","[-0.023981, +0.03496]","0.000903","[-0.3946%, +0.5753%]","0.715041","-","0.363615","0.000328","0.008866"
"ads_promotion_sp_revenue","Metric","N/A","","mean","0.108223","4,720,837","0.108568","4,727,812","0.000277","[-0.000739, +0.001293]","0.002561","[-0.683%, +1.1952%]","0.592973","-","0.396177","0.001015","0.000460"
"cx_app_quality_single_metric_android","Metric","N/A","","mean","0.111153","56,363","0.111264","55,821","0.000301","[-0.003028, +0.00363]","0.002708","[-2.7243%, +3.2659%]","0.859342","-","0.020026","0.000050","0.000006"
"cx_app_quality_single_metric_ios","Metric","N/A","","mean","0.072032","4,672,048","0.071990","4,678,972","-0.000036","[-0.000141, +0.000069]","-0.000499","[-0.1951%, +0.0954%]","0.501167","-","0.435122","-0.000214","-0.000016"
"cx_app_quality_single_metric_web","Metric","N/A","","mean","0.095737","111,568","0.097700","112,204","0.001238","[-0.000751, +0.003227]","0.012929","[-0.7847%, +3.3706%]","0.222590","-","0.075365","0.000692","0.000094"
"dbd_attach_rate_post_checkout","Metric","N/A","","mean","0.042561","4,332,567","0.042278","4,339,416","-0.000278","[-0.000461, -0.000096]","-0.006542","[-1.0827%, -0.2258%]","0.002762","Significant","0.562262","-0.003892","-0.000156"
"dbd_attach_rate_pre_and_post","Metric","N/A","","mean","0.052071","4,437,874","0.051820","4,444,889","-0.000239","[-0.000443, -0.000034]","-0.004587","[-0.8512%, -0.0661%]","0.022009","Significant","0.518962","-0.002821","-0.000124"
"dbd_attach_rate_pre_checkout","Metric","N/A","","mean","0.014193","4,437,874","0.014220","4,444,889","0.000032","[-0.00009, +0.000155]","0.002288","[-0.6365%, +1.0941%]","0.604248","-","0.542311","0.001584","0.000018"
"dbd_avg_o2_20_late","Metric","N/A","","mean","0.034226","605,093","0.034788","602,899","0.000560","[-0.000009, +0.001129]","0.016356","[-0.0262%, +3.2973%]","0.053719","-","0.648657","0.010753","0.000363"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_20_late","","mean","0.035740","4,919","0.032809","4,882","-0.002912","[-0.009107, +0.003282]","-0.081490","[-25.48%, +9.182%]","0.356752","-","0.005444","-0.000468","-0.000016"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_20_late","","mean","0.029237","4,346","0.031674","4,483","0.002447","[-0.00395, +0.008843]","0.083687","[-13.5084%, +30.2459%]","0.453405","-","0.004358","0.000322","0.000011"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_20_late","","mean","0.034227","597,612","0.034816","595,401","0.000587","[+0.000014, +0.001161]","0.017162","[+0.0407%, +3.3917%]","0.044688","Significant","0.638535","0.011114","0.000375"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_20_late","","mean","0.031829","499,195","0.031995","496,837","0.000164","[-0.000456, +0.000783]","0.005144","[-1.4324%, +2.4612%]","0.604550","-","0.500663","0.002428","0.000082"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_20_late","","mean","0.042276","139,279","0.044136","139,563","0.001843","[+0.000506, +0.003179]","0.043590","[+1.1972%, +7.5207%]","0.006890","Significant","0.148069","0.008095","0.000273"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_20_late","","mean","0.034080","42,292","0.035139","41,970","0.001059","[-0.001425, +0.003543]","0.031075","[-4.181%, +10.3959%]","0.403354","-","0.033723","0.001059","0.000036"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_20_late","","mean","0.034214","564,929","0.034759","562,991","0.000543","[-0.000041, +0.001128]","0.015883","[-0.119%, +3.2955%]","0.068246","-","0.614959","0.009903","0.000334"
"dbd_avg_o2_cancellations","Metric","N/A","","mean","0.026610","618,339","0.026645","616,035","0.000038","[-0.000458, +0.000534]","0.001426","[-1.7212%, +2.0063%]","0.880831","-","0.648727","0.000929","0.000025"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_cancellations","","mean","0.027727","511,342","0.027802","508,829","0.000081","[-0.000491, +0.000653]","0.002919","[-1.7706%, +2.3544%]","0.781507","-","0.501254","0.001534","0.000041"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_cancellations","","mean","0.022541","141,922","0.022565","142,257","0.000011","[-0.000964, +0.000985]","0.000479","[-4.2758%, +4.3717%]","0.982667","-","0.147485","0.000060","0.000002"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_cancellations","","mean","0.025333","5,028","0.023533","4,983","-0.001800","[-0.006935, +0.003334]","-0.071060","[-27.3738%, +13.1618%]","0.491974","-","0.005434","-0.000368","-0.000010"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_cancellations","","mean","0.026462","4,444","0.023184","4,574","-0.003242","[-0.009092, +0.002608]","-0.122520","[-34.3584%, +9.8544%]","0.277361","-","0.004354","-0.000544","-0.000014"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_cancellations","","mean","0.026556","610,936","0.026649","608,641","0.000096","[-0.000404, +0.000595]","0.003603","[-1.521%, +2.2415%]","0.707393","-","0.638551","0.002311","0.000061"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_cancellations","","mean","0.042161","43,993","0.043973","43,777","0.001812","[-0.000873, +0.004497]","0.042973","[-2.0715%, +10.6661%]","0.186011","-","0.034308","0.002351","0.000062"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_cancellations","","mean","0.025679","576,764","0.025638","574,635","-0.000039","[-0.00054, +0.000462]","-0.001514","[-2.1025%, +1.7997%]","0.879119","-","0.614366","-0.000904","-0.000024"
"dbd_avg_o2_dx_cost","Metric","N/A","","mean","4.441105","618,379","4.445568","616,066","0.004406","[-0.006432, +0.015244]","0.000992","[-0.1448%, +0.3432%]","0.425605","-","0.648735","0.000662","0.002858"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","4.351864","511,371","4.355941","508,848","0.003427","[-0.007842, +0.014696]","0.000787","[-0.1802%, +0.3377%]","0.551176","-","0.501270","0.000402","0.001717"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","4.496577","141,919","4.499630","142,252","0.006876","[-0.014606, +0.028359]","0.001529","[-0.3248%, +0.6307%]","0.530425","-","0.147479","0.000238","0.001015"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_dx_cost","","mean","4.491082","43,996","4.479623","43,778","-0.011271","[-0.049195, +0.026652]","-0.002510","[-1.0954%, +0.5935%]","0.560219","-","0.034308","-0.000091","-0.000386"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_dx_cost","","mean","4.378723","576,785","4.383673","574,648","0.004825","[-0.005827, +0.015477]","0.001102","[-0.1331%, +0.3535%]","0.374628","-","0.614375","0.000695","0.002964"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_dx_cost","","mean","4.331438","5,028","4.334667","4,983","0.006443","[-0.101844, +0.11473]","0.001487","[-2.3513%, +2.6488%]","0.907168","-","0.005434","0.000008","0.000035"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_dx_cost","","mean","4.597382","4,443","4.527837","4,574","-0.076447","[-0.207812, +0.054919]","-0.016628","[-4.5202%, +1.1946%]","0.254045","-","0.004353","-0.000079","-0.000339"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_dx_cost","","mean","4.383568","610,960","4.388057","608,655","0.004517","[-0.005829, +0.014863]","0.001031","[-0.133%, +0.3391%]","0.392137","-","0.638561","0.000676","0.002884"
"dbd_avg_o2_gov_1pc","Metric","N/A","","mean","17.730334","22,033","17.701039","21,973","-0.023628","[-0.284168, +0.236913]","-0.001333","[-1.6027%, +1.3362%]","0.858925","-","0.751238","-0.000981","-0.017730"
"dbd_avg_o2_gov_3pc","Metric","N/A","","mean","16.613037","180,611","16.688136","178,663","0.071629","[-0.009629, +0.152886]","0.004312","[-0.058%, +0.9203%]","0.084040","-","0.684776","0.002905","0.049033"
"dbd_avg_o2_gov_alc","Metric","N/A","","mean","29.837825","25,701","29.799259","25,736","-0.041587","[-0.505544, +0.42237]","-0.001394","[-1.6943%, +1.4156%]","0.860543","-","0.634646","-0.000914","-0.026461"
"dbd_avg_o2_gov_flowers","Metric","N/A","","mean","40.490012","59","46.416750","48","5.926738","[-4.39081, +16.244285]","0.146375","[-10.8442%, +40.1192%]","0.260222","-","0.688886","0.103251","4.066657"
"dbd_avg_o2_gov_grocery","Metric","N/A","","mean","27.156851","67,014","27.343528","67,075","0.199833","[-0.077184, +0.47685]","0.007358","[-0.2842%, +1.7559%]","0.157401","-","0.679422","0.005009","0.135752"
"dbd_avg_o2_gov_nv","Metric","N/A","","mean","20.367134","284,644","20.484518","282,894","0.106610","[+0.007519, +0.205702]","0.005234","[+0.0369%, +1.01%]","0.034972","Significant","0.684126","0.003551","0.072919"
"dbd_avg_o2_gov_pets","Metric","N/A","","mean","40.763328","2,103","38.529699","2,047","-2.394131","[-4.297854, -0.490408]","-0.058732","[-10.5434%, -1.2031%]","0.013707","Significant","0.702143","-0.041423","-1.682621"
"dbd_avg_o2_gov_rx","Metric","N/A","","mean","19.798884","381,487","19.881509","380,868","0.081941","[+0.022569, +0.141313]","0.004139","[+0.114%, +0.7137%]","0.006830","Significant","0.625663","0.002594","0.051258"
"dbd_avg_o2_hqdr","Metric","N/A","","mean","0.916082","618,377","0.915077","616,064","-0.001011","[-0.001872, -0.00015]","-0.001104","[-0.2044%, -0.0164%]","0.021367","Significant","0.648733","-0.000715","-0.000656"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_hqdr","","mean","0.909142","5,028","0.913331","4,983","0.004053","[-0.005484, +0.01359]","0.004458","[-0.6032%, +1.4949%]","0.404854","-","0.005434","0.000024","0.000022"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_hqdr","","mean","0.927093","4,444","0.922205","4,574","-0.004863","[-0.014652, +0.004927]","-0.005245","[-1.5804%, +0.5314%]","0.330275","-","0.004354","-0.000023","-0.000022"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_hqdr","","mean","0.916468","610,974","0.915392","608,670","-0.001082","[-0.001948, -0.000216]","-0.001180","[-0.2125%, -0.0235%]","0.014370","Significant","0.638557","-0.000752","-0.000691"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_hqdr","","mean","0.908162","43,997","0.903707","43,781","-0.004421","[-0.008293, -0.00055]","-0.004868","[-0.9132%, -0.0605%]","0.025208","Significant","0.034309","-0.000165","-0.000152"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_hqdr","","mean","0.916936","576,798","0.916069","574,660","-0.000873","[-0.001754, +0.000008]","-0.000952","[-0.1912%, +0.0009%]","0.052102","-","0.614370","-0.000584","-0.000536"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_hqdr","","mean","0.917266","511,382","0.916465","508,861","-0.000788","[-0.001754, +0.000177]","-0.000859","[-0.1912%, +0.0193%]","0.109493","-","0.501268","-0.000430","-0.000395"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_hqdr","","mean","0.913763","141,922","0.911870","142,257","-0.001970","[-0.003819, -0.000122]","-0.002156","[-0.4179%, -0.0133%]","0.036702","Significant","0.147477","-0.000317","-0.000291"
"dbd_avg_o2_mi","Metric","N/A","","mean","0.016898","605,132","0.017293","602,928","0.000391","[-0.000015, +0.000797]","0.023154","[-0.0873%, +4.7181%]","0.058930","-","0.648662","0.015790","0.000254"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_mi","","mean","0.017073","499,236","0.017467","496,869","0.000388","[-0.000073, +0.00085]","0.022731","[-0.4302%, +4.9764%]","0.099336","-","0.500677","0.012181","0.000194"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_mi","","mean","0.015720","139,279","0.016119","139,563","0.000414","[-0.000411, +0.001239]","0.026328","[-2.6131%, +7.8787%]","0.325281","-","0.148061","0.003848","0.000061"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_mi","","mean","0.012477","42,296","0.012995","41,974","0.000518","[-0.000989, +0.002026]","0.041553","[-7.9304%, +16.2409%]","0.500393","-","0.033724","0.001097","0.000017"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_mi","","mean","0.017001","564,964","0.017386","563,016","0.000383","[-0.000036, +0.000801]","0.022500","[-0.2113%, +4.7114%]","0.073177","-","0.614962","0.014755","0.000235"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_mi","","mean","0.023827","4,919","0.022363","4,882","-0.001425","[-0.006516, +0.003665]","-0.059811","[-27.3454%, +15.3832%]","0.583207","-","0.005444","-0.000484","-0.000008"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_mi","","mean","0.012954","4,346","0.016013","4,483","0.003080","[-0.001348, +0.007508]","0.237791","[-10.4025%, +57.9606%]","0.172729","-","0.004358","0.000859","0.000014"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_mi","","mean","0.016729","597,651","0.017125","595,430","0.000394","[-0.000013, +0.000801]","0.023537","[-0.08%, +4.7874%]","0.058024","-","0.638540","0.015771","0.000251"
"dbd_avg_o2_nd","Metric","N/A","","mean","0.005026","605,093","0.005013","602,899","-0.000012","[-0.000232, +0.000207]","-0.002485","[-4.6093%, +4.1124%]","0.911082","-","0.648657","-0.001625","-0.000008"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_nd","","mean","0.005048","499,195","0.005171","496,837","0.000123","[-0.000128, +0.000374]","0.024388","[-2.5291%, +7.4067%]","0.335961","-","0.500663","0.012616","0.000062"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_nd","","mean","0.004535","139,279","0.004119","139,563","-0.000414","[-0.000845, +0.000017]","-0.091307","[-18.6311%, +0.3697%]","0.059606","-","0.148069","-0.012573","-0.000061"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_nd","","mean","0.004691","42,292","0.004844","41,970","0.000153","[-0.000773, +0.001079]","0.032590","[-16.4888%, +23.0068%]","0.746351","-","0.033723","0.001056","0.000005"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_nd","","mean","0.004944","564,929","0.004935","562,991","-0.000009","[-0.000232, +0.000214]","-0.001829","[-4.7014%, +4.3355%]","0.936750","-","0.614959","-0.001139","-0.000006"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_nd","","mean","0.004504","4,919","0.006179","4,882","0.001667","[-0.000772, +0.004105]","0.370027","[-17.1364%, +91.1418%]","0.180380","-","0.005444","0.001849","0.000009"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_nd","","mean","0.004256","4,346","0.005279","4,483","0.001020","[-0.001534, +0.003574]","0.239679","[-36.0454%, +83.9813%]","0.433766","-","0.004358","0.000928","0.000005"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_nd","","mean","0.004942","597,612","0.004918","595,401","-0.000024","[-0.000243, +0.000195]","-0.004870","[-4.9171%, +3.9432%]","0.829424","-","0.638535","-0.003147","-0.000015"
"dbd_avg_o2_package","Metric","N/A","","mean","0.682847","605,092","0.682299","602,899","-0.000524","[-0.002038, +0.000991]","-0.000767","[-0.2985%, +0.1451%]","0.497850","-","0.648657","-0.000503","-0.000340"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_package","","mean","0.639592","42,292","0.639397","41,970","-0.000195","[-0.006659, +0.00627]","-0.000305","[-1.0412%, +0.9803%]","0.952905","-","0.033727","-0.000010","-0.000007"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_package","","mean","0.685229","564,874","0.684689","562,941","-0.000513","[-0.00207, +0.001044]","-0.000749","[-0.3021%, +0.1523%]","0.518418","-","0.614968","-0.000467","-0.000315"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_package","","mean","0.646324","4,918","0.633515","4,882","-0.012992","[-0.030425, +0.00444]","-0.020102","[-4.7074%, +0.687%]","0.144090","-","0.005445","-0.000104","-0.000070"
