"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.003649","275,156","0.003689","267,526","0.000041","[-0.000281, +0.000363]","0.011260","[-7.6903%, +9.9423%]","0.802335","-","","","","0.003782","266,262","0.000136","[-0.000188, +0.00046]","0.037199","[-5.1632%, +12.603%]","0.411782","-","","",""
"cx_lifestage_Dormant","Dimension","account_or_system_push_opt_out","","mean","0.004506","40,394","0.004769","39,419","0.000263","[-0.00068, +0.001206]","0.058356","[-15.0883%, +26.7595%]","0.584635","-","","","","0.004290","39,397","-0.000221","[-0.001139, +0.000697]","-0.049091","[-25.2805%, +15.4623%]","0.636706","-","","",""
"cx_lifestage_New Cx","Dimension","account_or_system_push_opt_out","","mean","0.007503","5,331","0.005373","5,211","-0.002084","[-0.00513, +0.000962]","-0.277749","[-68.3669%, +12.8172%]","0.179890","-","","","","0.005497","5,276","-0.002018","[-0.005073, +0.001036]","-0.269012","[-67.6085%, +13.8061%]","0.195240","-","","",""
"cx_lifestage_Non-Purchaser","Dimension","account_or_system_push_opt_out","","mean","0.005659","17,493","0.005158","16,673","-0.000534","[-0.002087, +0.001019]","-0.094372","[-36.8737%, +17.9993%]","0.500210","-","","","","0.006190","16,640","0.000551","[-0.001077, +0.002179]","0.097422","[-19.0234%, +38.5077%]","0.506824","-","","",""
"account_or_system_push_opt_out_cx_lifestage_Churned","Dimension","account_or_system_push_opt_out","","mean","0.004703","68,895","0.005135","67,375","0.000423","[-0.00032, +0.001166]","0.090001","[-6.798%, +24.7983%]","0.264173","-","","","","0.005225","67,560","0.000518","[-0.000228, +0.001264]","0.110200","[-4.8396%, +26.8796%]","0.173236","-","","",""
"account_or_system_push_opt_out_cx_lifestage_Active","Dimension","account_or_system_push_opt_out","","mean","0.004009","133,461","0.004053","129,778","0.000042","[-0.000442, +0.000526]","0.010577","[-11.0152%, +13.1305%]","0.863670","-","","","","0.004205","128,884","0.000202","[-0.000287, +0.000692]","0.050409","[-7.1687%, +17.2504%]","0.418406","-","","",""
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","2.714611","275,156","2.711605","267,526","-0.012407","[-0.054545, +0.029731]","-0.004570","[-2.0093%, +1.0952%]","0.563894","-","0.013042","-0.000060","-0.000174","2.679866","266,262","-0.016585","[-0.057835, +0.024665]","-0.006110","[-2.1305%, +0.9086%]","0.430680","-","0.013042","-0.000080","-0.000233"
"ads_revenue","Metric","N/A","","mean","0.954995","275,156","0.949566","267,526","-0.005459","[-0.020395, +0.009476]","-0.005716","[-2.1356%, +0.9923%]","0.473744","-","0.008724","-0.000050","-0.000067","0.948566","266,262","-0.006092","[-0.020994, +0.008809]","-0.006379","[-2.1983%, +0.9224%]","0.422947","-","0.008724","-0.000056","-0.000075"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.067742","326,116","0.067922","317,255","0.000259","[-0.000614, +0.001131]","0.003819","[-0.9061%, +1.6699%]","0.561147","-","0.000578","0.000002","0.000003","0.067892","316,372","0.000269","[-0.000608, +0.001146]","0.003967","[-0.8978%, +1.6912%]","0.548119","-","0.000578","0.000002","0.000003"
"ad_product_pm","Dimension","ads_revenue","","mean","0.226758","326,116","0.226709","317,255","-0.000179","[-0.003645, +0.003286]","-0.000791","[-1.6075%, +1.4492%]","0.919165","-","0.001935","-0.000002","-0.000002","0.225016","316,372","-0.001792","[-0.005234, +0.00165]","-0.007902","[-2.3083%, +0.7279%]","0.307614","-","0.001935","-0.000015","-0.000023"
