"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.009421","1,291,213","0.009335","1,290,918","-0.000086","[-0.000321, +0.000149]","-0.009141","[-3.4098%, +1.5816%]","0.472839","-","","",""
"active_share_7d","Metric","N/A","","mean","0.924521","1,135,808","0.924881","1,135,355","0.000288","[-0.000379, +0.000956]","0.000312","[-0.041%, +0.1034%]","0.397509","-","","",""
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","10.443294","1,291,213","10.447067","1,290,918","0.002832","[-0.040306, +0.04597]","0.000271","[-0.386%, +0.4402%]","0.897624","-","0.084781","0.000023","0.000090"
"ads_revenue","Metric","N/A","","mean","4.973375","1,291,213","4.974541","1,290,918","-0.002156","[-0.022434, +0.018122]","-0.000434","[-0.4511%, +0.3644%]","0.834923","-","0.083769","-0.000036","-0.000063"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.288840","1,291,213","0.289376","1,290,918","0.000501","[-0.000575, +0.001576]","0.001733","[-0.1992%, +0.5457%]","0.361824","-","0.004865","0.000008","0.000015"
"ad_product_pm","Dimension","ads_revenue","","mean","0.569811","1,291,213","0.568644","1,290,918","-0.001152","[-0.00418, +0.001875]","-0.002022","[-0.7335%, +0.3291%]","0.455719","-","0.009598","-0.000019","-0.000033"
"ad_product_sb","Dimension","ads_revenue","","mean","0.095259","1,291,213","0.094779","1,290,918","-0.000384","[-0.001649, +0.000881]","-0.004028","[-1.7309%, +0.9253%]","0.552205","-","0.001604","-0.000006","-0.000011"
"ad_product_sl","Dimension","ads_revenue","","mean","3.400013","1,291,213","3.405596","1,290,918","0.000666","[-0.015644, +0.016975]","0.000196","[-0.4601%, +0.4993%]","0.936226","-","0.057268","0.000011","0.000019"
"ad_product_sp","Dimension","ads_revenue","","mean","0.619449","1,291,213","0.616142","1,290,918","-0.001342","[-0.007692, +0.005008]","-0.002167","[-1.2418%, +0.8085%]","0.678689","-","0.010434","-0.000023","-0.000039"
"avg_dat_mins","Metric","N/A","","mean","1222.220525","1,198,062","1221.426607","1,198,187","-0.617488","[-1.607146, +0.37217]","-0.000505","[-0.1315%, +0.0305%]","0.221367","-","0.087547","-0.000045","-0.054137"
"chex_ct_cancel_order","Metric","N/A","","mean","0.026117","1,000,505","0.026280","999,523","0.000165","[-0.000061, +0.000392]","0.006331","[-0.2354%, +1.5017%]","0.153091","-","","",""
"chex_ct_cart_page_conversion","Metric","N/A","","mean","0.850059","1,077,368","0.850344","1,076,638","0.000095","[-0.000447, +0.000638]","0.000112","[-0.0526%, +0.075%]","0.730259","-","","",""
"chex_ct_cart_page_conversion_deliveries","Metric","N/A","","mean","0.834659","1,077,368","0.834913","1,076,638","0.000061","[-0.00051, +0.000633]","0.000074","[-0.0611%, +0.0758%]","0.833057","-","","",""
"chex_ct_checkout_page_load","Metric","N/A","","mean","0.904925","1,077,368","0.904896","1,076,638","-0.000159","[-0.000584, +0.000265]","-0.000176","[-0.0645%, +0.0293%]","0.461513","-","","",""
"chex_ct_place_order","Metric","N/A","","mean","0.917593","1,047,418","0.917416","1,046,503","0.000064","[-0.000458, +0.000585]","0.000069","[-0.0499%, +0.0637%]","0.811120","-","","",""
"cng_order_rate_nc","Metric","N/A","","mean","2.197270","1,291,213","2.199092","1,290,918","0.004727","[-0.003538, +0.012993]","0.002151","[-0.161%, +0.5913%]","0.262328","-","0.150315","0.000323","0.000980"
"consumer_mto","Metric","N/A","","mean","0.180356","1,291,213","0.182187","1,290,918","0.000973","[-0.001567, +0.003512]","0.005393","[-0.8688%, +1.9474%]","0.452895","-","0.109089","0.000588","0.000622"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","11.081114","1,182,472","11.100138","1,182,267","0.012716","[-0.011261, +0.036694]","0.001148","[-0.1016%, +0.3311%]","0.298586","-","0.045862","0.000066","0.000583"
"consumers_mau","Metric","N/A","","mean","0.915784","1,291,213","0.915834","1,290,918","0.000136","[-0.00051, +0.000782]","0.000149","[-0.0557%, +0.0854%]","0.680007","-","0.045861","0.000007","0.000003"
