"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"dbd_attach_rate_post_checkout","Metric","N/A","","mean","0.036481","5,493,439","0.036556","5,327,211","0.000073","[-0.00008, +0.000226]","0.001988","[-0.2206%, +0.6183%]","0.352872","-","0.626465","0.001457","0.000045","0.036608","5,326,470","0.000128","[-0.000025, +0.000281]","0.003507","[-0.0682%, +0.7696%]","0.100851","-","0.626465","0.002570","0.000080"
"dbd_attach_rate_pre_and_post","Metric","N/A","","mean","0.050898","5,493,439","0.051003","5,327,211","0.000105","[-0.000088, +0.000298]","0.002061","[-0.1738%, +0.586%]","0.287597","-","0.626465","0.001563","0.000066","0.050959","5,326,470","0.000067","[-0.000126, +0.000261]","0.001326","[-0.247%, +0.5122%]","0.493582","-","0.626465","0.001006","0.000042"
"dbd_attach_rate_pre_checkout","Metric","N/A","","mean","0.014417","5,493,439","0.014447","5,327,211","0.000029","[-0.000081, +0.000139]","0.002019","[-0.5634%, +0.9671%]","0.605169","-","0.626465","0.001678","0.000018","0.014351","5,326,470","-0.000065","[-0.000175, +0.000046]","-0.004480","[-1.2121%, +0.3161%]","0.250496","-","0.626465","-0.003724","-0.000040"
"dbd_avg_o2_20_late","Metric","N/A","","mean","0.041384","685,296","0.041227","667,715","-0.000150","[-0.000728, +0.000428]","-0.003626","[-1.7592%, +1.0341%]","0.610898","-","0.758533","-0.002766","-0.000114","0.040854","664,870","-0.000527","[-0.001105, +0.000052]","-0.012732","[-2.671%, +0.1246%]","0.074215","-","0.758533","-0.009720","-0.000400"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_20_late","","mean","0.037774","86,973","0.038066","97,515","0.000291","[-0.001449, +0.002031]","0.007710","[-3.8357%, +5.3778%]","0.742885","-","0.065944","0.000474","0.000019","0.037146","84,895","-0.000629","[-0.00242, +0.001163]","-0.016642","[-6.4065%, +3.0781%]","0.491570","-","0.065944","-0.001022","-0.000041"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_20_late","","mean","0.040708","546,937","0.040977","649,192","0.000194","[-0.000413, +0.0008]","0.004761","[-1.0139%, +1.9661%]","0.531170","-","0.594521","0.002904","0.000118","0.040340","528,955","-0.000368","[-0.001009, +0.000274]","-0.009031","[-2.4788%, +0.6726%]","0.261301","-","0.594521","-0.005399","-0.000219"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_20_late","","mean","0.039156","124,910","0.038779","151,216","-0.000418","[-0.00165, +0.000813]","-0.010686","[-4.2132%, +2.076%]","0.505384","-","0.137425","-0.001490","-0.000060","0.039446","120,929","0.000293","[-0.001028, +0.001614]","0.007486","[-2.6254%, +4.1225%]","0.663679","-","0.137425","0.000995","0.000040"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_20_late","","mean","0.032246","13,148","0.029251","15,233","-0.002924","[-0.006402, +0.000555]","-0.090671","[-19.8547%, +1.7205%]","0.099483","-","0.013457","-0.001010","-0.000041","0.028545","12,768","-0.003710","[-0.007366, -0.000053]","-0.115049","[-22.844%, -0.1658%]","0.046743","Significant","0.013457","-0.001229","-0.000050"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_20_late","","mean","0.040957","492,355","0.041552","576,484","0.000497","[-0.000161, +0.001155]","0.012138","[-0.3932%, +2.8207%]","0.138767","-","0.508338","0.006379","0.000258","0.040462","476,711","-0.000494","[-0.001185, +0.000196]","-0.012072","[-2.8938%, +0.4794%]","0.160654","-","0.508338","-0.006209","-0.000252"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_20_late","","mean","0.037003","487,388","0.037554","577,267","0.000500","[-0.000141, +0.001141]","0.013513","[-0.3818%, +3.0845%]","0.126459","-","0.477394","0.006009","0.000243","0.036562","472,903","-0.000439","[-0.001113, +0.000235]","-0.011875","[-3.0091%, +0.6341%]","0.201351","-","0.477394","-0.005184","-0.000210"
