"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1  Value","treatment1  Exposure Volume","treatment1  Absolute Impact","treatment1  Absolute Impact Confidence Interval","treatment1  Relative Impact","treatment1  Relative Impact Confidence Interval","treatment1  P Value","treatment1  Significance","treatment1  Coverage","treatment1  Relative Global Lift","treatment1  Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"chex_ct_cancel_order","Metric","N/A","","mean","0.021454","4,576,896","0.021485","4,715,105","0.000030","[-0.000099, +0.00016]","0.001421","[-0.4617%, +0.7459%]","0.644665","-","","","","0.021462","4,576,278","0.000007","[-0.000123, +0.000138]","0.000341","[-0.5738%, +0.642%]","0.912540","-","","",""
"chex_ct_cart_page_conversion","Metric","N/A","","mean","0.816059","5,357,604","0.815739","5,520,456","-0.000276","[-0.000615, +0.000062]","-0.000339","[-0.0754%, +0.0076%]","0.109539","-","","","","0.815903","5,356,178","-0.000174","[-0.000515, +0.000167]","-0.000213","[-0.0631%, +0.0205%]","0.317720","-","","",""
"chex_ct_cart_page_conversion_deliveries","Metric","N/A","","mean","0.803070","5,357,604","0.802717","5,520,456","-0.000297","[-0.000646, +0.000053]","-0.000369","[-0.0804%, +0.0066%]","0.095961","-","","","","0.802881","5,356,178","-0.000196","[-0.000548, +0.000156]","-0.000244","[-0.0682%, +0.0194%]","0.275202","-","","",""
"chex_ct_checkout_page_failure","Metric","N/A","","mean","0.060200","5,357,604","0.060151","5,520,456","-0.000051","[-0.000268, +0.000166]","-0.000849","[-0.4448%, +0.275%]","0.643731","-","","","","0.060212","5,356,178","0.000008","[-0.00021, +0.000226]","0.000131","[-0.3495%, +0.3757%]","0.943649","-","","",""
"chex_ct_checkout_page_load","Metric","N/A","","mean","0.895775","5,357,604","0.895677","5,520,456","-0.000070","[-0.00033, +0.00019]","-0.000078","[-0.0368%, +0.0212%]","0.597117","-","","","","0.895416","5,356,178","-0.000366","[-0.000628, -0.000105]","-0.000409","[-0.0701%, -0.0117%]","0.006082","Significant","","",""
"chex_ct_conversion_after_cancel","Metric","N/A","","mean","0.931983","215,594","0.931468","222,168","-0.000580","[-0.002014, +0.000853]","-0.000623","[-0.2161%, +0.0916%]","0.427616","-","","","","0.929758","215,340","-0.002274","[-0.003726, -0.000821]","-0.002440","[-0.3998%, -0.0881%]","0.002151","Significant","","",""
"chex_ct_conversion_after_checkout_failure","Metric","N/A","","mean","0.837132","644,887","0.837844","664,138","0.000724","[-0.000475, +0.001923]","0.000865","[-0.0567%, +0.2297%]","0.236529","-","","","","0.838413","645,104","0.001235","[+0.000029, +0.002442]","0.001476","[+0.0035%, +0.2917%]","0.044734","Significant","","",""
"chex_ct_conversion_after_payment_failure","Metric","N/A","","mean","0.890095","480,886","0.890865","496,020","0.000792","[-0.000373, +0.001957]","0.000890","[-0.0419%, +0.2199%]","0.182660","-","","","","0.891298","481,595","0.001185","[+0.000013, +0.002358]","0.001332","[+0.0014%, +0.2649%]","0.047535","Significant","","",""
"chex_ct_mfa_page_close","Metric","N/A","","mean","0.144041","101,728","0.143563","104,514","-0.000736","[-0.003754, +0.002282]","-0.005111","[-2.6063%, +1.584%]","0.632545","-","","","","0.143140","101,640","-0.001112","[-0.004143, +0.001919]","-0.007718","[-2.8761%, +1.3324%]","0.472189","-","","",""
"chex_ct_mfa_page_load","Metric","N/A","","mean","0.009032","4,576,896","0.009000","4,715,105","-0.000032","[-0.000111, +0.000047]","-0.003530","[-1.2264%, +0.5204%]","0.428279","-","","","","0.009040","4,576,278","0.000010","[-0.000069, +0.00009]","0.001146","[-0.766%, +0.9952%]","0.798724","-","","",""
"chex_ct_mfa_page_success","Metric","N/A","","mean","0.895994","101,728","0.895184","104,514","-0.000664","[-0.003332, +0.002004]","-0.000741","[-0.3719%, +0.2237%]","0.625674","-","","","","0.896427","101,640","0.000658","[-0.002017, +0.003333]","0.000735","[-0.2251%, +0.372%]","0.629533","-","","",""
"chex_ct_payment_error","Metric","N/A","","mean","0.055579","4,576,896","0.055639","4,715,105","0.000059","[-0.000176, +0.000295]","0.001068","[-0.3166%, +0.5302%]","0.621095","-","","","","0.055655","4,576,278","0.000074","[-0.000163, +0.000311]","0.001328","[-0.2937%, +0.5592%]","0.541767","-","","",""
"chex_ct_place_order","Metric","N/A","","mean","0.906299","4,979,578","0.906032","5,131,201","-0.000253","[-0.000523, +0.000016]","-0.000279","[-0.0577%, +0.0018%]","0.065572","-","","","","0.906540","4,976,991","0.000251","[-0.00002, +0.000523]","0.000277","[-0.0022%, +0.0577%]","0.069513","-","","",""
"chex_ct_store_page_load","Metric","N/A","","mean","0.615374","5,357,604","0.615082","5,520,456","-0.000256","[-0.00067, +0.000157]","-0.000417","[-0.1089%, +0.0256%]","0.224595","-","","","","0.615003","5,356,178","-0.000362","[-0.000779, +0.000055]","-0.000588","[-0.1266%, +0.0089%]","0.088879","-","","",""
"chex_ct_too_far_away","Metric","N/A","","mean","0.082096","5,357,604","0.081986","5,520,456","-0.000115","[-0.000367, +0.000137]","-0.001403","[-0.4471%, +0.1665%]","0.370187","-","","","","0.081940","5,356,178","-0.000162","[-0.000416, +0.000092]","-0.001975","[-0.5066%, +0.1116%]","0.210474","-","","",""
"cng_avg_gov","Metric","N/A","","mean","39.675010","1,032,824","39.722174","1,063,645","0.046781","[-0.05667, +0.150233]","0.001179","[-0.1428%, +0.3787%]","0.375453","-","0.406777","0.000464","0.019047","39.681836","1,033,021","0.006385","[-0.095795, +0.108565]","0.000161","[-0.2415%, +0.2736%]","0.902528","-","0.406777","0.000063","0.002598"
"cng_business_line_1P Convenience","Dimension","cng_avg_gov","","mean","34.003020","120,529","34.005910","123,734","-0.000757","[-0.180123, +0.178609]","-0.000022","[-0.5297%, +0.5253%]","0.993397","-","0.035795","-0.000001","-0.000027","33.966607","119,643","-0.041504","[-0.223804, +0.140796]","-0.001221","[-0.6582%, +0.4141%]","0.655435","-","0.035795","-0.000036","-0.001490"
"cng_business_line_3P Convenience","Dimension","cng_avg_gov","","mean","26.368757","528,977","26.433647","545,470","0.066573","[+0.003573, +0.129573]","0.002525","[+0.0136%, +0.4914%]","0.038347","Significant","0.173979","0.000282","0.011571","26.401691","529,868","0.034801","[-0.028183, +0.097785]","0.001320","[-0.1069%, +0.3708%]","0.278826","-","0.173979","0.000147","0.006050"
"cng_business_line_Alcohol","Dimension","cng_avg_gov","","mean","46.416893","97,449","46.693905","101,107","0.277030","[-0.168692, +0.722751]","0.005968","[-0.3634%, +1.5571%]","0.223157","-","0.032947","0.000223","0.009164","46.722783","97,262","0.305923","[-0.142253, +0.754099]","0.006591","[-0.3065%, +1.6246%]","0.180941","-","0.032947","0.000246","0.010112"
