"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"active_share_7d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"ads_revenue","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"avg_dat_mins","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"cng_order_rate_nc","Metric","N/A","","mean","0.439785","11,467,682","0.441081","11,126,480","0.000889","[-0.00009, +0.001868]","0.002022","[-0.0204%, +0.4248%]","0.075003","-","0.924588","0.001870","0.004183","0.440280","11,123,731","0.000044","[-0.000934, +0.001022]","0.000101","[-0.2123%, +0.2324%]","0.929253","-","0.924588","0.000093","0.000208"
"consumer_mto","Metric","N/A","","mean","0.065923","11,467,682","0.066104","11,126,480","0.000245","[-0.000104, +0.000594]","0.003716","[-0.1584%, +0.9017%]","0.169394","-","0.737457","0.002741","0.004081","0.065920","11,123,731","0.000030","[-0.000331, +0.000391]","0.000454","[-0.5026%, +0.5934%]","0.871103","-","0.737457","0.000335","0.000498"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"consumers_mau","Metric","N/A","","mean","0.878100","11,467,682","0.878302","11,126,480","0.000200","[-0.000061, +0.000461]","0.000228","[-0.007%, +0.0525%]","0.133529","-","0.733437","0.000167","0.000077","0.878291","11,123,731","0.000146","[-0.000115, +0.000407]","0.000166","[-0.0131%, +0.0464%]","0.272613","-","0.733437","0.000122","0.000056"
"dashpass_paid_balance","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"dashpass_signup","Metric","N/A","","mean","0.042931","11,467,682","0.042964","11,126,480","0.000033","[-0.000138, +0.000203]","0.000759","[-0.3205%, +0.4723%]","0.707562","-","0.747791","0.000567","0.000480","0.042883","11,123,731","-0.000048","[-0.000218, +0.000123]","-0.001112","[-0.508%, +0.2856%]","0.582933","-","0.747791","-0.000831","-0.000703"
"dbd_attach_rate_post_checkout","Metric","N/A","","mean","0.038035","9,521,210","0.038130","9,239,725","0.000093","[-0.000038, +0.000223]","0.002432","[-0.0995%, +0.586%]","0.164240","-","0.912046","0.002229","0.000084","0.038069","9,236,328","0.000028","[-0.000102, +0.000158]","0.000740","[-0.2686%, +0.4166%]","0.671913","-","0.912046","0.000679","0.000026"
"dbd_attach_rate_pre_and_post","Metric","N/A","","mean","0.041406","9,715,178","0.041534","9,428,396","0.000128","[-0.000009, +0.000264]","0.003083","[-0.0212%, +0.6378%]","0.066690","-","0.909188","0.002819","0.000116","0.041476","9,425,419","0.000066","[-0.000071, +0.000202]","0.001587","[-0.1704%, +0.4878%]","0.344576","-","0.909188","0.001451","0.000060"
"dbd_attach_rate_pre_checkout","Metric","N/A","","mean","0.005978","9,715,178","0.006032","9,428,396","0.000055","[+0.000001, +0.000109]","0.009172","[+0.0148%, +1.8196%]","0.046366","Significant","0.912266","0.008232","0.000050","0.006032","9,425,419","0.000054","[0, +0.000108]","0.009070","[+0.0063%, +1.8077%]","0.048422","Significant","0.912266","0.008141","0.000049"
"dbd_avg_o2_20_late","Metric","N/A","","mean","0.026825","1,069,501","0.026578","1,038,800","-0.000247","[-0.000604, +0.000109]","-0.009222","[-2.2518%, +0.4074%]","0.174002","-","0.916640","-0.008475","-0.000227","0.026700","1,038,325","-0.000124","[-0.00048, +0.000233]","-0.004608","[-1.789%, +0.8673%]","0.496462","-","0.916640","-0.004235","-0.000113"
"dbd_avg_o2_cancellations","Metric","N/A","","mean","0.024809","1,091,117","0.024806","1,059,904","0.000000","[-0.000339, +0.000339]","-0.000011","[-1.367%, +1.3648%]","0.998729","-","0.916503","0.000000","0.000000","0.024318","1,058,909","-0.000493","[-0.00083, -0.000155]","-0.019864","[-3.3462%, -0.6267%]","0.004192","Significant","0.916503","-0.018106","-0.000452"
"dbd_avg_o2_dx_cost","Metric","N/A","","mean","4.038723","1,091,243","4.035331","1,060,029","-0.004042","[-0.013179, +0.005096]","-0.001001","[-0.3263%, +0.1262%]","0.385975","-","0.916502","-0.000917","-0.003705","4.046959","1,059,027","0.008394","[-0.000767, +0.017555]","0.002078","[-0.019%, +0.4347%]","0.072516","-","0.916502","0.001905","0.007694"
