"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.012514","1,277,381","0.012715","1,275,645","0.000201","[-0.000073, +0.000475]","0.016068","[-0.5811%, +3.7946%]","0.150037","-","","",""
"active_share_7d","Metric","N/A","","mean","0.876387","1,234,610","0.876425","1,232,739","-0.000047","[-0.000856, +0.000762]","-0.000054","[-0.0977%, +0.087%]","0.909595","-","","",""
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","9.594374","1,277,381","9.635291","1,275,645","0.048907","[+0.013432, +0.084381]","0.005097","[+0.14%, +0.8795%]","0.006891","Significant","0.104867","0.000535","0.001903"
"ads_revenue","Metric","N/A","","mean","3.832719","1,277,381","3.833634","1,275,645","0.000491","[-0.014711, +0.015694]","0.000128","[-0.3838%, +0.4095%]","0.949490","-","0.090498","0.000012","0.000018"
"avg_dat_mins","Metric","N/A","","mean","1208.443388","1,254,417","1207.484728","1,252,615","-0.478974","[-1.424458, +0.466511]","-0.000396","[-0.1179%, +0.0386%]","0.320759","-","0.092265","-0.000037","-0.044287"
"cng_order_rate_nc","Metric","N/A","","mean","1.332652","1,277,381","1.336084","1,275,645","0.001573","[-0.003956, +0.007102]","0.001180","[-0.2969%, +0.5329%]","0.577155","-","0.122430","0.000145","0.000376"
"consumer_mto","Metric","N/A","","mean","0.085023","1,277,381","0.084550","1,275,645","-0.000496","[-0.001874, +0.000882]","-0.005835","[-2.2041%, +1.037%]","0.480334","-","0.068781","-0.000401","-0.000414"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","8.403541","1,267,959","8.421225","1,266,213","0.008452","[-0.008674, +0.025578]","0.001006","[-0.1032%, +0.3044%]","0.333385","-","0.052197","0.000056","0.000441"
"consumers_mau","Metric","N/A","","mean","0.992624","1,277,381","0.992606","1,275,645","-0.000014","[-0.000224, +0.000195]","-0.000014","[-0.0225%, +0.0196%]","0.892955","-","0.052197","0.000000","0.000000"
"cx_app_quality_action_load_latency_android","Metric","N/A","","mean","0.006094","1,178,337","0.006063","1,176,789","-0.000036","[-0.000114, +0.000043]","-0.005884","[-1.8771%, +0.7002%]","0.370790","-","0.458449","-0.002414","-0.000016"
"action_dimension_cx_add_payment_method","Dimension","cx_app_quality_action_load_latency_android","","mean","0.775862","111","0.682353","78","-0.048568","[-0.169601, +0.072465]","-0.062599","[-21.8596%, +9.3399%]","0.431578","-","0.000001","0.000000","0.000000"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.005075","1,039,703","0.005021","1,038,833","-0.000055","[-0.000132, +0.000021]","-0.010927","[-2.5974%, +0.412%]","0.154639","-","0.275578","-0.002245","-0.000015"
"action_dimension_cx_create_address","Dimension","cx_app_quality_action_load_latency_android","","mean","0.000000","32","0.021739","46","0.021739","[-0.020869, +0.064347]","","[]","0.317312","-","0.000001","0.000000","0.000000"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.018286","724,137","0.018338","724,042","0.000049","[-0.000262, +0.000359]","0.002656","[-1.4302%, +1.9613%]","0.758872","-","0.058118","0.000415","0.000003"
"action_dimension_cx_place_order","Dimension","cx_app_quality_action_load_latency_android","","mean","0.002382","971,123","0.002370","969,590","-0.000012","[-0.000106, +0.000081]","-0.005211","[-4.4618%, +3.4195%]","0.795482","-","0.075423","0.000000","0.000000"
"action_dimension_cx_set_address","Dimension","cx_app_quality_action_load_latency_android","","mean","0.226424","2,139","0.221827","2,149","-0.004547","[-0.029897, +0.020803]","-0.020081","[-13.204%, +9.1878%]","0.725181","-","0.000029","0.000000","0.000000"
