"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.014920","6,279,419","0.014887","6,282,582","-0.000032","[-0.000166, +0.000102]","-0.002148","[-1.113%, +0.6833%]","0.639217","-","","",""
"account_or_system_push_opt_out_cx_lifestage_Churned","Dimension","account_or_system_push_opt_out","","mean","0.015480","48,772","0.016855","48,414","0.001362","[-0.000224, +0.002947]","0.087958","[-1.4476%, +19.0392%]","0.092379","-","","",""
"account_or_system_push_opt_out_cx_lifestage_Active","Dimension","account_or_system_push_opt_out","","mean","0.014011","5,809,313","0.013937","5,813,432","-0.000074","[-0.000209, +0.000061]","-0.005282","[-1.4915%, +0.435%]","0.282461","-","","",""
"cx_lifestage_Dormant","Dimension","account_or_system_push_opt_out","","mean","0.012744","65,207","0.013420","65,576","0.000675","[-0.000556, +0.001907]","0.052979","[-4.3663%, +14.962%]","0.282621","-","","",""
"cx_lifestage_New Cx","Dimension","account_or_system_push_opt_out","","mean","0.030825","326,451","0.031351","325,701","0.000518","[-0.000324, +0.00136]","0.016804","[-1.0521%, +4.4129%]","0.228076","-","","",""
"cx_lifestage_Non-Purchaser","Dimension","account_or_system_push_opt_out","","mean","0.024148","25,551","0.022342","25,423","-0.001808","[-0.004424, +0.000809]","-0.074852","[-18.3186%, +3.3482%]","0.175669","-","","",""
"ads_revenue","Metric","N/A","","mean","7.833338","6,279,419","7.841051","6,282,582","0.006786","[-0.008273, +0.021844]","0.000866","[-0.1056%, +0.2789%]","0.377137","-","0.291900","0.000253","0.000571"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.380257","6,277,524","0.380744","6,280,716","0.000500","[-0.000207, +0.001207]","0.001315","[-0.0545%, +0.3175%]","0.165937","-","0.014166","0.000019","0.000042"
"ad_product_pm","Dimension","ads_revenue","","mean","0.948449","6,277,524","0.948095","6,280,716","-0.000365","[-0.002634, +0.001903]","-0.000385","[-0.2777%, +0.2007%]","0.752266","-","0.035333","-0.000014","-0.000031"
"ad_product_sb","Dimension","ads_revenue","","mean","0.094725","6,277,524","0.094852","6,280,716","0.000372","[-0.000201, +0.000946]","0.003931","[-0.2126%, +0.9987%]","0.203366","-","0.003529","0.000014","0.000031"
"ad_product_sl","Dimension","ads_revenue","","mean","5.730908","6,277,524","5.737368","6,280,716","0.004907","[-0.00789, +0.017705]","0.000856","[-0.1377%, +0.3089%]","0.452297","-","0.213494","0.000183","0.000413"
"ad_product_sp","Dimension","ads_revenue","","mean","0.681021","6,277,524","0.682053","6,280,716","0.001177","[-0.002164, +0.004519]","0.001729","[-0.3178%, +0.6636%]","0.489875","-","0.025370","0.000044","0.000099"
"avg_dat_mins","Metric","N/A","","mean","1213.821716","5,996,830","1213.466704","6,000,916","-0.322462","[-0.803229, +0.158306]","-0.000266","[-0.0662%, +0.013%]","0.188647","-","0.284505","-0.000076","-0.091848"
"cng_order_rate_nc","Metric","N/A","","mean","2.418317","6,279,419","2.419261","6,282,582","0.004812","[-0.001009, +0.010633]","0.001990","[-0.0417%, +0.4397%]","0.105216","-","0.342349","0.000681","0.003071"
"consumer_mto","Metric","N/A","","mean","0.235382","6,279,419","0.234849","6,282,582","-0.000598","[-0.002081, +0.000885]","-0.002541","[-0.8841%, +0.376%]","0.429333","-","0.303517","-0.000771","-0.000923"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","7.823183","5,119,069","7.834215","5,122,887","0.012188","[+0.002553, +0.021823]","0.001558","[+0.0326%, +0.279%]","0.013161","Significant","0.165027","0.000160","0.002011"
"consumers_mau","Metric","N/A","","mean","0.815214","6,279,419","0.815411","6,282,582","0.000108","[-0.000305, +0.000522]","0.000133","[-0.0374%, +0.064%]","0.607244","-","0.165010","0.000022","0.000008"
"consumers_mau_cx_lifestage_Active","Dimension","consumers_mau","","mean","0.836082","5,809,313","0.836261","5,813,432","0.000131","[-0.000283, +0.000545]","0.000157","[-0.0338%, +0.0651%]","0.535301","-","0.156580","0.000025","0.000009"
"consumers_mau_cx_lifestage_Churned","Dimension","consumers_mau","","mean","0.353933","48,772","0.360991","48,414","0.006792","[+0.000806, +0.012779]","0.019191","[+0.2276%, +3.6106%]","0.026166","Significant","0.000554","0.000011","0.000004"
"cx_lifestage_Dormant","Dimension","consumers_mau","","mean","0.532964","65,207","0.529706","65,576","-0.003108","[-0.008493, +0.002277]","-0.005831","[-1.5936%, +0.4273%]","0.258009","-","0.001123","-0.000007","-0.000002"
"cx_lifestage_New Cx","Dimension","consumers_mau","","mean","0.615636","326,451","0.614717","325,701","-0.000919","[-0.003281, +0.001443]","-0.001493","[-0.5329%, +0.2344%]","0.445669","-","0.006469","-0.000010","-0.000004"
"cx_lifestage_Non-Purchaser","Dimension","consumers_mau","","mean","0.275332","25,551","0.276010","25,423","0.000678","[-0.00708, +0.008436]","0.002462","[-2.5716%, +3.0641%]","0.864005","-","0.000226","0.000000","0.000000"
"core_quality_hqdr","Metric","N/A","","mean","0.924648","6,211,367","0.924559","6,214,270","-0.000078","[-0.000195, +0.00004]","-0.000084","[-0.0211%, +0.0043%]","0.194343","-","0.321132","-0.000027","-0.000025"
"cx_app_quality_action_load_latency_ios","Metric","N/A","","mean","0.011737","5,875,921","0.011699","5,882,231","-0.000039","[-0.000075, -0.000003]","-0.003317","[-0.6355%, -0.0279%]","0.032382","Significant","0.378448","-0.001302","-0.000015"
"action_dimension_cx_add_payment_method","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.042398","914,269","0.042712","915,484","0.000308","[-0.000187, +0.000802]","0.007256","[-0.4411%, +1.8923%]","0.222876","-","0.001139","0.000000","0.000000"
