"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.014925","6,276,190","0.014891","6,279,353","-0.000033","[-0.000167, +0.000101]","-0.002213","[-1.1195%, +0.6769%]","0.629130","-","","",""
"account_or_system_push_opt_out_cx_lifestage_Churned","Dimension","account_or_system_push_opt_out","","mean","0.015480","48,772","0.016855","48,414","0.001362","[-0.000224, +0.002947]","0.087958","[-1.4476%, +19.0392%]","0.092379","-","","",""
"account_or_system_push_opt_out_cx_lifestage_Active","Dimension","account_or_system_push_opt_out","","mean","0.014011","5,809,313","0.013937","5,813,432","-0.000074","[-0.000209, +0.000061]","-0.005282","[-1.4915%, +0.435%]","0.282461","-","","",""
"cx_lifestage_Dormant","Dimension","account_or_system_push_opt_out","","mean","0.012744","65,207","0.013420","65,576","0.000675","[-0.000556, +0.001907]","0.052979","[-4.3663%, +14.962%]","0.282621","-","","",""
"cx_lifestage_New Cx","Dimension","account_or_system_push_opt_out","","mean","0.030825","326,451","0.031351","325,701","0.000518","[-0.000324, +0.00136]","0.016804","[-1.0521%, +4.4129%]","0.228076","-","","",""
"cx_lifestage_Non-Purchaser","Dimension","account_or_system_push_opt_out","","mean","0.024148","25,551","0.022342","25,423","-0.001808","[-0.004424, +0.000809]","-0.074852","[-18.3186%, +3.3482%]","0.175669","-","","",""
"ads_revenue","Metric","N/A","","mean","7.836683","6,276,190","7.844452","6,279,353","0.006867","[-0.008198, +0.021932]","0.000876","[-0.1046%, +0.2799%]","0.371654","-","0.291885","0.000256","0.000578"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.380257","6,277,524","0.380744","6,280,716","0.000500","[-0.000207, +0.001207]","0.001315","[-0.0545%, +0.3175%]","0.165937","-","0.014166","0.000019","0.000042"
"ad_product_pm","Dimension","ads_revenue","","mean","0.948449","6,277,524","0.948095","6,280,716","-0.000365","[-0.002634, +0.001903]","-0.000385","[-0.2777%, +0.2007%]","0.752266","-","0.035333","-0.000014","-0.000031"
"ad_product_sb","Dimension","ads_revenue","","mean","0.094725","6,277,524","0.094852","6,280,716","0.000372","[-0.000201, +0.000946]","0.003931","[-0.2126%, +0.9987%]","0.203366","-","0.003529","0.000014","0.000031"
"ad_product_sl","Dimension","ads_revenue","","mean","5.730908","6,277,524","5.737368","6,280,716","0.004907","[-0.00789, +0.017705]","0.000856","[-0.1377%, +0.3089%]","0.452297","-","0.213494","0.000183","0.000413"
"ad_product_sp","Dimension","ads_revenue","","mean","0.681021","6,277,524","0.682053","6,280,716","0.001177","[-0.002164, +0.004519]","0.001729","[-0.3178%, +0.6636%]","0.489875","-","0.025370","0.000044","0.000099"
"avg_dat_mins","Metric","N/A","","mean","1213.829226","5,993,805","1213.467269","5,997,865","-0.329309","[-0.810176, +0.151558]","-0.000271","[-0.0667%, +0.0125%]","0.179522","-","0.284405","-0.000078","-0.093765"
"cng_order_rate_nc","Metric","N/A","","mean","2.302940","6,276,190","2.303980","6,279,353","0.004605","[-0.000962, +0.010173]","0.002000","[-0.0418%, +0.4417%]","0.104949","-","0.342103","0.000684","0.003018"
"consumer_mto","Metric","N/A","","mean","0.227119","6,276,190","0.226590","6,279,353","-0.000592","[-0.002073, +0.000889]","-0.002605","[-0.9125%, +0.3916%]","0.433649","-","0.298994","-0.000779","-0.000926"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","7.823671","5,116,376","7.834668","5,120,216","0.012106","[+0.002468, +0.021744]","0.001547","[+0.0315%, +0.2779%]","0.013822","Significant","0.164940","0.000159","0.001997"
"consumers_mau","Metric","N/A","","mean","0.815204","6,276,190","0.815405","6,279,353","0.000114","[-0.0003, +0.000527]","0.000139","[-0.0368%, +0.0647%]","0.590112","-","0.164923","0.000023","0.000008"
"consumers_mau_cx_lifestage_Active","Dimension","consumers_mau","","mean","0.836082","5,809,313","0.836261","5,813,432","0.000131","[-0.000283, +0.000545]","0.000157","[-0.0338%, +0.0651%]","0.535301","-","0.156580","0.000025","0.000009"
"consumers_mau_cx_lifestage_Churned","Dimension","consumers_mau","","mean","0.353933","48,772","0.360991","48,414","0.006792","[+0.000806, +0.012779]","0.019191","[+0.2276%, +3.6106%]","0.026166","Significant","0.000554","0.000011","0.000004"
"cx_lifestage_Dormant","Dimension","consumers_mau","","mean","0.532964","65,207","0.529706","65,576","-0.003108","[-0.008493, +0.002277]","-0.005831","[-1.5936%, +0.4273%]","0.258009","-","0.001123","-0.000007","-0.000002"
"cx_lifestage_New Cx","Dimension","consumers_mau","","mean","0.615636","326,451","0.614717","325,701","-0.000919","[-0.003281, +0.001443]","-0.001493","[-0.5329%, +0.2344%]","0.445669","-","0.006469","-0.000010","-0.000004"
"cx_lifestage_Non-Purchaser","Dimension","consumers_mau","","mean","0.275332","25,551","0.276010","25,423","0.000678","[-0.00708, +0.008436]","0.002462","[-2.5716%, +3.0641%]","0.864005","-","0.000226","0.000000","0.000000"
"core_quality_hqdr","Metric","N/A","","mean","0.924632","6,208,208","0.924543","6,211,111","-0.000077","[-0.000195, +0.00004]","-0.000084","[-0.021%, +0.0043%]","0.196221","-","0.321014","-0.000027","-0.000025"
"cx_app_quality_action_load_latency_ios","Metric","N/A","","mean","0.011736","5,875,725","0.011699","5,882,027","-0.000039","[-0.000074, -0.000003]","-0.003308","[-0.6347%, -0.027%]","0.032815","Significant","0.378443","-0.001299","-0.000015"
"action_dimension_cx_add_payment_method","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.042398","914,269","0.042712","915,484","0.000308","[-0.000187, +0.000802]","0.007256","[-0.4411%, +1.8923%]","0.222876","-","0.001139","0.000000","0.000000"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.015073","5,744,160","0.014995","5,751,551","-0.000078","[-0.000127, -0.00003]","-0.005198","[-0.8392%, -0.2004%]","0.001423","Significant","0.206140","-0.001428","-0.000016"
"action_dimension_cx_create_address","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.023576","1,763,529","0.024127","1,763,899","0.000544","[+0.000142, +0.000945]","0.023068","[+0.604%, +4.0097%]","0.007927","Significant","0.002441","0.000117","0.000001"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.005567","4,846,342","0.005570","4,857,087","0.000003","[-0.000034, +0.00004]","0.000457","[-0.6189%, +0.7104%]","0.892752","-","0.053274","0.000000","0.000000"
"action_dimension_cx_place_order","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.001611","5,295,360","0.001616","5,297,606","0.000005","[-0.000025, +0.000035]","0.003085","[-1.5372%, +2.1543%]","0.743200","-","0.055413","0.000000","0.000000"
"action_dimension_cx_set_address","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.018387","2,360,393","0.018507","2,362,056","0.000121","[-0.000065, +0.000306]","0.006560","[-0.3526%, +1.6647%]","0.202399","-","0.008297","0.000088","0.000001"
"action_dimension_cx_set_payment_method","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.012501","1,901,619","0.012520","1,903,437","0.000018","[-0.0001, +0.000137]","0.001448","[-0.803%, +1.0925%]","0.764661","-","0.009436","0.000000","0.000000"
"action_dimension_cx_update_cart","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.013529","4,429,602","0.013482","4,445,998","-0.000046","[-0.000124, +0.000031]","-0.003423","[-0.9135%, +0.2288%]","0.240062","-","0.042359","-0.000173","-0.000002"
