Metric Name,Desired Direction,Dimension Name,Dimension Value,Label,Variant Name,Metric Value,Metric Impact Relative,Metric Impact Relative Lower Bound,Metric Impact Relative Upper Bound,Metric Impact Relative Global Lift,Metric Impact Absolute,Metric Impact Absolute Lower Bound,Metric Impact Absolute Upper Bound,Metric Impact Absolute Global Lift,P Value,Metric Impact Relative Sequential Lower Bound,Metric Impact Relative Sequential Upper Bound,Metric Impact Absolute Sequential Lower Bound,Metric Impact Absolute Sequential Upper Bound,P Value Sequential,Participating Units,Analyzed At
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Active,,control,0.003368,,,,,,,,,,,,,,,5698914,2025-01-15 23:11:50
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Active,,treatment2,0.003426,0.01721783,-0.00738877,0.04182442,,0.00005799,-0.00002489,0.00014086,,0.1702397,-0.02148039,0.05591605,-0.00007235,0.00018833,1.0,2848397,2025-01-15 23:11:50
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Active,,treatment1,0.003355,-0.00372896,-0.02816393,0.02070602,,-0.00001256,-0.00009486,0.00006974,,0.76485987,-0.04215728,0.03469936,-0.00014199,0.00011687,1.0,2847377,2025-01-15 23:11:50
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Churned,,treatment1,0.00815,0.00497163,-0.07095025,0.08089352,,0.0000403,-0.00057512,0.00065572,,0.8978757,-0.11442896,0.12437222,-0.00092756,0.00100816,1.0,122824,2025-01-15 23:11:34
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Churned,,treatment2,0.007537,-0.07082821,-0.14480151,0.00314509,,-0.00057413,-0.00117376,0.00002549,,0.0605684,-0.1871643,0.04550789,-0.00151715,0.00036889,0.54663078,122993,2025-01-15 23:11:34
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Churned,,control,0.008106,,,,,,,,,,,,,,,245006,2025-01-15 23:11:34
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.02895936,,,,,,,,,,,,,,,236449,2025-01-15 23:09:25
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment2,0.02224723,-0.24304799,-0.42007276,-0.06602322,-0.00131441,-0.00713848,-0.01233782,-0.00193915,-0.00005834,0.00712483,-0.52145074,0.03535476,-0.01531536,0.00103839,0.12346815,5998,2025-01-15 23:09:35
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.78125022,,,,,,,,,,,,,,,63,2025-01-15 23:09:39
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment1,0.02820884,-0.02591642,-0.08500282,0.03316998,-0.00038385,-0.00075052,-0.00246163,0.00096058,-1.46e-6,0.38996679,-0.11884024,0.06700739,-0.00344154,0.00194049,1.0,118106,2025-01-15 23:09:25
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.0,,,,,,,,,,,,,,,30,2025-01-15 23:09:36
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment1,0.02401523,-0.18295362,-0.36505609,-0.00085115,-0.00098439,-0.00537347,-0.01072194,-0.000025,-0.00004369,0.04893875,-0.46934195,0.10343472,-0.01378489,0.00303795,0.47413546,6147,2025-01-15 23:09:35
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.02937067,,,,,,,,,,,,,,,11993,2025-01-15 23:09:35
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment1,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,24,2025-01-15 23:09:36
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.00715262,,,,,,,,,,,,,,,203669,2025-01-15 23:09:58
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment2,0.00053236,-0.68648759,-1.46275242,0.08977725,-0.0016203,-0.0011565,-0.00246425,0.00015124,-1.95e-6,0.0830444,-1.90730132,0.53432615,-0.00321317,0.00090016,0.67233623,6871,2025-01-15 23:09:39
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment2,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,27,2025-01-15 23:09:36
