"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","15 mins treatment Value","15 mins treatment Exposure Volume","20 mins treatment Value","20 mins treatment Exposure Volume","20 mins treatment Absolute Impact","20 mins treatment Absolute Impact Confidence Interval","20 mins treatment Relative Impact","20 mins treatment Relative Impact Confidence Interval","20 mins treatment P Value","20 mins treatment Significance","20 mins treatment Coverage","20 mins treatment Relative Global Lift","20 mins treatment Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.002791","8,349,517","0.002758","8,347,174","-0.000032","[-0.000082, +0.000019]","-0.011380","[-2.9457%, +0.6698%]","0.217290","-","","",""
"cx_lifestage_Dormant","Dimension","account_or_system_push_opt_out","","mean","0.004023","735,291","0.003848","735,719","-0.000172","[-0.000374, +0.000031]","-0.042647","[-9.2919%, +0.7626%]","0.096380","-","","",""
"cx_lifestage_New Cx","Dimension","account_or_system_push_opt_out","","mean","0.006458","107,614","0.006603","107,822","0.000160","[-0.00052, +0.000841]","0.024850","[-8.0477%, +13.0177%]","0.643785","-","","",""
"cx_lifestage_Non-Purchaser","Dimension","account_or_system_push_opt_out","","mean","0.008776","114,286","0.008546","114,556","-0.000239","[-0.000998, +0.00052]","-0.027261","[-11.3775%, +5.9254%]","0.536851","-","","",""
"account_or_system_push_opt_out_cx_lifestage_Churned","Dimension","account_or_system_push_opt_out","","mean","0.007311","550,970","0.007632","548,646","0.000331","[+0.000009, +0.000652]","0.045206","[+0.1205%, +8.9208%]","0.044046","Significant","","",""
"account_or_system_push_opt_out_cx_lifestage_Active","Dimension","account_or_system_push_opt_out","","mean","0.001997","6,470,370","0.001965","6,470,653","-0.000032","[-0.00008, +0.000017]","-0.015856","[-4.0117%, +0.8405%]","0.200218","-","","",""
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","1.975462","8,349,517","1.977528","8,347,174","0.001756","[-0.002556, +0.006067]","0.000889","[-0.1294%, +0.3071%]","0.424784","-","0.811578","0.000721","0.001077"
"ads_revenue","Metric","N/A","","mean","0.763087","8,349,517","0.765363","8,347,174","0.002560","[-0.000682, +0.005803]","0.003355","[-0.0894%, +0.7604%]","0.121689","-","0.515964","0.001731","0.001567"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.022253","8,349,517","0.022266","8,347,174","0.000005","[-0.000045, +0.000055]","0.000235","[-0.2008%, +0.2479%]","0.837042","-","0.015027","0.000004","0.000003"
"ad_product_pm","Dimension","ads_revenue","","mean","0.162460","8,349,517","0.162637","8,347,174","0.000166","[-0.000286, +0.000618]","0.001023","[-0.176%, +0.3807%]","0.471099","-","0.109704","0.000112","0.000086"
"ad_product_sb","Dimension","ads_revenue","","mean","0.008047","8,349,517","0.008233","8,347,174","0.000252","[+0.000109, +0.000396]","0.031358","[+1.3487%, +4.9229%]","0.000584","Significant","0.005434","0.000170","0.000131"
"ad_product_sl","Dimension","ads_revenue","","mean","0.490710","8,349,517","0.492542","8,347,174","0.001693","[+0.000026, +0.003361]","0.003451","[+0.0053%, +0.6849%]","0.046554","Significant","0.331360","0.001143","0.000879"
"ad_product_sp","Dimension","ads_revenue","","mean","0.056282","8,349,517","0.056848","8,347,174","0.000601","[+0.000092, +0.00111]","0.010670","[+0.1627%, +1.9714%]","0.020746","Significant","0.038005","0.000406","0.000312"
"avg_dat_mins","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"cng_order_rate_nc","Metric","N/A","","mean","0.337973","8,349,517","0.338882","8,347,174","0.000740","[+0.00004, +0.001439]","0.002188","[+0.0118%, +0.4258%]","0.038256","Significant","0.848288","0.001856","0.002958"
"consumer_mto","Metric","N/A","","mean","0.027975","8,349,517","0.027758","8,347,174","-0.000231","[-0.000461, -0.000001]","-0.008244","[-1.6463%, -0.0025%]","0.049295","Significant","0.578549","-0.004770","-0.004303"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","7.726340","8,349,517","7.732220","8,347,174","0.005741","[-0.001329, +0.012811]","0.000743","[-0.0172%, +0.1658%]","0.111493","-","0.418817","0.000397","0.002405"
"consumers_mau","Metric","N/A","","mean","0.952979","8,349,517","0.953090","8,347,174","0.000061","[-0.000132, +0.000254]","0.000064","[-0.0138%, +0.0266%]","0.534291","-","0.418817","0.000027","0.000014"
"consumers_mau_cx_lifestage_Active","Dimension","consumers_mau","","mean","0.986917","6,470,370","0.986999","6,470,653","0.000082","[-0.000042, +0.000206]","0.000083","[-0.0042%, +0.0208%]","0.193599","-","0.325053","0.000027","0.000015"
"cx_lifestage_Dormant","Dimension","consumers_mau","","mean","0.936681","735,291","0.936411","735,719","-0.000270","[-0.001058, +0.000517]","-0.000289","[-0.1129%, +0.0552%]","0.501127","-","0.035067","-0.000010","-0.000005"
"cx_lifestage_New Cx","Dimension","consumers_mau","","mean","0.961074","107,614","0.960342","107,822","-0.000732","[-0.002373, +0.000909]","-0.000762","[-0.2469%, +0.0946%]","0.381920","-","0.005269","-0.000004","-0.000002"
"cx_lifestage_Non-Purchaser","Dimension","consumers_mau","","mean","0.870080","114,286","0.867768","114,556","-0.002287","[-0.005051, +0.000477]","-0.002628","[-0.5805%, +0.0549%]","0.104903","-","0.005067","-0.000013","-0.000007"
"consumers_mau_cx_lifestage_Churned","Dimension","consumers_mau","","mean","0.895855","550,970","0.896912","548,646","0.001053","[-0.000086, +0.002192]","0.001176","[-0.0096%, +0.2447%]","0.069899","-","0.025072","0.000029","0.000016"
"cx_app_latency_duration","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"cx_app_payload_size_android","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"cx_app_payload_size_ios","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dashpass_paid_balance","Metric","N/A","","mean","0.403815","8,349,517","0.403897","8,347,174","-0.000120","[-0.00034, +0.000099]","-0.000298","[-0.0842%, +0.0246%]","0.283338","-","0.397931","-0.000118","-0.000056"
"dashpass_signup","Metric","N/A","","mean","0.018006","8,349,517","0.018018","8,347,174","0.000012","[-0.000118, +0.000141]","0.000662","[-0.6533%, +0.7858%]","0.856827","-","0.470030","0.000311","0.000274"
