name,launch_date,surface,analysis_name,prd_brief_context,readout,curie_link
Recommendation Carousel (NV),11/6/2023,PCO,DoubleDash_Recommendation_Carousels_iOS_Check_Metrics,https://docs.google.com/document/d/1qS_pLP8sStl973LEADpDYuL9G4JenOZMZnxXBo0gHNI/edit,https://docs.google.com/document/d/1BPhQApJtdp50KczOPZs1Xrj4IO2mXDn-A1a20Tpc5wg/edit?tab=t.0#heading=h.wa7bm2c0ccta,https://admin-gateway.doordash.com/decision-systems/experiments/8ba2ab1e-40e3-4e45-8797-78d1a9f0b1a9?analysisId=8731796d-bed0-4d93-b15e-5f96b3b65e41
FYP on Android,10/3/2023,PCO,Android_DoubleDash_FYP_M1__DoubleDash_Metrics,https://docs.google.com/document/d/1WQKLZc9mAcHvmLxUpyIS6KYbysBNitNYGL06gR89PW4/edit,https://docs.google.com/document/d/1NdTOu4Nib_6uOJQyrQZiJPr4RIQFTfRxh0XdGaEiXI0/edit?tab=t.0#heading=h.295zubwzrhh,https://admin-gateway.doordash.com/decision-systems/experiments/932d49fa-1c0e-451c-b4b3-66201e374f19?analysisId=34b0ed55-cc29-4ffc-9c89-5416a085eb21
Search on Web,9/21/2023,PCO,DoubleDash_Search_Web_DoubleDash_Metrics,,https://docs.google.com/document/d/1i0wWhMdp2ACwuoeCsRkDYk9enHKDYaX9JeesyTvK9fw/edit#heading=h.wa7bm2c0ccta,https://admin-gateway.doordash.com/decision-systems/experiments/6a41464a-45ee-4750-8ffe-e7604c42f5d7?analysisId=c3822ec0-802f-4e79-be09-cbb93233d693
Pre-Checkout RX as O1,8/15/2023,PCC,RX_Only_Android_DoubleDash_PreCheckout_Core_Metrics,https://docs.google.com/document/d/1-bBKHF_hu5M3Vj5urK9DBiC0nosHmu8wxBWIz1K2Dug/edit#heading=h.9clsrlc01l91,https://docs.google.com/document/d/1jlh0mEANr8NlPPXazX0X0FtqGn0OAzEJrQWyGs-O84w/edit#heading=h.wa7bm2c0ccta,https://admin-gateway.doordash.com/decision-systems/experiments/fca44552-0fe4-4bf2-b6d5-a65698ddd22c?analysisId=e80b26b9-e878-4054-9a62-d9bfab6f1abb
NV Boosting Ranker v2,8/14/2023,PCO,BOOST_DSML3_NV_Analysis,https://docs.google.com/document/d/1DmHCGR1Re3jLnfD5cK9_g-Gh3WwMp_jnaiiMD4aD_P8/edit,https://docs.google.com/document/d/1ZWPlCY5pxjvM5-ti-EtJgK6hbCvLerBDpvj2zDhtGtk/edit#heading=h.wa7bm2c0ccta,https://admin-gateway.doordash.com/decision-systems/experiments/e33ccbc2-4785-4709-a14e-37f8440be631?analysisId=fca3878a-e665-48a9-bb11-d63387a15fbc
FYP iOS/Web,6/30/2023,PCO,DoubleDash_FYP_M1_Core_Metrics,,https://docs.google.com/document/d/1efIElRckUro0UnciEf5o_5959SVWYE4X1IA6O70wmG8/edit#heading=h.iy0adze8ddg9,https://admin-gateway.doordash.com/decision-systems/experiments/932d49fa-1c0e-451c-b4b3-66201e374f19?analysisId=7bd5282a-c731-44d9-a5ad-45158243bd94
Timer Optimization,6/16/2023,PCO,doubledash_timer_15_minutes_core_metrics,,https://docs.google.com/document/d/1xstOoBpS9MJfcpiVc6nxRdjLBVbTWYOZE8EXKV1z3Qw/edit?tab=t.0#heading=h.wa7bm2c0ccta,https://admin-gateway.doordash.com/decision-systems/experiments/629a1547-ee83-4ff7-8fa7-a3e2ed2640cb?analysisId=7f13935d-7b17-48dd-b787-91eaa6072870
NV Boosting Ranker,5/11/2023,PCO,DSML_Boosting_70_Core_Metrics,,https://docs.google.com/document/d/1gnWeoHxffSFMzUOzjPRkHU7Z4JN668VBBiZ3h_xyV_Q/edit#heading=h.iy0adze8ddg9,https://admin-gateway.doordash.com/decision-systems/experiments/e33ccbc2-4785-4709-a14e-37f8440be631?analysisId=dc2ce123-9469-45dc-9f10-4c02b3fca47d
iOS DoubleDash Retail Parity,3/24/2023,PCO,Parity_NV_Trials,,https://docs.google.com/document/d/1fSL3UNf8gk34Tr5srJfXc8FN-IY5BcFv47QhLWmL_nE/edit#heading=h.iy0adze8ddg9,https://admin-gateway.doordash.com/decision-systems/experiments/48800faa-a22d-471f-9adf-8df2f9287661?analysisId=349a36b5-6c0d-46ef-a9e9-19e33510e34f
Inc ETA v2 -- iOS/Web,3/21/2023,PCC,DoubleDash_Inc_ETA_V2_Longterm_Holdout,,https://docs.google.com/document/d/1chVFkDsyystUmK3_aIZZwzfEwA8abuUREKE_mwzg9Gg/edit#heading=h.iy0adze8ddg9,https://admin-gateway.doordash.com/decision-systems/experiments/beae991e-bb1b-4e1d-a451-d9b4aeaa9610?analysisId=694eb770-25bc-4b54-8617-b18ddd9147a0
